
[00:00:00.000 --> 00:00:03.000]  上次說到我會玩遊戲機
[00:00:03.000 --> 00:00:05.000]  不知道這裡有沒有人玩遊戲機的
[00:00:05.000 --> 00:00:09.000]  上次我長大的時候 說到我會玩遊戲機
[00:00:09.000 --> 00:00:11.000]  沒有人有反應 你們死定了
[00:00:11.000 --> 00:00:14.000]  因為我又要用玩遊戲機來做例子
[00:00:14.000 --> 00:00:18.000]  因為要用玩遊戲機來做例子 你們都沒有反應
[00:00:18.000 --> 00:00:20.000]  可能有玩過吧
[00:00:20.000 --> 00:00:23.000]  有沒有人玩過 玩過遊戲機
[00:00:23.000 --> 00:00:26.000]  可能你們會喜歡玩什麼遊戲的呢 不知道
[00:00:26.000 --> 00:00:29.000]  有沒有曾經玩過遊戲機的
[00:00:29.000 --> 00:00:31.000]  不知道或者是你曾經玩過遊戲機
[00:00:31.000 --> 00:00:34.000]  哪裡喜歡玩什麼樣的遊戲
[00:00:34.000 --> 00:00:38.000]  由2009年開始有一種遊戲類別
[00:00:38.000 --> 00:00:41.000]  就叫做魂系的遊戲
[00:00:41.000 --> 00:00:46.000]  從2009年開始有一種遊戲的類別
[00:00:46.000 --> 00:00:48.000]  就稱為魂系
[00:00:48.000 --> 00:00:50.000]  什麼叫魂系的遊戲呢
[00:00:50.000 --> 00:00:55.000]  就是極高操作難度的遊戲種類
[00:00:55.000 --> 00:01:00.000]  這一種魂系遊戲操作的難度是特別難的
[00:01:00.000 --> 00:01:02.000]  在這些遊戲裡面
[00:01:02.000 --> 00:01:06.000]  玩家的生命值很低 動作很慢
[00:01:06.000 --> 00:01:08.000]  在這種遊戲裡面
[00:01:08.000 --> 00:01:11.000]  玩家他們的生命值是比較低
[00:01:11.000 --> 00:01:13.000]  可是他的動作是很慢的
[00:01:13.000 --> 00:01:16.000]  而敵人攻擊力很高
[00:01:16.000 --> 00:01:18.000]  以及很難以預測
[00:01:18.000 --> 00:01:21.000]  但是敵人的攻擊力特別長
