
[00:00:00.000 --> 00:00:01.920]  現在 劉執輩 我們
[00:00:01.920 --> 00:00:06.000]  在這兩年的時間
[00:00:06.000 --> 00:00:09.080]  我想我們可能心中會有很多的問題
[00:00:09.080 --> 00:00:12.980]  這個新冠疫情 到底什麼時候結束呢
[00:00:12.980 --> 00:00:15.240]  為什麼會發生這樣事情呢
[00:00:15.240 --> 00:00:18.000]  在我們周遭 為什麼有這麼多的人
[00:00:18.000 --> 00:00:21.000]  他們得了病 他們甚至有的一些就已經走了呢
[00:00:21.000 --> 00:00:24.600]  這許許多多的問題 到底神的心意是什麼呢
[00:00:24.600 --> 00:00:28.020]  現在 劉執輩 當俄國跟
[00:00:28.020 --> 00:00:31.100]  俄羅斯 跟 烏拉克
[00:00:31.100 --> 00:00:32.880]  烏克蘭
[00:00:32.880 --> 00:00:38.880]  這表示大家還醒著
[00:00:38.880 --> 00:00:40.700]  俄羅斯 跟 烏
[00:00:40.700 --> 00:00:44.540]  烏克蘭
[00:00:44.540 --> 00:00:48.500]  打仗的時候 我想大家也是會 怎麼會
[00:00:48.500 --> 00:00:51.420]  這樣子呢 是不是 到底你的心意是什麼
[00:00:51.420 --> 00:00:53.080]  神你的心意是什麼呢
[00:00:55.460 --> 00:00:58.500]  我想 不僅僅是關於這些國家大事
[00:00:58.500 --> 00:01:00.340]  這個世界的大事
[00:01:00.340 --> 00:01:03.540]  當這個世界正在改變的時候 親愛的
[00:01:03.540 --> 00:01:06.740]  劉執輩 你我需要清楚知道 上帝的心意是什麼
[00:01:06.740 --> 00:01:07.740]  Amen
[00:01:07.740 --> 00:01:10.880]  因為這一切都在上帝的掌管當中
[00:01:10.880 --> 00:01:14.180]  所以 大致這個世界 宇宙的萬物的這些
[00:01:14.180 --> 00:01:17.360]  這些的運作 運行 小至
[00:01:17.360 --> 00:01:19.040]  一個螞蟻
[00:01:19.040 --> 00:01:23.280]  他的人生 上帝都care Amen
[00:01:25.720 --> 00:01:26.720]  更何況你呢
[00:01:26.720 --> 00:01:30.760]  更何況你我 是不是 我們的人生當中
[00:01:30.760 --> 00:01:33.500]  神更關心我們人生當中的
[00:01:33.500 --> 00:01:35.200]  每一個決定 每一個旨意
[00:01:35.200 --> 00:01:39.440]  所以 關於神的旨意
[00:01:39.440 --> 00:01:42.340]  我想永遠是基督徒
[00:01:42.340 --> 00:01:43.820]  常常要問的一件事情
[00:01:43.820 --> 00:01:45.440]  如果你不問
[00:01:45.440 --> 00:01:48.220]  我懷疑你是不是基督徒
