
[00:00:00.000 --> 00:00:05.480]  今天我跟大家講的是列王紀夏第一章
[00:00:05.480 --> 00:00:10.120]  這一章很特別
[00:00:10.120 --> 00:00:14.000]  其實以利亞好像不是主角
[00:00:14.000 --> 00:00:18.520]  主角是阿哈王的兒子 阿哈借
[00:00:18.520 --> 00:00:23.520]  我首先想問大家一個問題
[00:00:23.520 --> 00:00:25.720]  當我們有病的時候
[00:00:25.720 --> 00:00:29.720]  我們最自然最快的反應會是什麼呢
[00:00:30.000 --> 00:00:33.920]  很簡單很直接
[00:00:33.920 --> 00:00:36.320]  當然第一件事就是去看醫生
[00:00:36.320 --> 00:00:38.640]  或者按醫生吩咐去喫藥
[00:00:38.640 --> 00:00:40.640]  或者自己去找藥喫
[00:00:40.640 --> 00:00:45.400]  講到看醫生
[00:00:45.400 --> 00:00:47.400]  我認識一對夫婦
[00:00:47.400 --> 00:00:50.800]  丈夫是做西醫的
[00:00:50.800 --> 00:00:53.800]  但太太是信中醫多一點
[00:00:53.800 --> 00:00:59.160]  當這位太太遇到傷風感冒的時候
[00:00:59.160 --> 00:01:03.560]  她就會自己去執劑中藥去喝
[00:01:03.560 --> 00:01:05.560]  就搞定了
[00:01:05.560 --> 00:01:09.560]  但當丈夫有什麼傷風感冒的時候又會怎樣呢
[00:01:09.560 --> 00:01:14.920]  這位太太照樣去執劑中藥給丈夫喝
[00:01:14.920 --> 00:01:16.920]  她丈夫就照樣喝
[00:01:16.920 --> 00:01:18.920]  就不疑
[00:01:18.920 --> 00:01:20.920]  又會搞定的
[00:01:20.920 --> 00:01:23.920]  這個故事就講完了
[00:01:23.920 --> 00:01:28.520]  你有什麼感想呢對這個故事
[00:01:28.920 --> 00:01:30.920]  我的意思就是想告訴大家
[00:01:30.920 --> 00:01:34.920]  當一個人遇到危難遇到危險
[00:01:34.920 --> 00:01:36.920]  需要幫助的時候
[00:01:36.920 --> 00:01:38.920]  他的反應
[00:01:38.920 --> 00:01:40.920]  即是他即時的反應
[00:01:40.920 --> 00:01:42.920]  或者他向誰求救呢
[00:01:42.920 --> 00:01:46.920]  其實是反映出他內心真正的信念是什麼
[00:01:46.920 --> 00:01:50.920]  這個很自然
[00:01:50.920 --> 00:01:54.920]  我們基督徒
[00:01:54.920 --> 00:01:56.920]  當我們遇到困難或者危險的時候
[00:01:56.920 --> 00:01:58.920]  我們即時的反應會是什麼呢
[00:01:58.920 --> 00:02:02.920]  我們會向誰來求助求救呢
[00:02:02.920 --> 00:02:08.920]  這個問題等下我們可以再問再回答
[00:02:08.920 --> 00:02:13.920]  我相信你們都可能會有一個既定答案的
[00:02:13.920 --> 00:02:17.920]  今日這段經文告訴我們
[00:02:17.920 --> 00:02:20.920]  阿哈借王當他有危難的時候
[00:02:20.920 --> 00:02:24.920]  他即刻去求問偶像假神
[00:02:24.920 --> 00:02:27.920]  卻是不懂得去求問
[00:02:27.920 --> 00:02:29.920]  創造天地萬物
[00:02:29.920 --> 00:02:32.920]  掌管生命的真神
[00:02:32.920 --> 00:02:35.920]  這個是非常愚蠢的事
[00:02:35.920 --> 00:02:39.920]  他是被偶像矇騙
[00:02:39.920 --> 00:02:41.920]  他誤以爲
[00:02:41.920 --> 00:02:44.920]  那些沒有生命氣息的偶像
[00:02:44.920 --> 00:02:47.920]  可以給他生命氣息
