
[00:00:00.000 --> 00:00:10.920]  如果你看看,今天在越南地方的時候可能第一個想到的就是約旦河西岸的政治分佈
[00:00:10.920 --> 00:00:16.300]  其實大家都目睹過幾天我們見到的情況
[00:00:16.300 --> 00:00:24.280]  最近聯合國的教育科學文化組織,這個叫做教科文組織
[00:00:24.280 --> 00:00:33.280]  宣佈將耶利哥斯坦的遺跡契入世界遺產領域
[00:00:33.280 --> 00:00:41.280]  以色列特別反對,因為這裡是約旦河西岸佔用區的一個部分
[00:00:41.280 --> 00:00:47.760]  變成世界遺跡,就繼續屬於以色列的遺產
[00:00:47.760 --> 00:00:54.440]  當然這也是美國的政治問題,廣東以色列也是跟美國的政治有關
[00:00:54.440 --> 00:00:59.840]  美國特朗普總統一早就跟以色列一齊開了UNESCO
[00:00:59.840 --> 00:01:07.240]  但是拜登總統第一件事,兩人一起重新開了UNESCO,這件事就變了
[00:01:07.240 --> 00:01:13.040]  所以有些基督徒看見像約旦河西岸這樣的故事的時候可能會問
[00:01:13.040 --> 00:01:20.040]  約旦河西岸能不能夠為以色列升星,約旦河西岸是屬於以色列
[00:01:20.040 --> 00:01:24.040]  提供一些歷史的依據呢?
[00:01:24.040 --> 00:01:31.040]  但有一個問題是很簡單的,真正的問題是神和哈巴拉罕所說的
[00:01:31.040 --> 00:01:37.040]  這個關於堅毀之地的契約,今天還有效呢?
[00:01:37.040 --> 00:01:45.040]  就是兩邊的納臣都有基督徒支持,在這個複雜的問題裡,即使約旦河西岸是屬於香港
[00:01:45.040 --> 00:01:50.040]  在現代的政治中提供的一些證據,最多來說是一些歷史背景
[00:01:50.040 --> 00:02:01.040]  但是神怎樣實現了對對哈巴拉罕的應許,讓約旦河西岸成為古以色列的領土?
[00:02:01.040 --> 00:02:11.040]  但是我們是否可以做到一個結論,今天這個叫以色列的建法國家是哈巴拉罕這個地區的合法繼承人呢?
[00:02:11.040 --> 00:02:17.040]  這個本身就很難聽了,所以約旦河西岸就很肯定了
[00:02:17.040 --> 00:02:22.040]  余理哥一直是一個引人入勝的考古學的科學家
[00:02:22.040 --> 00:02:29.040]  一般來說,很多歷史學家都認同余理哥
[00:02:29.040 --> 00:02:34.040]  余理哥是歷史上第一個有城牆的城市來的
[00:02:34.040 --> 00:02:43.040]  考古學家估計早在公元前八千年,余理哥就已經有築起了城牆這個地區
[00:02:43.040 --> 00:02:53.040]  很有趣的,一直過去幾百年,有些舊約順經的學者,始終將這些關於余理哥可以找到的遺跡
[00:02:53.040 --> 00:03:02.040]  與約書亞記、余理哥、聖經記載的對比,目的就是嘗試找到聖經記載的錯誤
[00:03:02.040 --> 00:03:06.040]  譬如說你學了一個田舊,你已經錯過了,你已經錯過了
[00:03:06.040 --> 00:03:08.040]  不過呢,始終是無所謂的
[00:03:08.040 --> 00:03:12.040]  其實大家看看約書亞記第六章
[00:03:12.040 --> 00:03:16.040]  不過今天書上其實確切的內容不一樣,是不一樣的
[00:03:16.040 --> 00:03:23.040]  所以就算是聖經有任何批評,最多是一支可以說是大膽的假史文章
[00:03:23.040 --> 00:03:28.040]  其實問題不是考古學本身,考古學本身是科學
[00:03:28.040 --> 00:03:34.040]  而是現代人去解釋聖經的批判態度
[00:03:34.040 --> 00:03:42.040]  如果有很多東西可以用的話,其實考古學給了我們約書亞記第六章很有意思的背景
[00:03:42.040 --> 00:03:47.040]  耶和華神去派這個儀式典,不費一兵力盡
[00:03:47.040 --> 00:03:51.040]  推翻了人類歷史的一共的城牆
[00:03:51.040 --> 00:03:59.040]  本來的共識,我想這個共識在當時的加拿大人可能會領悟的
[00:03:59.040 --> 00:04:04.040]  當很多倫理學家去提到約理哥的時候
[00:04:04.040 --> 00:04:09.040]  很多時候第一個也想到一個聖殿,Holy War的論點
[00:04:09.040 --> 00:04:13.040]  有些倫理學家認為聖殿是不合道德的
[00:04:13.040 --> 00:04:18.040]  他們批評約書亞記裡面的記載,是一個聖殿
[00:04:18.040 --> 00:04:22.040]  系列上有很多宗教戰爭的罪魁禍首
[00:04:22.040 --> 00:04:26.040]  包括伊斯蘭的聖殿,或者T恤
[00:04:26.040 --> 00:04:30.040]  或者中世紀十字軍當中這些活跡的東西
[00:04:30.040 --> 00:04:34.040]  約書亞記第六章耶利多之前
[00:04:34.040 --> 00:04:42.040]  並認為是一種古形的惡例,證明聖殿的宗教是殘忍和核如針刀的
[00:04:42.040 --> 00:04:45.040]  戰爭當然是一個很重要的倫理的課題
[00:04:45.040 --> 00:04:48.040]  但是如果你看到教育史的當中
[00:04:48.040 --> 00:04:54.040]  其實沒有任何認真的基督教或者猶太教的神學家
[00:04:54.040 --> 00:05:00.040]  是根據約書亞記第六章去提倡聖節的
[00:05:00.040 --> 00:05:04.040]  至少是伊斯蘭教裡面的聖節
[00:05:04.040 --> 00:05:08.040]  伊斯蘭的聖節是用戰爭來傳播他的宗教
[00:05:08.040 --> 00:05:12.040]  不願意去改信這個伊斯蘭教就會被處死
[00:05:12.040 --> 00:05:18.040]  但這個明顯不是以色列人對待耶利多人
[00:05:18.040 --> 00:05:20.040]  和其他加拿大的態度
[00:05:20.040 --> 00:05:24.040]  以色列人沒有強迫他們去歸根耶路華路
[00:05:24.040 --> 00:05:30.040]  以色列人也沒有和伊斯蘭人有什麼奪海深仇
[00:05:30.040 --> 00:05:36.040]  所以不可以把這個讀為一個佈局式的熱情行為
[00:05:36.040 --> 00:05:42.040]  耶利多被詭譯的宗義和全世界當中
[00:05:42.040 --> 00:05:45.040]  所多瑪羅摩拉是很相似的
[00:05:45.040 --> 00:05:51.040]  表達的是神對一個動不敗壞的國家行制的審判
[00:05:51.040 --> 00:05:55.040]  所以如果你想從這個約書亞記去找聖經
[00:05:55.040 --> 00:06:03.040]  對聖節倫理或者甚至戰爭倫理觀性的支持的時候
[00:06:03.040 --> 00:06:07.040]  有兩個很基本的色情學的研究是我們要思想的
[00:06:07.040 --> 00:06:15.040]  第一 聖經並在某一些國家那些名物那些事情
[00:06:15.040 --> 00:06:20.040]  不是就代表聖經的作者要讀者去依仰白狐龍
[00:06:20.040 --> 00:06:23.040]  每個人都要自己思考去做
[00:06:23.040 --> 00:06:28.040]  其次是耶利多的摧毀是一個只此一致的神蹟
[00:06:28.040 --> 00:06:32.040]  一個繞著城牆七次不是一個很實用的
[00:06:32.040 --> 00:06:34.040]  是五代時期插的 至少
[00:06:34.040 --> 00:06:38.040]  連古代的儀式也不是這樣搭著的
[00:06:38.040 --> 00:06:43.040]  換句話說 我們看聖經觀用的聖經的時候要小心
[00:06:43.040 --> 00:06:47.040]  不能夠不求甚大地去模仿
[00:06:47.040 --> 00:06:52.040]  我們其實這個港島系列這個城城保羅系列
[00:06:52.040 --> 00:06:55.040]  其實是一個本節的主題 是聖詩宣教
[00:06:55.040 --> 00:07:00.040]  那時候的宣教學家要透過聖經裡面的一些故事
[00:07:00.040 --> 00:07:06.040]  一些依循的他們主張的宣教方法和這些聖經的基礎
[00:07:06.040 --> 00:07:11.040]  不難想像 有些宣教學家就拿了約書亞記
[00:07:11.040 --> 00:07:17.040]  作為一些解鎖的宣教方法的理據
[00:07:17.040 --> 00:07:20.040]  我個人是不太會解鎖
[00:07:20.040 --> 00:07:22.040]  但如果你想找個理由去解鎖
[00:07:22.040 --> 00:07:27.040]  我想約書亞記第六章可能未必最好的聖經基礎
[00:07:27.040 --> 00:07:30.040]  第二次聖誕節我們有派成人
[00:07:30.040 --> 00:07:32.040]  可以參加他們的第二半聖誕節
[00:07:32.040 --> 00:07:35.040]  我們都希望聖誕節做一個解鎖
[00:07:35.040 --> 00:07:41.040]  我們不是希望祈禱之後 當然那一次聖誕就倒了
[00:07:41.040 --> 00:07:48.040]  當我們從聖經的故事當中去吸取城市宣教教訓的時候
[00:07:48.040 --> 00:07:52.040]  我們需要注意 首先要明白那個神國主題
[00:07:52.040 --> 00:07:54.040]  也要明白一樣東西
[00:07:54.040 --> 00:08:00.040]  現代的城市和古代的城市在概念上的差異
[00:08:00.040 --> 00:08:04.040]  古代的大城市其實是相等於今日的一些國家
[00:08:04.040 --> 00:08:08.040]  很多有自己的金王 很多有自己的軍隊
[00:08:08.040 --> 00:08:12.040]  是有自己獨有的文化 甚至有自己獨有的文明
[00:08:12.040 --> 00:08:15.040]  你看看雅典和斯巴特之爭
[00:08:15.040 --> 00:08:19.040]  是一個很出名的文明的鬥爭
[00:08:19.040 --> 00:08:22.040]  幾千年來研究古代文學的學者
[00:08:22.040 --> 00:08:25.040]  都會從這個文化的鬥爭
[00:08:25.040 --> 00:08:29.040]  文明的鬥爭的角度去看古代城市的故事
[00:08:29.040 --> 00:08:32.040]  這個是值得尊重的傳統
