
[00:00:00.000 --> 00:00:04.720]  很感謝神給我們今天再一次的聚會
[00:00:04.720 --> 00:00:05.960]  聽神的說話
[00:00:05.960 --> 00:00:08.880]  剛才也唱了很多好的歌
[00:00:08.880 --> 00:00:11.200]  那張榮耀也歸給了我們的天父
[00:00:11.200 --> 00:00:16.000]  今天我們繼續去說人和神的關係
[00:00:16.000 --> 00:00:19.560]  上次就說了我們怎樣去等候神
[00:00:19.560 --> 00:00:21.240]  等到頸都長
[00:00:21.240 --> 00:00:23.360]  等到神還沒回覆我們
[00:00:23.360 --> 00:00:25.000]  原來神是已經回覆了
[00:00:25.000 --> 00:00:27.480]  不過就是祂不是用我們的意思
[00:00:27.480 --> 00:00:29.920]  不是我們要聽到的答案
[00:00:29.920 --> 00:00:31.320]  就好像小朋友生日
[00:00:31.320 --> 00:00:32.600]  他想要買禮物
[00:00:32.600 --> 00:00:33.080]  要禮物
[00:00:33.080 --> 00:00:34.000]  你送了禮物給他
[00:00:34.000 --> 00:00:34.920]  他就捏了嘴
[00:00:34.920 --> 00:00:35.960]  為什麼呢?
[00:00:35.960 --> 00:00:38.560]  因為不是他想要的禮物
[00:00:38.560 --> 00:00:40.840]  這個我們也很明白
[00:00:40.840 --> 00:00:43.400]  但是我們的天父今天真的很忙碌
[00:00:43.400 --> 00:00:43.880]  知道嗎?
[00:00:43.880 --> 00:00:45.800]  因為每天都很多人生日
[00:00:45.800 --> 00:00:48.680]  每天都很多人要祈禱
[00:00:48.680 --> 00:00:50.280]  他不知道聽到誰說
[00:00:50.280 --> 00:00:52.000]  但是他有他的意思
[00:00:52.000 --> 00:00:56.320]  他真的為我們鋪了一條路是最好的
[00:00:56.320 --> 00:00:58.760]  剛才大家唱歌也看得到
[00:00:58.760 --> 00:01:01.400]  就是我們這條欣典的路
[00:01:01.400 --> 00:01:04.720]  可能就是當時我們走的時候不覺得
[00:01:04.720 --> 00:01:07.840]  但是過後回頭看一看
[00:01:07.840 --> 00:01:12.000]  原來上帝的欣典是很足夠我們所用
[00:01:12.000 --> 00:01:13.360]  很多時候很多基督徒
[00:01:13.360 --> 00:01:14.240]  信仰主義很多年
[00:01:14.240 --> 00:01:16.640]  都可以跟你說這個見證
[00:01:16.640 --> 00:01:18.720]  當時走我們是不服氣
[00:01:18.720 --> 00:01:19.560]  就好像彼得
[00:01:19.560 --> 00:01:20.800]  邪叔跟你說
[00:01:20.800 --> 00:01:22.360]  你拉著你走的
[00:01:22.360 --> 00:01:23.440]  束著你走的
[00:01:23.440 --> 00:01:25.400]  你不願意去的路
[00:01:25.400 --> 00:01:27.880]  但是年紀大了
[00:01:27.880 --> 00:01:28.840]  不是我大了
[00:01:28.840 --> 00:01:32.200]  就是屬靈的生命年紀久了
[00:01:32.200 --> 00:01:33.680]  有些人可能十歲信主
[00:01:33.680 --> 00:01:35.760]  三十歲已經有二十年屬靈經歷
[00:01:35.760 --> 00:01:37.200]  他回頭看一看
[00:01:37.200 --> 00:01:40.360]  發覺原來有主一路相伴
[00:01:40.360 --> 00:01:44.000]  原來主的欣典是沒有離開過我們
[00:01:44.000 --> 00:01:46.920]  這個是我們基督徒要去
