
[00:00:00.000 --> 00:00:03.120]  好 今天講的題目是甚麼呢
[00:00:03.120 --> 00:00:04.820]  我們一起讀好嗎
[00:00:04.820 --> 00:00:07.120]  風浪同行的主
[00:00:07.120 --> 00:00:08.240]  有些人很聰明
[00:00:08.240 --> 00:00:09.160]  一想又想起
[00:00:09.160 --> 00:00:10.560]  咦 就是甚麼呢
[00:00:10.560 --> 00:00:14.000]  一段我們如果是回教會比較久的
[00:00:14.000 --> 00:00:15.440]  你都會說
[00:00:15.440 --> 00:00:17.600]  平靜風浪的故事
[00:00:17.600 --> 00:00:18.640]  我想告訴你
[00:00:18.640 --> 00:00:19.520]  嚴格來說
[00:00:19.520 --> 00:00:20.840]  這個不是一個故事
[00:00:20.840 --> 00:00:23.400]  是耶穌所行的一個神蹟
[00:00:23.400 --> 00:00:25.600]  好 我們就看一看
[00:00:25.600 --> 00:00:27.200]  幾節的經文
[00:00:27.200 --> 00:00:30.120]  大家聽我讀出
[00:00:30.120 --> 00:00:33.080]  第四章第35到41節
[00:00:33.080 --> 00:00:35.640]  當那天晚上
[00:00:35.640 --> 00:00:37.720]  耶穌對門徒說
[00:00:37.720 --> 00:00:40.800]  我們到那邊去吧
[00:00:40.800 --> 00:00:42.640]  門徒離開眾人
[00:00:42.640 --> 00:00:45.040]  耶穌仍在船上
[00:00:45.040 --> 00:00:47.720]  他們就把祂一同帶去
[00:00:47.720 --> 00:00:51.440]  也有別的船和祂同去
[00:00:51.440 --> 00:00:55.720]  忽然起了暴風
[00:00:55.720 --> 00:00:57.640]  波浪打入船內
[00:00:57.640 --> 00:01:00.840]  甚至船要滿了水
[00:01:00.840 --> 00:01:03.000]  耶穌在船尾上
[00:01:03.000 --> 00:01:05.840]  枕著枕頭睡覺
[00:01:05.840 --> 00:01:08.040]  門徒叫醒了祂說
[00:01:08.040 --> 00:01:10.160]  夫子我們喪命
[00:01:10.160 --> 00:01:12.840]  你不顧嗎
[00:01:12.840 --> 00:01:14.440]  耶穌醒了
[00:01:14.440 --> 00:01:15.840]  斥責風
[00:01:15.840 --> 00:01:17.040]  向海說
[00:01:17.040 --> 00:01:18.320]  住了吧
[00:01:18.320 --> 00:01:19.800]  靜了吧
[00:01:19.800 --> 00:01:21.640]  風就指著
[00:01:21.640 --> 00:01:24.720]  大大地平靜了
[00:01:24.720 --> 00:01:26.280]  耶穌對他們說
[00:01:26.280 --> 00:01:27.920]  為甚麼膽怯
[00:01:27.920 --> 00:01:30.800]  你們說沒有信心嗎
[00:01:30.800 --> 00:01:33.320]  他們就大大懼怕
[00:01:33.320 --> 00:01:34.760]  彼此說
[00:01:34.760 --> 00:01:36.800]  這到底是誰
[00:01:36.800 --> 00:01:42.480]  連風和海也聽從了他
[00:01:42.480 --> 00:01:43.360]  是一個
[00:01:43.360 --> 00:01:44.480]  聖經告訴我們
[00:01:44.480 --> 00:01:46.920]  由35節告訴我們
[00:01:46.920 --> 00:01:50.040]  其實是一個很平靜的晚上
[00:01:50.040 --> 00:01:56.600]  是一個平常的晚上
[00:01:56.600 --> 00:01:59.960]  耶穌在當中
[00:01:59.960 --> 00:02:01.440]  我們見到
[00:02:01.440 --> 00:02:03.320]  錄一張
[00:02:03.320 --> 00:02:05.240]  在一個很平常的晚上裏面
[00:02:05.240 --> 00:02:06.800]  這裏記載著甚麼呢
[00:02:06.800 --> 00:02:09.560]  就是耶穌說我們到達那邊
[00:02:09.560 --> 00:02:11.240]  到達那邊是甚麼意思呢
[00:02:11.240 --> 00:02:13.720]  那時是在說加利利湖
[00:02:13.720 --> 00:02:17.320]  或者我們稱為加利海
[00:02:17.320 --> 00:02:20.360]  就是由耶穌教訓完門徒之後
[00:02:20.360 --> 00:02:22.440]  其實他很通常是這樣
[00:02:22.440 --> 00:02:26.800]  就是在海邊教訓完之後
[00:02:26.800 --> 00:02:28.200]  他就要休息的時候
[00:02:28.200 --> 00:02:30.440]  都會來到
[00:02:30.440 --> 00:02:31.960]  路到去另一邊
[00:02:31.960 --> 00:02:35.080]  在路加方面說這個湖
[00:02:35.080 --> 00:02:38.080]  就是說到這個加利利湖
[00:02:38.080 --> 00:02:41.040]  平日來說這個加利利湖
[00:02:41.040 --> 00:02:44.040]  是很風平浪靜的
[00:02:44.040 --> 00:02:46.160]  說起加利利湖
[00:02:46.160 --> 00:02:48.200]  2007年
[00:02:48.200 --> 00:02:51.080]  其實當中裏面有一個人
[00:02:51.080 --> 00:02:52.840]  你都應該很記得
[00:02:52.840 --> 00:02:55.760]  我們當時教會有一隊人
[00:02:55.760 --> 00:02:57.720]  我們大約是二三十人
[00:02:57.720 --> 00:02:58.640]  加上其他教會
[00:02:58.640 --> 00:03:00.800]  我們四十人很浩蕩蕩的一個團隊
[00:03:00.800 --> 00:03:03.520]  我們就去到其中
[00:03:03.520 --> 00:03:07.320]  我們以色列其中來到加利利湖
[00:03:07.320 --> 00:03:11.840]  我們每人都有一條叫彼得魚
[00:03:11.840 --> 00:03:15.040]  就是會吃很出名的彼得魚
[00:03:15.040 --> 00:03:17.600]  回想起來我們現在好像
[00:03:17.600 --> 00:03:18.520]  不是很久之前
[00:03:18.520 --> 00:03:21.280]  很開心我們很開心
[00:03:21.280 --> 00:03:23.040]  加利利湖
[00:03:23.040 --> 00:03:27.440]  我們知道除了出名是彼得魚之外
[00:03:27.440 --> 00:03:28.240]  很特別的
[00:03:28.240 --> 00:03:30.400]  它是一個淡水湖
[00:03:30.400 --> 00:03:32.440]  它在地平線
[00:03:32.440 --> 00:03:36.120]  低於地平線大約七百呎
[00:03:36.120 --> 00:03:37.920]  因為山勢的緣故
[00:03:37.920 --> 00:03:40.920]  有時所以當有氣流
[00:03:40.920 --> 00:03:43.360]  在山谷裏面吹下來的時候
[00:03:43.360 --> 00:03:48.680]  就在水面上刮成一個旋風或暴風
[00:03:48.680 --> 00:03:51.240]  所以耶穌就在聖經記載
[00:03:51.240 --> 00:03:53.320]  在第三十七節裏面
[00:03:53.320 --> 00:03:55.560]  忽然之間
[00:03:55.560 --> 00:03:58.560]  你要知道本來耶穌出海的時候
[00:03:58.560 --> 00:03:59.920]  我相信大家都知道
[00:03:59.920 --> 00:04:00.920]  很風平浪靜的
[00:04:00.920 --> 00:04:03.320]  如果不是在那時候不會出海
[00:04:03.320 --> 00:04:05.480]  和其他船都不會一起出海
[00:04:05.480 --> 00:04:06.240]  你都會知道
