
[00:00:00.000 --> 00:00:10.000]  如果我問大家你覺得信仰和宗教有什麼分別呢?
[00:00:10.000 --> 00:00:18.000]  究竟信心或者信仰和宗教兩者之間的分別在哪一方面呢?
[00:00:18.000 --> 00:00:23.000]  我相信如果要給大家一個問題,我相信大部份都覺得是有一些分別的
[00:00:23.000 --> 00:00:30.000]  如果大家說到宗教的時候,我想大家都會有一個印象,就是很多宗教禮儀
[00:00:30.000 --> 00:00:42.000]  很多事情要做的,或者某些物件是表達到你的宗教的,是表達到你對神的信心的
[00:00:42.000 --> 00:00:48.000]  這些是看得到的東西,但是信仰或者信心是看不到的
[00:00:48.000 --> 00:00:56.000]  信心很多時候是說人和神基於信心而引發的一個關係,這個就是信心
[00:00:56.000 --> 00:01:04.000]  通過今天的故事,我想和大家看看究竟信心或者信仰和宗教兩者之間的分別在哪一方面
[00:01:04.000 --> 00:01:15.000]  以致我們有了這個認知的時候,我們更加提防我們不要將活潑的信仰變成一個硬梆梆的宗教
[00:01:15.000 --> 00:01:22.000]  這個故事一開始的時候,如果是電影的時候,這個第一幕我們所看到的就是
[00:01:22.000 --> 00:01:29.000]  菲律師人和以色列人兩個的大軍互相擺陣對壘
[00:01:29.000 --> 00:01:36.000]  在這場戰事裏面,聖經就告訴他們,第一個的交鋒,以色列人戰敗
[00:01:36.000 --> 00:01:47.000]  當中被殺的有四千個以色列士兵,生還的士兵馬上回到他們的營地
[00:01:47.000 --> 00:01:57.000]  以色列的長老就問,耶和華今天為什麼使我們敗在菲律師人的面前呢
[00:01:57.000 --> 00:02:04.000]  大家覺得這個問題,他們究竟在問哪一個,這個問題是向誰問的
[00:02:04.000 --> 00:02:13.000]  如果我們說他們這個問題是問神的話,似乎他們沒有期望到有答案
[00:02:13.000 --> 00:02:24.000]  因為我們根本沒有等到神給他們任何答案之前,他們已經為自己定了一個解決的方法
[00:02:24.000 --> 00:02:34.000]  他們就說,我們不如將耶和華的約跪從斯洛搬到我們戰爭的前線
[00:02:34.000 --> 00:02:42.000]  好讓約跪在我們中間能夠救我們脫離菲律師人的手
[00:02:42.000 --> 00:02:53.000]  什麼是約跪,你猜約跪是不是真的有能力讓他們在戰爭裏面得著勝利呢
[00:02:53.000 --> 00:03:00.000]  如果有一些不太熟悉約跪歷史的丁小妹,稍為講解
[00:03:00.000 --> 00:03:08.000]  約跪就是神藉摩西來做的一個跪
[00:03:08.000 --> 00:03:13.000]  如果我們看這個《春海及記》的二十五章,那裏很詳細的
[00:03:13.000 --> 00:03:22.000]  神是將約跪的大小,很清楚用什麼物料等等,都是吩咐摩西的
[00:03:22.000 --> 00:03:32.000]  做好之後,將十佳的法板放在約跪裏面
[00:03:32.000 --> 00:03:38.000]  然後用什麼材料做,做完之後要用金紙作出兩個基路柏
[00:03:38.000 --> 00:03:45.000]  基路柏就是天使,將這兩個基路柏放在詩恩座的兩邊
[00:03:45.000 --> 00:03:55.000]  詩恩座的兩邊,基路柏的中間就是神與人會面的地方
[00:03:55.000 --> 00:04:01.000]  如果大家看投影的時候,約跪大概是這樣的樣子
[00:04:01.000 --> 00:04:05.000]  約跪可以說是象徵著神的臨在
[00:04:05.000 --> 00:04:13.000]  也不斷通過約跪來提醒以色列人,神是與祂的子民立約的
[00:04:13.000 --> 00:04:23.000]  將以色列人所做的約跪,而這個約跪是代表神的同在
[00:04:23.000 --> 00:04:29.000]  將這個約跪放在現場的大前方,有什麼問題呢?
[00:04:29.000 --> 00:04:35.000]  我們看看這個約跪如何在以色列人的歷史裏面
[00:04:35.000 --> 00:04:38.000]  為他們帶來不同類型的勝利
[00:04:38.000 --> 00:04:48.000]  如果我們看約書亞記,當約書亞要帶領當時的以色列人過約旦河的時候
[00:04:48.000 --> 00:04:54.000]  約書亞對人們說,你們要聽耶和華的話
[00:04:54.000 --> 00:05:08.000]  普天下主的約跪在你們前面帶著我們走,將約跪被祭司抬到約旦河
[00:05:08.000 --> 00:05:14.000]  當祭司的腳站在約旦河的水裏面的時候
[00:05:14.000 --> 00:05:22.000]  約旦河的水就會從往下流的水突然間斷絕,立起成壘
[00:05:22.000 --> 00:05:30.000]  約書亞領受了神的吩咐,就跟著這樣做
[00:05:30.000 --> 00:05:38.000]  當祭司的腳踏入河水的時候,河水就真的停了
[00:05:38.000 --> 00:05:44.000]  在這個時代裏面,約跪不單止為當時的以色列人帶路
[00:05:44.000 --> 00:05:47.000]  甚至是為他們開路
[00:05:47.000 --> 00:05:50.000]  我們再看另外一個例子
[00:05:50.000 --> 00:05:58.000]  當約書亞帶領以色列人奪取了耶利歌之後
[00:05:58.000 --> 00:06:05.000]  當他們要攻打耶利歌城的時候
[00:06:05.000 --> 00:06:14.000]  神就命令他們要讓約跪在他們的前面走,繞城七天
[00:06:14.000 --> 00:06:23.000]  在最後的時候一同歡呼,呼叫,城牆就會倒塌
[00:06:23.000 --> 00:06:27.000]  他們就能夠攻取當時的耶利歌城
[00:06:27.000 --> 00:06:37.000]  在這個故事裏面,神也是利用約跪在以色列的軍隊之前來帶路
[00:06:37.000 --> 00:06:41.000]  來讓他們得到勝利
[00:06:41.000 --> 00:06:44.000]  如果是這樣的話,問題就來了
[00:06:44.000 --> 00:06:51.000]  昔日約跪可以在他們的前方讓他們爭戰得著勝利
[00:06:51.000 --> 00:06:56.000]  為什麼這次不行呢?
[00:06:56.000 --> 00:07:07.000]  以色列人以為一定是因為約跪不在他們的戰場那裏
[00:07:07.000 --> 00:07:11.000]  所以他們這次就失敗
