
[00:00:00.000 --> 00:00:02.800]  我們首先看一段聖經
[00:00:02.800 --> 00:00:05.320]  我們看第五章
[00:00:05.320 --> 00:00:08.240]  二十二到三十二節
[00:00:08.240 --> 00:00:11.840]  我們一起去讀這段聖經
[00:00:11.840 --> 00:00:13.280]  預備起
[00:00:13.280 --> 00:00:15.160]  作妻子的
[00:00:15.160 --> 00:00:18.080]  順服自己的丈夫
[00:00:18.080 --> 00:00:19.920]  如同順服主
[00:00:19.920 --> 00:00:22.800]  因為丈夫是妻子的頭
[00:00:22.800 --> 00:00:25.480]  如同基督是教會的頭
[00:00:25.480 --> 00:00:28.320]  他又是這身體的救主
[00:00:28.320 --> 00:00:30.840]  教會怎樣順服基督
[00:00:30.840 --> 00:00:34.840]  妻子也要怎樣順服自己
[00:00:34.840 --> 00:00:36.280]  作丈夫的
[00:00:36.280 --> 00:00:38.880]  你們要愛自己的妻子
[00:00:38.880 --> 00:00:41.120]  正如基督愛教會
[00:00:41.120 --> 00:00:43.120]  為教會捨己
[00:00:43.120 --> 00:00:48.960]  使他成為聖傑
[00:00:48.960 --> 00:00:50.640]  好獻給自己
[00:00:50.640 --> 00:00:52.880]  作榮耀的教會
[00:00:52.880 --> 00:00:54.680]  毫無玷污
[00:00:54.680 --> 00:00:57.080]  咒文等類的缺陷
[00:00:57.080 --> 00:01:00.120]  而是聖傑沒有瑕疵的
[00:01:00.120 --> 00:01:03.560]  丈夫也應當照樣愛妻子
[00:01:03.560 --> 00:01:05.920]  如同愛自己的身體
[00:01:05.920 --> 00:01:09.120]  愛妻子就是愛自己了
[00:01:09.120 --> 00:01:12.520]  從來沒有人恨惡自己的身體
[00:01:12.520 --> 00:01:14.720]  總是保養愛惜
[00:01:14.720 --> 00:01:16.320]  正像基督
[00:01:16.320 --> 00:01:22.560]  這個緣故
[00:01:22.560 --> 00:01:24.480]  人要離開父母
[00:01:24.480 --> 00:01:25.960]  與妻子結合
[00:01:25.960 --> 00:01:27.960]  以人成為一體
[00:01:27.960 --> 00:01:30.160]  這是極大的奧秘
[00:01:30.160 --> 00:01:33.960]  而我是指基督和教會說的
[00:01:33.960 --> 00:01:35.720]  我們再次低頭禱告
[00:01:55.960 --> 00:01:59.080]  我們能夠看到祢向我們說的話
[00:01:59.080 --> 00:02:00.480]  所以替我們的禱告
[00:02:00.480 --> 00:02:03.480]  願納我們眾人用謙卑尋求祢的心
[00:02:03.480 --> 00:02:04.560]  到祢面前
[00:02:04.560 --> 00:02:05.760]  蒙祢的月納
[00:02:05.760 --> 00:02:07.560]  奉耶穌基督明智祈求
[00:02:07.560 --> 00:02:08.960]  阿門
[00:02:08.960 --> 00:02:10.960]  剛才大家讀那段聖經
[00:02:10.960 --> 00:02:14.120]  很多時候會在婚禮中間
[00:02:14.120 --> 00:02:15.320]  就勸勉
[00:02:15.320 --> 00:02:17.640]  於是一部分說話
[00:02:17.640 --> 00:02:19.640]  很容易對新郎說
[00:02:19.640 --> 00:02:22.640]  一部分對新娘說
[00:02:22.640 --> 00:02:24.040]  我們聽著聽著
[00:02:24.040 --> 00:02:25.160]  都習以為常
[00:02:25.160 --> 00:02:28.160]  以為這段說話是人倫的教導
[00:02:28.160 --> 00:02:30.160]  夫婦之道
[00:02:30.160 --> 00:02:34.560]  聖經是有教我們生活上的準則去做事
[00:02:34.560 --> 00:02:37.560]  但這段聖經如果大家留心看的話
[00:02:37.560 --> 00:02:38.360]  讀的話
[00:02:38.360 --> 00:02:40.760]  發覺不單單只是告訴你
[00:02:40.760 --> 00:02:44.760]  你今天家庭出了甚麼問題
[00:02:44.760 --> 00:02:46.760]  所以
[00:02:46.760 --> 00:02:48.760]  做弟兄的要這樣做
[00:02:48.760 --> 00:02:50.760]  做姐妹的要這樣做
[00:02:50.760 --> 00:02:53.960]  這樣做就將整個聖經分割了
[00:02:53.960 --> 00:02:55.960]  好像說你聽這部分
[00:02:55.960 --> 00:02:57.960]  你聽這部分
[00:02:57.960 --> 00:02:59.960]  甚至更不幸地
[00:02:59.960 --> 00:03:01.960]  當你遇到一些挫折困難
[00:03:01.960 --> 00:03:03.960]  家庭有糾紛的時候
[00:03:03.960 --> 00:03:04.960]  你就想
[00:03:04.960 --> 00:03:07.960]  最好你去看那段聖經
[00:03:07.960 --> 00:03:11.960]  他就說不如你看那段聖經
[00:03:11.960 --> 00:03:13.960]  那段說話要馴服
[00:03:13.960 --> 00:03:15.960]  我是頭你要馴服我
[00:03:15.960 --> 00:03:17.960]  那裡說不是的
[00:03:17.960 --> 00:03:19.960]  那個愛你要為我寫記
[00:03:19.960 --> 00:03:21.960]  你咬餐死
[00:03:21.960 --> 00:03:25.960]  這個人倫道理結果成為爭吵的道理
[00:03:25.960 --> 00:03:27.960]  聖經是不是這樣看呢
[00:03:27.960 --> 00:03:29.960]  我們再看一看
[00:03:29.960 --> 00:03:31.960]  同樣的聖經
[00:03:31.960 --> 00:03:33.960]  不過我將它用顏色
[00:03:33.960 --> 00:03:35.960]  強化了一些東西
[00:03:35.960 --> 00:03:36.960]  讓你看一看
[00:03:36.960 --> 00:03:37.960]  第21節
