
[00:00:00.000 --> 00:00:03.560]  主我們多謝祢 因為祢再一次應許告訴我們
[00:00:03.560 --> 00:00:06.120]  祢的恩典是足夠我們每一個人用的
[00:00:06.120 --> 00:00:08.980]  多謝主 奉主名求 阿門
[00:00:08.980 --> 00:00:10.280]  好 各位請坐
[00:00:10.280 --> 00:00:16.800]  很開心 今天我們可以再一次的回到神的殿裏面
[00:00:16.800 --> 00:00:19.360]  我們一層的來領受神的話語
[00:00:19.360 --> 00:00:21.060]  在上個星期裏面
[00:00:21.060 --> 00:00:25.120]  李志輝傳道來跟我們開始講下蓋書
[00:00:25.120 --> 00:00:31.840]  因為下蓋書都是我們現在讀經釋語裏面來看的
[00:00:31.840 --> 00:00:34.760]  上一次講第一章
[00:00:34.760 --> 00:00:38.000]  大家知不知道下蓋書有多少章的
[00:00:38.000 --> 00:00:41.520]  三章 兩章
[00:00:41.520 --> 00:00:43.560]  上次已經講了第一章
[00:00:43.560 --> 00:00:45.900]  這次我們講第二章
[00:00:45.900 --> 00:00:49.940]  但奇怪的第二章我們還有四...
[00:00:49.940 --> 00:00:55.260]  還有兩次 除了我之外還有兩次會講的
[00:00:55.260 --> 00:01:00.260]  即是我們一共會用這一個月四次來講下蓋書
[00:01:00.260 --> 00:01:03.380]  第二章裏面 今天我們講一至九節
[00:01:03.380 --> 00:01:06.740]  就是講一個題目叫「鼓勵」和「應許」
[00:01:06.740 --> 00:01:09.580]  當然這個「鼓勵」和「應許」是來自神自己的
[00:01:09.580 --> 00:01:11.780]  所以我們要豎起耳朵聽聽
[00:01:11.780 --> 00:01:14.740]  好 我就想跟大家有少少重溫
[00:01:14.740 --> 00:01:18.740]  以致我們可以繼續落第二章裏面
[00:01:18.740 --> 00:01:21.420]  好 我們看一看上個禮拜
[00:01:21.420 --> 00:01:23.660]  李梓輝傳道已經給我們看過了
[00:01:23.660 --> 00:01:26.820]  以色列民被擄歸回重建聖殿
[00:01:26.820 --> 00:01:34.340]  以色列民在公元前586年被巴比倫所亡
[00:01:34.340 --> 00:01:36.460]  他們這班聖民被擄
[00:01:36.460 --> 00:01:39.460]  聖殿在當時也被巴比倫所毀
[00:01:39.460 --> 00:01:41.180]  在50年之後
[00:01:41.180 --> 00:01:43.780]  神就改朝換代
[00:01:43.780 --> 00:01:46.420]  在中間裏面令到波斯的皇帝
[00:01:46.420 --> 00:01:49.180]  他有一種的恩惠
[00:01:49.180 --> 00:01:52.260]  讓以色列人可以來回國
[00:01:52.260 --> 00:01:56.540]  所以第一批回國的人
[00:01:56.540 --> 00:02:01.020]  就是由索羅巴伯帶領了五萬人來回歸
[00:02:01.020 --> 00:02:04.500]  在當時裏面就立了聖殿的根基
[00:02:04.500 --> 00:02:07.980]  大家都記得上次李傳道說
[00:02:07.980 --> 00:02:10.940]  一等這座根基等了多少年
[00:02:10.940 --> 00:02:12.620]  16年了 沒錯
[00:02:12.620 --> 00:02:15.900]  直到神真的忍無可忍
[00:02:15.900 --> 00:02:19.460]  於是透過黑蓋先知來提醒他們
[00:02:19.460 --> 00:02:21.300]  你們要如何建殿
