
[00:00:00.000 --> 00:00:04.840]  好 今早想和大家去看另一個書信
[00:00:04.840 --> 00:00:06.880]  我們上個禮拜開了啟示錄
[00:00:06.880 --> 00:00:09.200]  我們會講七間的教會
[00:00:09.200 --> 00:00:12.680]  但我們只選取其中的四間
[00:00:12.680 --> 00:00:14.920]  在中間裏面 我們看一看
[00:00:14.920 --> 00:00:18.720]  今天給第二間教會的書信是哪一間呢
[00:00:18.720 --> 00:00:21.520]  就是別加摩教會的書信
[00:00:21.520 --> 00:00:22.600]  仍然在第二章裏面
[00:00:22.600 --> 00:00:25.520]  在十二節到第十七節
[00:00:25.520 --> 00:00:28.760]  我們看一看我們的地圖好不好
[00:00:29.360 --> 00:00:32.080]  上次楊牧師也給大家看過了
[00:00:32.080 --> 00:00:38.240]  在中間裏面 我們在我的右手邊看一看
[00:00:38.240 --> 00:00:41.960]  就是這七間教會是這樣寫成的
[00:00:41.960 --> 00:00:45.160]  就是以弗所教會 仕滿尼教會
[00:00:45.160 --> 00:00:49.000]  和別加摩教會 推亞推拉 薩迪
[00:00:49.000 --> 00:00:52.120]  菲拉鐵菲和魯迪加 七間教會
[00:00:52.120 --> 00:00:53.560]  給這七間教會
[00:00:53.560 --> 00:00:56.440]  上個禮拜我們就講了第一間
[00:00:56.440 --> 00:00:58.440]  就是以弗所的教會
[00:00:58.440 --> 00:01:01.840]  以弗所的教會其實是一個古老的城市
[00:01:01.840 --> 00:01:04.000]  但在第一世紀的時候
[00:01:04.000 --> 00:01:06.520]  它就成為了一個信仰的重心
[00:01:06.520 --> 00:01:07.840]  上次也講過了
[00:01:07.840 --> 00:01:09.920]  在第一世紀的時候
[00:01:09.920 --> 00:01:15.640]  特別神有清許 有責備
[00:01:15.640 --> 00:01:20.520]  這個也是七間書信裏面的格式
[00:01:20.520 --> 00:01:22.720]  就是主自己 宣稱自己
[00:01:22.720 --> 00:01:26.600]  和這間教會的信息非常有關係
[00:01:26.600 --> 00:01:31.200]  對他們的稱讚 對他們的責備
[00:01:31.200 --> 00:01:33.720]  對他們的勸勉 對他們的應許
[00:01:33.720 --> 00:01:35.480]  都是這樣的形式
[00:01:35.480 --> 00:01:38.160]  接下來我們說
[00:01:38.160 --> 00:01:41.440]  以弗所教會就是神稱讚他們很多的東西
[00:01:41.440 --> 00:01:45.160]  然後責備他 因為他失去了起初的愛心
[00:01:45.160 --> 00:01:51.160]  所以就提醒他們要持守 要去收拾這個愛心
[00:01:51.160 --> 00:01:53.680]  以致他們能夠為主作供
[00:01:53.680 --> 00:01:59.680]  在第一世紀之後 史姆萊教會在中間的時候
[00:01:59.680 --> 00:02:01.200]  就覺得很奇怪
[00:02:01.200 --> 00:02:07.640]  史姆萊教會和菲拉鐵菲教會
[00:02:07.640 --> 00:02:10.760]  是七間教會裏面只有兩間教會
[00:02:10.760 --> 00:02:13.560]  是神稱讚他們 沒有責備的
[00:02:13.560 --> 00:02:19.000]  史姆萊教會在當時裏面面對很大的逼迫
[00:02:19.000 --> 00:02:26.160]  但是這個逼迫反而令到這一班人顯出他們對主的忠心
[00:02:26.160 --> 00:02:29.480]  所以神稱讚他們至死忠心
[00:02:29.480 --> 00:02:32.880]  是對他們沒有責備的
[00:02:32.880 --> 00:02:36.360]  來到別加摩的教會 大約是第四世紀
[00:02:36.360 --> 00:02:40.160]  是312至606 大約有三百年的時間
[00:02:40.160 --> 00:02:46.360]  這間教會 神又再一次有責備在中間
[00:02:46.360 --> 00:02:52.640]  我們一會兒會提到 別加摩的教會在當時裏面
