
[00:00:00.000 --> 00:00:06.200]  讓我們再次同心低頭祈禱預備去聆聽主的說話
[00:00:06.200 --> 00:00:10.080]  慈悲的父神多謝你
[00:00:10.080 --> 00:00:13.040]  多謝你讓我們每一個熟悉你的子民
[00:00:13.040 --> 00:00:16.760]  能夠再次回來在你聖經的啟示裡面
[00:00:16.760 --> 00:00:20.720]  讓你主動介紹給我們知道
[00:00:20.720 --> 00:00:22.760]  和認識你是怎樣的一位主
[00:00:22.760 --> 00:00:24.560]  我們為此獻上感恩
[00:00:24.560 --> 00:00:26.600]  求因主你的帶領
[00:00:26.960 --> 00:00:30.000]  讓我們在過去的差不多一年的裡面
[00:00:30.000 --> 00:00:31.440]  我們去思想
[00:00:31.440 --> 00:00:36.160]  你在但以你的僕人的記載裡面
[00:00:36.160 --> 00:00:40.280]  讓我們看到一位當作神子民的人
[00:00:40.280 --> 00:00:44.480]  怎樣活在一個動盪的世界當中
[00:00:44.480 --> 00:00:47.520]  他不是為自己而去掙扎
[00:00:47.520 --> 00:00:50.400]  而是與上帝你的子民
[00:00:50.400 --> 00:00:54.680]  和上帝一同走這條掙扎的屬靈道路
[00:00:55.360 --> 00:00:57.200]  我們為此獻上感謝
[00:00:57.200 --> 00:01:01.080]  也將我們今天來到最後一段的經文
[00:01:01.080 --> 00:01:03.440]  我們透過這段聖經
[00:01:03.440 --> 00:01:09.280]  去看到你的僕人怎樣在你的帶領裡面
[00:01:09.280 --> 00:01:12.240]  安然看到上帝你的工作
[00:01:12.240 --> 00:01:16.160]  求你也讓我們活在這個時代裡面
[00:01:16.160 --> 00:01:21.920]  能夠帶著一份穩固恆常的生命來在上子女的當中
[00:01:22.360 --> 00:01:26.480]  來看到你是那位掌管世界的神
[00:01:26.480 --> 00:01:31.440]  我們再次將這段聽主你的說話的時間恭敬交上
[00:01:31.440 --> 00:01:33.520]  求你的聖靈帶領
[00:01:33.520 --> 00:01:38.080]  禱告奉靠主耶穌基督得勝的名字而求
[00:01:38.080 --> 00:01:38.880]  阿們
[00:01:38.880 --> 00:01:43.240]  今天因為天雨的關係
[00:01:43.240 --> 00:01:47.640]  上帝讓我們可以留在家裡崇拜
[00:01:47.640 --> 00:01:50.280]  我覺得這是一個祝福
[00:01:50.720 --> 00:01:54.280]  讓我們能夠在這個祝福裡面
[00:01:54.280 --> 00:01:58.640]  能夠不斷帶著一份火熱的心去學習主的說話
[00:01:58.640 --> 00:02:02.200]  今天我們會一起來到回到去看
[00:02:02.200 --> 00:02:06.080]  但爾利書的最後的一部分
[00:02:06.080 --> 00:02:07.560]  或者可以這麼說
[00:02:07.560 --> 00:02:13.400]  每次當我說到一卷書卷的最後一課的主要崇拜的時候
[00:02:13.400 --> 00:02:16.120]  我都有種依依不捨的感覺
[00:02:16.120 --> 00:02:21.160]  因為好像和但爾利相處了足足一年的時間
[00:02:21.160 --> 00:02:25.240]  看見但爾利在上帝的帶領之下
[00:02:25.240 --> 00:02:32.680]  怎樣憑信恆在上帝所安託他在一個完全不理想的環境
[00:02:32.680 --> 00:02:39.520]  是一個對於在他屬靈生命上面有很多挑戰的一位的神僕
[00:02:39.520 --> 00:02:42.760]  讓我們能夠在他的生命裡面去學習
[00:02:42.760 --> 00:02:44.640]  學習到些什麼呢?
[00:02:45.040 --> 00:02:48.600]  是不是學習到怎樣去在外國的世界裡面
[00:02:48.600 --> 00:02:52.480]  一個非猶太人的世界裡面為自己去爭取呢?
[00:02:52.480 --> 00:02:59.240]  還是更加找機會去嘗試為自己去謀取一些的利益呢?
[00:02:59.240 --> 00:03:01.120]  今天我們會進一步去看一下
[00:03:01.120 --> 00:03:04.680]  這個但爾利書的結局
[00:03:04.680 --> 00:03:08.360]  讓我們去看到但爾利在最後的記載
[00:03:08.360 --> 00:03:11.000]  他所認識的是些什麼東西
