
[00:00:00.000 --> 00:00:02.900]  我們先開始的時候,我們一起祈禱
[00:00:02.900 --> 00:00:05.800]  在主,我們感謝讚美祢
[00:00:05.800 --> 00:00:10.980]  多謝祢讓我們今天早上能夠在這裡一同去敬拜祢
[00:00:10.980 --> 00:00:12.780]  並且聽祢的話語
[00:00:12.780 --> 00:00:16.060]  願上帝祢的話語成為我們生命的提醒
[00:00:16.060 --> 00:00:18.460]  也都對我們生命帶來挑戰
[00:00:18.460 --> 00:00:21.180]  以主,我們在祢的話語裏面有好的學習
[00:00:21.180 --> 00:00:23.100]  好的經歷,好的成長
[00:00:23.100 --> 00:00:27.300]  我們這樣禱告,是奉主耶穌基督,得聖名字祈求
[00:00:28.380 --> 00:00:30.140]  今天是教育主日
[00:00:30.140 --> 00:00:32.380]  可以藉著開學的時刻
[00:00:32.380 --> 00:00:35.700]  讓我們一同思考教育的意義和承擔
[00:00:35.700 --> 00:00:38.500]  教育其實是關乎於學習
[00:00:38.500 --> 00:00:42.460]  學習是關乎於追尋知識,追尋認識
[00:00:42.460 --> 00:00:48.220]  追尋知識可能是讓我們能夠更加豐富,開拓視野
[00:00:48.220 --> 00:00:52.220]  而追尋認識就是讓我們更加認識自己的生命
[00:00:52.220 --> 00:00:54.220]  也都認識自己的限制
[00:00:54.220 --> 00:00:57.540]  以至我們能夠尋找到一個適當的領域
[00:00:57.540 --> 00:00:59.540]  好好發揮自己
[00:00:59.540 --> 00:01:03.420]  不過這個尋找的過程其實真的不容易
[00:01:03.420 --> 00:01:09.140]  但是當我們明白當中的意義和重要性的時候
[00:01:09.140 --> 00:01:11.580]  就能夠成為我們的推動力
[00:01:11.580 --> 00:01:14.100]  所以盼望今天我們藉著
[00:01:14.100 --> 00:01:18.620]  今天的《講道經文》,《路加福音》十五章一至十節
[00:01:18.620 --> 00:01:22.980]  提一提上帝當中對我們的兩個教導
[00:01:22.980 --> 00:01:27.980]  因為當中有兩個很有趣的比喻故事
[00:01:27.980 --> 00:01:29.980]  是有關尋找的
[00:01:29.980 --> 00:01:34.580]  這樣我們都可以明白什麼才是上帝歡喜的事
[00:01:34.580 --> 00:01:39.900]  大家都知道比喻是藉故事去講背後的一些道理
[00:01:39.900 --> 00:01:42.140]  所以我們首先都要明白一下
[00:01:42.140 --> 00:01:45.380]  耶穌為什麼要講這個比喻
[00:01:45.380 --> 00:01:48.860]  所以我們看一看《經文》第一至第三節
[00:01:48.860 --> 00:01:51.980]  其實就說法利賽人和文士
[00:01:51.980 --> 00:01:53.980]  文士即是經學家
[00:01:53.980 --> 00:01:56.340]  對聖經有一些理解
[00:01:56.340 --> 00:02:01.100]  法利賽人和文士看見耶穌接待稅吏和罪人
[00:02:01.100 --> 00:02:02.580]  和他們吃飯
