
[00:00:00.000 --> 00:00:05.000]  今日同大家睇一段《舊約聖經李美記第十一章》
[00:00:05.000 --> 00:00:06.500]  在度想問下大家
[00:00:06.500 --> 00:00:09.000]  在座當中有邊一位
[00:00:09.000 --> 00:00:12.500]  曾經以前已經好完整地
[00:00:12.500 --> 00:00:17.000]  閱讀過一個成卷的李美記呢?
[00:00:17.000 --> 00:00:19.000]  有的舉一舉手
[00:00:19.000 --> 00:00:21.000]  差唔多架啦
[00:00:21.000 --> 00:00:22.000]  放低手啦
[00:00:22.000 --> 00:00:23.000]  我估計差唔多架啦
[00:00:23.000 --> 00:00:25.000]  都唔係好多人架姐
[00:00:25.000 --> 00:00:26.000]  通常都咁晨黑
[00:00:26.000 --> 00:00:27.000]  都唔知咁
[00:00:27.000 --> 00:00:28.000]  又好悶
[00:00:28.000 --> 00:00:28.500]  唔睇啦
[00:00:28.500 --> 00:00:29.000]  睇第二度啦
[00:00:29.000 --> 00:00:30.000]  咁樣樣
[00:00:30.000 --> 00:00:31.000]  咁呢就
[00:00:31.000 --> 00:00:33.000]  不過我想問下大家
[00:00:33.000 --> 00:00:34.000]  就算你睇
[00:00:34.000 --> 00:00:35.000]  睇咗咁上下
[00:00:35.000 --> 00:00:38.000]  李美記有一個乜嘢印象畀你呀?
[00:00:38.000 --> 00:00:40.000]  可唔可以大聲啲講下?
[00:00:40.000 --> 00:00:42.000]  李美記有咩印象?
[00:00:42.000 --> 00:00:44.000]  唔知你講乜
[00:00:44.000 --> 00:00:46.000]  冇嘢印象
[00:00:46.000 --> 00:00:48.000]  早堂嘅時候呢
[00:00:48.000 --> 00:00:49.000]  你都講啦
[00:00:49.000 --> 00:00:50.000]  好多條例囉
[00:00:50.000 --> 00:00:52.000]  有啲咩規矩要做囉
[00:00:52.000 --> 00:00:53.000]  咁樣樣
[00:00:53.000 --> 00:00:55.000]  咁依都係一個印象
[00:00:55.000 --> 00:00:56.000]  其實李美記呢
[00:00:56.000 --> 00:00:57.000]  係好早好早之前
[00:00:57.000 --> 00:00:59.000]  當以色列人呢
[00:00:59.000 --> 00:01:00.000]  上帝帶領以色列商埃及嘅時候
[00:01:00.000 --> 00:01:01.000]  喺抗野嘅時候呢
[00:01:01.000 --> 00:01:02.000]  上帝呢
[00:01:02.000 --> 00:01:04.000]  畀佢哋一啲嘅吩咐
[00:01:04.000 --> 00:01:06.000]  一啲好多唔同嘅條例
[00:01:06.000 --> 00:01:07.000]  喺裏面
[00:01:07.000 --> 00:01:08.000]  裏面呢記載咗呢
[00:01:08.000 --> 00:01:10.000]  好多種唔同嘅祭禮
[00:01:10.000 --> 00:01:12.000]  應該點做點做點做
[00:01:12.000 --> 00:01:13.000]  同埋呢
[00:01:13.000 --> 00:01:15.000]  祭司嘅職責應該點樣點做
[00:01:15.000 --> 00:01:16.000]  祭司嘅服飾
[00:01:16.000 --> 00:01:18.000]  細緻嘅都描述埋
[00:01:18.000 --> 00:01:19.000]  唔單止咁樣
[00:01:19.000 --> 00:01:20.000]  裏面仲有啲條例
[00:01:20.000 --> 00:01:21.000]  食物條例
[00:01:21.000 --> 00:01:22.000]  咩係潔淨咩唔潔淨
[00:01:22.000 --> 00:01:23.000]  點樣成性嘅
[00:01:23.000 --> 00:01:27.000]  仲有啲大麻瘋嘅病或者血漏病
[00:01:27.000 --> 00:01:28.000]  點樣去檢查出嚟
[00:01:28.000 --> 00:01:29.000]  點樣樣呢
[00:01:29.000 --> 00:01:30.000]  佢如果要乾淨咗之後
[00:01:30.000 --> 00:01:31.000]  又點樣去檢查下
[00:01:31.000 --> 00:01:32.000]  點樣去就
[00:01:32.000 --> 00:01:34.000]  有咁嘅條例寫低落嚟
[00:01:34.000 --> 00:01:35.000]  甚至呢
[00:01:35.000 --> 00:01:37.000]  有好多唔同嘅猶太人嘅節旗呢
[00:01:37.000 --> 00:01:38.000]  都記載
[00:01:38.000 --> 00:01:39.000]  點樣咁做
[00:01:39.000 --> 00:01:40.000]  點樣做點樣做點想
[00:01:40.000 --> 00:01:41.000]  等等等等
[00:01:41.000 --> 00:01:42.000]  咁呢就
[00:01:42.000 --> 00:01:44.000]  呢啲就畀以色列人啦
[00:01:44.000 --> 00:01:46.000]  嚟到去遵從
[00:01:46.000 --> 00:01:47.000]  不過你覺得
[00:01:47.000 --> 00:01:48.000]  其實呢啲對我哋今日
[00:01:48.000 --> 00:01:49.000]  我哋嘅基督徒有咩用呢
[00:01:49.000 --> 00:01:50.000]  我覺得
[00:01:50.000 --> 00:01:51.000]  冇乜用
[00:01:51.000 --> 00:01:52.000]  我哋都唔會需要遵守嘅呀
[00:01:52.000 --> 00:01:54.000]  完全都唔需要
[00:01:54.000 --> 00:01:55.000]  嚟到去做
[00:01:55.000 --> 00:01:56.000]  甚至今日
[00:01:56.000 --> 00:01:57.000]  有好多以色列人
[00:01:57.000 --> 00:01:58.000]  都唔需要理會呢啲嘢嘅
[00:01:58.000 --> 00:01:59.000]  就會咁樣
[00:01:59.000 --> 00:02:01.000]  咁尼米基咁設立
[00:02:01.000 --> 00:02:03.000]  對我哋今日有啲咩意思呢
[00:02:03.000 --> 00:02:05.000]  如果仲條例去講
[00:02:05.000 --> 00:02:07.000]  根本冇乜特別作用嘅呀
[00:02:07.000 --> 00:02:09.000]  嘅喺裏面
[00:02:09.000 --> 00:02:10.000]  但係我又諗一諗
[00:02:10.000 --> 00:02:12.000]  當上帝帶領以色列人
[00:02:12.000 --> 00:02:13.000]  出一球嚟到個地方裏面
[00:02:13.000 --> 00:02:14.000]  特別有一個咁樣嘅
[00:02:14.000 --> 00:02:15.000]  吩咐
[00:02:15.000 --> 00:02:16.000]  設立咁嘅條例
[00:02:16.000 --> 00:02:17.000]  佢背後有一個用意
[00:02:17.000 --> 00:02:19.000]  有一個目的
[00:02:19.000 --> 00:02:20.000]  究竟呢個用意
[00:02:20.000 --> 00:02:21.000]  個目的是啲乜嘢
