
[00:00:00.000 --> 00:00:03.200]  我們一同祈禱
[00:00:03.200 --> 00:00:07.420]  天父求祢讓我們今天早上一同聚集的時候
[00:00:07.420 --> 00:00:11.200]  讓我們用祢自己的愛
[00:00:11.200 --> 00:00:13.300]  不單止讓祢招聚
[00:00:13.300 --> 00:00:16.280]  也讓我們謙卑在祢的面前
[00:00:16.280 --> 00:00:18.740]  領受祢自己的說話
[00:00:18.740 --> 00:00:21.440]  讓我們心裡的意念
[00:00:21.440 --> 00:00:24.540]  口裡的言語都能夠蒙越納
[00:00:24.540 --> 00:00:26.080]  求祢隨聽我們的禱告
[00:00:26.080 --> 00:00:27.880]  奉耶穌名字祈求
[00:00:27.880 --> 00:00:31.920]  阿門
[00:00:31.920 --> 00:00:34.780]  剛才一群小朋友他們走了
[00:00:34.780 --> 00:00:35.900]  做爸爸媽媽的
[00:00:35.900 --> 00:00:37.440]  回去告訴他們
[00:00:37.440 --> 00:00:41.400]  他們很有福
[00:00:41.400 --> 00:00:44.200]  詩歌裡面說到
[00:00:44.200 --> 00:00:47.080]  You are part of the family of faith
[00:00:47.080 --> 00:00:51.400]  在這個信心的家庭裡面是一份子
[00:00:51.400 --> 00:00:53.280]  如果他們從小
[00:00:53.280 --> 00:00:55.920]  我看他們唱很認真
[00:00:55.920 --> 00:00:58.920]  我希望不單止他們唱得認真
[00:00:58.920 --> 00:01:01.520]  我們每個人都認真
[00:01:01.520 --> 00:01:05.640]  因為我們今天能夠聚在一起
[00:01:05.640 --> 00:01:08.440]  如果我說是一個家
[00:01:08.440 --> 00:01:11.800]  那你要問血緣
[00:01:11.800 --> 00:01:15.160]  什麼組成這個家呢?
[00:01:15.160 --> 00:01:17.920]  是信心組成這個家
[00:01:17.920 --> 00:01:20.080]  這個信心從哪裡來呢?
[00:01:20.080 --> 00:01:22.880]  這個信心是從神的話語來的
[00:01:22.880 --> 00:01:25.120]  所以我們從神的話語
[00:01:25.120 --> 00:01:29.600]  我們建立了教會
[00:01:29.600 --> 00:01:31.960]  在地區上面有不同的教會
[00:01:31.960 --> 00:01:33.600]  這個是一個教會
[00:01:33.600 --> 00:01:35.440]  是地區上的教會
[00:01:35.440 --> 00:01:40.680]  這個建立讓我們能夠看到家
[00:01:40.680 --> 00:01:43.840]  很多人家裡都有一個牌匾寫著
[00:01:43.840 --> 00:01:47.720]  基督是我家之主
