
[00:00:00.000 --> 00:00:05.200]  教會更新的總幹事胡志偉牧師
[00:00:05.200 --> 00:00:09.500]  在一月份寫了一篇文章
[00:00:09.500 --> 00:00:14.200]  叫做《檢視與超越中產文化》
[00:00:14.200 --> 00:00:22.200]  就是說在香港的教會普遍上中產化
[00:00:22.200 --> 00:00:30.200]  不知道我們如何去看中產是我們的生活形態
[00:00:30.200 --> 00:00:33.200]  是我們的收入
[00:00:33.200 --> 00:00:38.200]  用於哪一方面去衡量什麼叫做中產
[00:00:38.200 --> 00:00:39.200]  不過毫無疑問
[00:00:39.200 --> 00:00:44.200]  就是越來越多香港的教會是中產化
[00:00:44.200 --> 00:00:51.200]  有中產的思想和中產的生活模式
[00:00:51.200 --> 00:00:54.200]  我們教會也不例外
[00:00:54.200 --> 00:00:58.200]  雖然一開始的時候我們是一間基層的教會
[00:00:58.200 --> 00:01:01.200]  不過經過60年之後
[00:01:01.200 --> 00:01:06.200]  我們都應該可以說得上是一間中產的教會
[00:01:06.200 --> 00:01:09.200]  胡志偉牧師在那篇文章裡面
[00:01:09.200 --> 00:01:13.200]  就去說到中產的文化
[00:01:13.200 --> 00:01:18.200]  中產的價值是影響信徒對於教會的參與
[00:01:18.200 --> 00:01:26.200]  也都影響我們在教會事工上的參與
[00:01:26.200 --> 00:01:29.200]  其中他在這篇文章裡面
[00:01:29.200 --> 00:01:33.200]  我們其實會連續在這個禮拜和下個禮拜
[00:01:33.200 --> 00:01:38.200]  將這篇文章刊登在我們教會的周刊裡面
[00:01:38.200 --> 00:01:41.200]  他說了一樣重複又重複的
[00:01:41.200 --> 00:01:46.200]  就是消費主義對教會的影響
[00:01:46.200 --> 00:01:51.200]  就是當我們帶著一個消費主義的心態
[00:01:51.200 --> 00:01:53.200]  就好像一班中產人士一樣
[00:01:53.200 --> 00:01:55.200]  來到教會的時候
[00:01:55.200 --> 00:01:57.200]  我們就會覺得
[00:01:57.200 --> 00:02:00.200]  我付出了 我給了
[00:02:00.200 --> 00:02:04.200]  我就要去得回我應該有的
[00:02:04.200 --> 00:02:11.200]  如果這個就是我們帶著一個這樣的消費者的心態
[00:02:11.200 --> 00:02:18.200]  來到返教會 來到去傳福音 來到去參與宣教的工作的時候
[00:02:18.200 --> 00:02:28.200]  很可能我們未必能夠真正可以去有效的來到去傳福音
[00:02:28.200 --> 00:02:30.200]  他其中有一句是這樣寫的
[00:02:30.200 --> 00:02:31.200]  胡志偉他說
[00:02:31.200 --> 00:02:36.200]  他說中產價值本身不是對或者錯
[00:02:36.200 --> 00:02:39.200]  它只是傾向於本位自保
[00:02:39.200 --> 00:02:43.200]  辦事務求程序正確
[00:02:43.200 --> 00:02:45.200]  好體面
[00:02:45.200 --> 00:02:49.200]  寧可保守而不犯錯
[00:02:49.200 --> 00:02:54.200]  當這些論述左右了宣教使命的步伐
[00:02:54.200 --> 00:02:58.200]  我們就會理解使命的局限性
[00:02:58.200 --> 00:03:09.200]  為什麼福音不能夠深入在奴婦大眾的階層之中
[00:03:09.200 --> 00:03:14.200]  保羅他自己是屬於中產
[00:03:14.200 --> 00:03:20.200]  我們在說2000年前聖經那位的使徒保羅
[00:03:20.200 --> 00:03:23.200]  他自己是一個中產
[00:03:23.200 --> 00:03:26.200]  因為他有學識
[00:03:26.200 --> 00:03:29.200]  他是知識份子
[00:03:29.200 --> 00:03:31.200]  他家裡有錢
[00:03:31.200 --> 00:03:37.200]  但是他能夠很有效地在第一世紀的時候
[00:03:37.200 --> 00:03:43.200]  去將福音帶給猶太人
