
[00:00:00.000 --> 00:00:03.660]  感謝天父今天早上給我們一同聚集
[00:00:03.660 --> 00:00:08.320]  在講道之先
[00:00:08.320 --> 00:00:10.920]  我想和大家看一篇詩篇
[00:00:10.920 --> 00:00:12.280]  九十一篇
[00:00:12.280 --> 00:00:14.880]  希望藉著神的話
[00:00:14.880 --> 00:00:18.360]  讓我們眾人活在這個世代裏
[00:00:18.360 --> 00:00:24.520]  能夠確信神的話語
[00:00:24.520 --> 00:00:26.960]  給我們一個力量幫助
[00:00:28.160 --> 00:00:31.160]  詩篇第一篇
[00:00:31.160 --> 00:00:35.560]  對我很深刻的經歷就是2003年的時候
[00:00:35.560 --> 00:00:37.760]  香港有沙士
[00:00:37.760 --> 00:00:39.680]  國內有沙士
[00:00:39.680 --> 00:00:42.400]  當時一片混亂中間的時候
[00:00:42.400 --> 00:00:46.080]  神給我一句很確實的應許
[00:00:46.080 --> 00:00:48.720]  住在至高者隱密處的
[00:00:48.720 --> 00:00:52.120]  必住在全能者的任下
[00:00:52.120 --> 00:00:53.720]  我們一起讀好嗎
[00:00:53.720 --> 00:00:56.480]  我要論道耶和華說
[00:00:56.480 --> 00:00:58.960]  祂是我的避難所
[00:00:58.960 --> 00:01:00.720]  是我的山寨
[00:01:00.720 --> 00:01:01.960]  是我的神
[00:01:01.960 --> 00:01:04.160]  是我所倚靠的
[00:01:04.160 --> 00:01:06.120]  祂必救你脫離
[00:01:06.120 --> 00:01:08.120]  捕鳥人的網絡
[00:01:08.120 --> 00:01:10.600]  和毒害的瘟疫
[00:01:10.600 --> 00:01:14.400]  祂必用自己的羚毛遮蔽你
[00:01:14.400 --> 00:01:18.120]  你要投靠在祂的翅膀底下
[00:01:18.120 --> 00:01:21.400]  祂的誠實是大小的盾牌
[00:01:21.400 --> 00:01:24.440]  你必不怕黑夜的驚駭
[00:01:24.440 --> 00:01:26.800]  或是白日非的箭
[00:01:26.800 --> 00:01:29.600]  也不怕黑夜行的瘟疫
[00:01:29.600 --> 00:01:32.680]  或是潛艱滅人的毒病
[00:01:32.680 --> 00:01:35.960]  雖有千人撲倒在你旁邊
[00:01:35.960 --> 00:01:38.560]  萬人撲倒在你右邊
[00:01:38.560 --> 00:01:41.360]  這災卻不得臨近你
[00:01:41.360 --> 00:01:46.080]  你唯親眼看見惡人遭報
[00:01:46.080 --> 00:01:48.800]  耶和華是我的避難所
[00:01:48.800 --> 00:01:52.520]  你已將至高者當住居所
[00:01:52.520 --> 00:01:55.200]  禍患必不臨到你
[00:01:55.200 --> 00:01:58.440]  災害也不靠近你的帳篷
[00:01:58.440 --> 00:02:02.120]  因祂要為你吩咐祂的使者
[00:02:02.120 --> 00:02:05.800]  在你行的一切路上保護你
[00:02:05.800 --> 00:02:08.440]  他們要用手托著你
[00:02:08.440 --> 00:02:11.800]  免得你的腳碰在石頭上
[00:02:11.800 --> 00:02:16.120]  你要寸在獅子和蟻蛇的身上
[00:02:16.120 --> 00:02:19.440]  寸得少壯獅子和大蛇
[00:02:19.440 --> 00:02:23.320]  神說因為祂專心愛我
[00:02:23.320 --> 00:02:25.560]  我就要答救祂
[00:02:25.560 --> 00:02:28.040]  因為祂知道我的命
[00:02:28.040 --> 00:02:31.320]  我要把祂安置在高處
[00:02:31.320 --> 00:02:33.000]  祂若後告我
