
[00:00:00.000 --> 00:00:02.480]  那麼惡劣的天氣之下
[00:00:02.480 --> 00:00:05.880]  弟兄姊妹能夠可以平安回到敬拜神
[00:00:05.880 --> 00:00:09.160]  現神在敬拜裏面
[00:00:09.160 --> 00:00:13.220]  去施恩 去祈福給大家
[00:00:13.220 --> 00:00:24.760]  上個主日
[00:00:24.760 --> 00:00:28.360]  我講了這一段經文的頭三節
[00:00:28.360 --> 00:00:33.660]  就是《老家福音》十四章二十五至二十七節
[00:00:33.660 --> 00:00:38.960]  那幾節經文的主要訊息是說
[00:00:38.960 --> 00:00:45.080]  我們一方面要肩擔著各種的重擔
[00:00:45.080 --> 00:00:50.760]  就是親情、關係、工作、責任
[00:00:50.760 --> 00:00:55.940]  以及自己的身家、姓名、財產、目標等等
[00:00:55.940 --> 00:00:58.800]  這些都是一種重擔
[00:00:58.800 --> 00:01:00.560]  但是另一方面
[00:01:00.560 --> 00:01:02.320]  擔著這麼多的重擔
[00:01:02.320 --> 00:01:05.640]  我們仍然需要去跟從主
[00:01:05.640 --> 00:01:10.140]  就是去服侍主
[00:01:10.140 --> 00:01:13.180]  那有沒有可能做得到呢?
[00:01:13.180 --> 00:01:18.720]  究竟主耶穌祂知不知道我們面對這麼多的困難
[00:01:18.720 --> 00:01:22.880]  和要背這麼重的擔子呢?
[00:01:22.880 --> 00:01:25.000]  主耶穌當然知道
[00:01:25.000 --> 00:01:28.840]  祂也知道我們如果只是靠我們自己的能力
[00:01:28.840 --> 00:01:31.420]  想去做得到是沒有可能的
[00:01:31.420 --> 00:01:35.720]  因此祂呼喚我們要去到祂那裏
[00:01:35.720 --> 00:01:40.480]  要在祂面前承認我們自己是沒有能力
[00:01:40.480 --> 00:01:50.660]  然後讓神的大能在我們身上去為我們成就
[00:01:50.660 --> 00:01:59.300]  這樣我們才有能力做得到成為耶穌所一合祂心意的榮譽
[00:01:59.300 --> 00:02:05.140]  這就是這三節上一次講的主要訊息
[00:02:05.140 --> 00:02:08.980]  今天繼續講靖學禮的經文
[00:02:08.980 --> 00:02:12.880]  這個經文裏面耶穌講了兩個比喻
[00:02:12.880 --> 00:02:18.720]  是去解釋要完全依靠神的重要性
[00:02:18.720 --> 00:02:23.900]  也可以說是祂再用兩個比喻來去強化
[00:02:23.900 --> 00:02:31.980]  或者去再深入去解釋之前所講的東西
[00:02:31.980 --> 00:02:35.200]  這兩個比喻都是講明一樣東西
[00:02:35.200 --> 00:02:38.880]  就是在這個世界上總會有一些東西
[00:02:38.880 --> 00:02:41.180]  或者會有困難、災難
[00:02:41.180 --> 00:02:45.520]  令到我們走主的路的時候會猶豫
[00:02:45.520 --> 00:02:52.560]  甚至會退縮不再跟從主耶穌
[00:02:52.560 --> 00:02:58.700]  所以如果我們要成為一個合主心意的門徒
[00:02:58.700 --> 00:03:05.240]  我們就要捨棄依靠自己的方法
[00:03:05.240 --> 00:03:11.680]  不要再用自己的計算方法和自己的思慮
[00:03:11.680 --> 00:03:16.080]  就是要完全去依靠神的大能
[00:03:16.080 --> 00:03:18.220]  神就會為我們成就
[00:03:18.220 --> 00:03:20.480]  讓我們能夠做得成
[00:03:20.480 --> 00:03:25.820]  或者做得到一個合神心意的主宗門徒
[00:03:25.820 --> 00:03:31.860]  這就是我想和大家今天學的功課
[00:03:31.860 --> 00:03:33.440]  先講第一個比喻
[00:03:33.440 --> 00:03:42.140]  就是《路加福音》十四章二十八節
[00:03:42.140 --> 00:03:48.420]  這個比喻是起樓或者起屋的比喻
[00:03:48.420 --> 00:03:49.220]  二十八節
[00:03:49.220 --> 00:03:52.320]  「你們那一個要蓋一座樓
[00:03:52.320 --> 00:03:58.120]  不先作下算計花費能蓋成不能呢?」
[00:03:58.120 --> 00:03:59.560]  起樓這麼大件事
[00:03:59.560 --> 00:04:03.500]  當然是要坐下冷靜
[00:04:03.500 --> 00:04:06.600]  即是「坐先作下累」
[00:04:06.600 --> 00:04:08.540]  即是說不是這麼急促
[00:04:08.540 --> 00:04:09.940]  不是一邊走一邊講
[00:04:09.940 --> 00:04:11.580]  或者一邊做事一邊想
[00:04:11.580 --> 00:04:12.340]  不是
[00:04:12.340 --> 00:04:16.120]  坐下的意思是抽出時間
[00:04:16.120 --> 00:04:21.120]  很冷靜的、認真的、詳細的去計算清楚
[00:04:21.120 --> 00:04:26.320]  看看夠不夠人力、物力、財力、時間
[00:04:26.320 --> 00:04:30.300]  來去完成整個工程
[00:04:30.300 --> 00:04:37.440]  我們很多人都會這樣做
[00:04:37.440 --> 00:04:39.300]  二十九節
[00:04:39.300 --> 00:04:40.440]  「免得」
[00:04:40.440 --> 00:04:45.580]  我讀的是我用《環球聖經》譯本的譯法
[00:04:45.580 --> 00:04:46.240]  二十九節說
[00:04:46.240 --> 00:04:49.520]  「免得立了地基卻不能完工
[00:04:49.520 --> 00:04:53.020]  所有看見的人就開始譏笑他」
[00:04:53.020 --> 00:04:54.260]  三十節
[00:04:54.260 --> 00:04:58.960]  「說這個人開了工卻不能完工」
[00:04:58.960 --> 00:05:01.900]  「卻不能完工」的「樓」叫甚麼?
[00:05:01.900 --> 00:05:04.660]  我們廣東話叫「爛尾樓」
[00:05:04.660 --> 00:05:10.560]  大家都很熟
[00:05:10.560 --> 00:05:17.400]  有些人對這兩節的經文會產生負面的回應
[00:05:17.400 --> 00:05:19.440]  不如這樣想
[00:05:19.440 --> 00:05:23.740]  如果我們經過真的想過
[00:05:23.740 --> 00:05:26.040]  計算過
[00:05:26.040 --> 00:05:30.260]  發覺真的不夠資源來建成那間樓
[00:05:30.260 --> 00:05:33.560]  這節經文是否很似顯示
[00:05:33.560 --> 00:05:36.720]  我們是否就不要開工呢?
[00:05:36.720 --> 00:05:41.000]  免得日後爛尾樓時被人笑
[00:05:41.000 --> 00:05:43.560]  所以不如不要做呢?
[00:05:43.560 --> 00:05:47.180]  這是一個很負面的結論
[00:05:47.180 --> 00:05:48.680]  《聖經》沒有直接這樣說
[00:05:48.680 --> 00:05:51.140]  不過你會以為它這樣說
[00:05:51.140 --> 00:05:58.340]  其實不是,稍後會再解釋
[00:05:58.340 --> 00:05:59.720]  在九十年代
[00:05:59.720 --> 00:06:03.920]  在廣東一帶有很多爛尾樓
[00:06:03.920 --> 00:06:07.560]  很多都成為人的笑話
[00:06:07.560 --> 00:06:13.120]  或者你可以說是古笑的笑話
[00:06:13.120 --> 00:06:16.240]  在中美洲我去短宣時也看見
[00:06:16.240 --> 00:06:21.400]  在貝里斯有很多爛尾屋、爛尾樓
[00:06:21.400 --> 00:06:22.540]  這是一個特色
[00:06:22.540 --> 00:06:24.540]  日後你去一定會看到
[00:06:24.540 --> 00:06:26.080]  到處都有的
[00:06:26.080 --> 00:06:29.880]  逛街也有的
[00:06:29.880 --> 00:06:33.920]  我當時沒有刻意要說這裏
[00:06:33.920 --> 00:06:37.920]  所以沒有刻意要拍下這些爛尾屋
[00:06:37.920 --> 00:06:42.920]  但是我看回我的探訪照片
[00:06:42.920 --> 00:06:45.260]  找到一兩張
[00:06:45.260 --> 00:06:47.500]  譬如這張我們探訪的時候
[00:06:47.500 --> 00:06:53.900]  探到這家人的對面有一間這樣的屋
