
[00:00:00.000 --> 00:00:06.460]  有一句成語說:良藥苦口利於病,忠言逆耳利於行
[00:00:06.460 --> 00:00:11.040]  有一句話叫:良藥苦口利於病,忠言逆耳利於行
[00:00:11.040 --> 00:00:13.880]  我們簡稱為苦口良藥和忠言逆耳
[00:00:13.880 --> 00:00:16.240]  簡稱苦口良藥,忠言逆耳
[00:00:16.240 --> 00:00:18.240]  其實這句話有一個典故
[00:00:18.240 --> 00:00:20.240]  有一個歷史典故
[00:00:20.240 --> 00:00:28.280]  當年漢高祖劉邦帶領十萬大軍擊敗秦漠
[00:00:28.280 --> 00:00:33.540]  當年漢高祖劉邦帶領十萬大軍擊敗秦漠
[00:00:33.540 --> 00:00:37.640]  他帶領義軍進入當時的咸陽城
[00:00:37.640 --> 00:00:40.700]  帶領義軍進入當時的咸陽城
[00:00:40.700 --> 00:00:43.320]  進入咸陽城的後宮之後
[00:00:43.320 --> 00:00:46.120]  進入到咸陽的宮之後
[00:00:46.120 --> 00:00:51.320]  劉邦被宮內的美色和各種珍貴的玩物吸引
[00:00:51.320 --> 00:00:56.360]  劉邦被宮內的美色和各種珍貴的玩物吸引
[00:00:56.360 --> 00:00:59.300]  玩物喪志,忘記初心
[00:00:59.300 --> 00:01:01.300]  玩物喪志,忘記初心
[00:01:01.300 --> 00:01:07.640]  劉邦流連忘返,希望在秦宮裡玩個盡興才能出來
[00:01:07.640 --> 00:01:12.400]  劉邦流連忘返,在秦宮裡玩個盡興才能出來
[00:01:12.400 --> 00:01:18.640]  當時他的兄弟范快勸他,他都聽不進去
[00:01:18.640 --> 00:01:23.000]  當時他的兄弟范快勸他,他都聽不進去
[00:01:23.000 --> 00:01:27.480]  另一個大將張良入宮直諫
[00:01:27.480 --> 00:01:31.420]  另一個大將張良入宮直諫
[00:01:31.420 --> 00:01:36.060]  他嚴厲地數落了劉邦的不對
[00:01:36.060 --> 00:01:38.960]  他嚴厲地數落了劉邦的不對
[00:01:38.960 --> 00:01:41.320]  指出他的錯誤
[00:01:41.320 --> 00:01:43.100]  指出他的錯誤
[00:01:43.100 --> 00:01:48.620]  他說:「良藥苦口利於病,忠言逆語利於行。」
[00:01:48.620 --> 00:01:51.440]  他說:「良藥苦口利於病,忠言逆語利於行。」
[00:01:51.440 --> 00:01:55.760]  請劉邦聽范快的勸諫
[00:01:55.760 --> 00:01:59.720]  請劉邦聽范快的勸諫
[00:01:59.720 --> 00:02:03.960]  所以劉邦才一意不捨離開秦宮
[00:02:03.960 --> 00:02:06.440]  所以劉邦才一意不捨離開秦宮
[00:02:06.440 --> 00:02:09.880]  其實我們每個人都需要別人的提醒
[00:02:09.880 --> 00:02:12.760]  其實我們每個人都需要別人的提醒
[00:02:12.760 --> 00:02:15.120]  因為每個人都有自己的盲點
[00:02:15.120 --> 00:02:16.820]  因為每個人都有自己的盲點
[00:02:16.820 --> 00:02:18.620]  需要接受別人的勸告
[00:02:18.620 --> 00:02:20.000]  需要接受別人的勸告
[00:02:20.000 --> 00:02:22.540]  道理是不難明白的
[00:02:22.540 --> 00:02:23.840]  道理是不難明白的
[00:02:23.840 --> 00:02:26.360]  因為我們都不是一個完美的人
[00:02:26.360 --> 00:02:28.840]  因為我們本來就不是完美的人
[00:02:28.840 --> 00:02:33.840]  我們傾向活在自己的經驗世界,固步自封
[00:02:33.840 --> 00:02:38.840]  我們傾向活在自己的經驗世界,固步自封
[00:02:38.840 --> 00:02:43.080]  有時候別人的勸告總是聽不順耳
[00:02:43.080 --> 00:02:45.680]  有時候別人的勸告總是聽不順耳
[00:02:45.680 --> 00:02:48.520]  甚至覺得別人在干預我的生活
[00:02:48.520 --> 00:02:50.760]  甚至覺得別人在干預我的生活
[00:02:50.760 --> 00:02:54.840]  另一方面,如果我們能夠學習虛懷若谷
[00:02:54.840 --> 00:02:57.640]  另一方面,如果我們能夠學習虛懷若谷
[00:02:57.640 --> 00:02:59.040]  一個受教的心
[00:02:59.040 --> 00:03:00.160]  有一個受教的心
[00:03:00.160 --> 00:03:05.040]  容易讓人聽得到別人的意見和指正
