
[00:00:00.000 --> 00:00:02.000]  嘿!大家好,我是林牧師
[00:00:02.000 --> 00:00:06.000]  記得7月2日那天颳颱風
[00:00:06.000 --> 00:00:12.000]  我在崇拜過後開始跟大家分享我們的十年展望
[00:00:12.000 --> 00:00:15.000]  我們今年是五週年紀念
[00:00:15.000 --> 00:00:18.000]  我們對於未來十年有什麼展望呢?
[00:00:18.000 --> 00:00:20.000]  我們的生日願望是什麼呢?
[00:00:20.000 --> 00:00:25.000]  我本來的打算是希望連續有七個星期
[00:00:25.000 --> 00:00:29.000]  用崇拜之後的那段時間跟大家分享
[00:00:29.000 --> 00:00:33.000]  不過慢慢經過我考慮其他的因素
[00:00:33.000 --> 00:00:39.000]  覺得可能要將這些分享在網上去錄影
[00:00:39.000 --> 00:00:42.000]  然後播給大家聽比較好
[00:00:42.000 --> 00:00:48.000]  因為我覺得每一次我們講完到的Q&A
[00:00:48.000 --> 00:00:53.000]  就是問答的時間都是非常重要
[00:00:53.000 --> 00:00:57.000]  不過我希望保留到8月13日的時候
[00:00:57.000 --> 00:00:59.000]  就真的有一個實體
[00:00:59.000 --> 00:01:02.000]  希望大家弟兄姊妹都可以回來
[00:01:02.000 --> 00:01:04.000]  和我們一起有個小組的祈禱
[00:01:04.000 --> 00:01:13.000]  因為那個星期也是我離開去美國的旅程之前的最後一個週六
[00:01:13.000 --> 00:01:18.000]  如果你之前有聽過我講7月2日的分享
[00:01:18.000 --> 00:01:20.000]  你知道其實一個大圖畫式
[00:01:20.000 --> 00:01:22.000]  就是我們希望用未來的十年
[00:01:22.000 --> 00:01:26.000]  建立一個真正的羅亞方舟
[00:01:26.000 --> 00:01:28.000]  一間教會
[00:01:28.000 --> 00:01:33.000]  如果我們有弟兄姊妹願意在這個方舟上面
[00:01:33.000 --> 00:01:35.000]  在這個教會裡面
[00:01:35.000 --> 00:01:39.000]  真的並肩作戰一起成長的時候
[00:01:39.000 --> 00:01:43.000]  這個方舟是可以帶我們去到永恆的
[00:01:43.000 --> 00:01:45.000]  有時候我們不明白
[00:01:45.000 --> 00:01:47.000]  我們以為教會就是很簡單
[00:01:47.000 --> 00:01:49.000]  其實已經大家都信了主
[00:01:49.000 --> 00:01:52.000]  已經是拿了天堂的護照
[00:01:52.000 --> 00:01:56.000]  我們純粹在彼此互勉
[00:01:56.000 --> 00:01:58.000]  希望平安度過今生
[00:01:58.000 --> 00:02:01.000]  天堂就一定會去的
