
[00:00:00.000 --> 00:00:05.520]  我們現在繼續看《菲律賓書》第二章
[00:00:05.520 --> 00:00:10.320]  今天我們要看的是第十四節至第十八節的經文
[00:00:10.320 --> 00:00:12.000]  在上面的經文
[00:00:12.000 --> 00:00:17.400]  我們看到保羅將耶穌基督的榜樣
[00:00:17.400 --> 00:00:19.680]  擺在我們的面前
[00:00:19.680 --> 00:00:21.680]  耶穌什麼樣的榜樣呢?
[00:00:21.680 --> 00:00:23.680]  特別是耶穌的謙卑
[00:00:23.680 --> 00:00:25.680]  特別是耶穌基督的順服
[00:00:25.680 --> 00:00:29.280]  要我們效法主耶穌基督
[00:00:30.280 --> 00:00:33.280]  好了,當我們願意效法主耶穌基督的時候
[00:00:33.280 --> 00:00:36.280]  在實際我們每天的生活上面
[00:00:36.280 --> 00:00:38.280]  我們應該怎樣過生活
[00:00:38.280 --> 00:00:40.880]  以至主的名德榮耀
[00:00:40.880 --> 00:00:44.080]  以至黑暗的世界
[00:00:44.080 --> 00:00:46.280]  能夠變為光明
[00:00:46.280 --> 00:00:49.880]  這個是我們基督徒的責任
[00:00:49.880 --> 00:00:51.880]  所以我們要思想
[00:00:51.880 --> 00:00:53.080]  在生活上面
[00:00:53.080 --> 00:00:55.880]  如果我們真的要效法耶穌基督的時候
[00:00:55.880 --> 00:00:57.880]  我們要怎樣謙卑
[00:00:57.880 --> 00:00:59.880]  我們要怎樣順服
[00:01:00.080 --> 00:01:02.080]  在實際生活上面
[00:01:02.080 --> 00:01:04.080]  我們所應該做的是什麼
[00:01:04.080 --> 00:01:05.480]  十四節說
[00:01:05.480 --> 00:01:09.280]  凡所行的,都不要發怨言,起爭論
[00:01:09.280 --> 00:01:15.280]  使你們無可指責,誠實無偽
[00:01:15.280 --> 00:01:17.280]  在這彎曲薄貌的世代
[00:01:17.280 --> 00:01:20.280]  作神無瑕癡的兒女
[00:01:20.280 --> 00:01:22.280]  你們顯在這世代中
[00:01:22.280 --> 00:01:24.280]  好像明光照耀
[00:01:24.280 --> 00:01:27.280]  將生命的道表明出來
[00:01:27.280 --> 00:01:33.280]  叫我在基督的日子,好誇我沒有空跑,也沒有徒勞
[00:01:33.280 --> 00:01:37.280]  我以你們的信心為貢獻的祭物
[00:01:37.280 --> 00:01:40.280]  我又被囂墊在旗上
[00:01:40.280 --> 00:01:42.280]  也是喜樂
[00:01:42.280 --> 00:01:45.280]  並且與你們眾人一同喜樂
[00:01:45.280 --> 00:01:48.280]  你們也要照樣的喜樂
[00:01:48.280 --> 00:01:51.280]  並且與我一同喜樂
[00:01:51.280 --> 00:01:53.280]  特別留意在十七十八節
[00:01:53.280 --> 00:01:57.280]  保羅再一次提到
[00:01:57.280 --> 00:02:00.280]  喜樂,喜樂,又喜樂
[00:02:00.280 --> 00:02:04.280]  我們為主在這個世代
[00:02:04.280 --> 00:02:06.280]  願意活得好的時候
