
[00:00:00.000 --> 00:00:08.000]  今天來到我們曾經擁有億劃天長地久的港獨系列第四堂
[00:00:08.000 --> 00:00:14.000]  前面幾堂都是講一些比較負面的問題
[00:00:14.000 --> 00:00:17.000]  今天就講一些比較正面的
[00:00:17.000 --> 00:00:19.000]  就是如何可以鎖緊我們的關係
[00:00:19.000 --> 00:00:21.000]  讓我們的關係更加密切
[00:00:21.000 --> 00:00:25.000]  如果大家記得兩個星期前
[00:00:25.000 --> 00:00:28.000]  我們請了一個韓國的牧師來港獨
[00:00:28.000 --> 00:00:32.000]  在CJ Wong講道的時候
[00:00:32.000 --> 00:00:35.000]  他曾經問一個問題
[00:00:35.000 --> 00:00:37.000]  後來讓我反思很久
[00:00:37.000 --> 00:00:40.000]  當你想起你的人生
[00:00:40.000 --> 00:00:44.000]  你發覺你人生當中最美好的回憶
[00:00:44.000 --> 00:00:45.000]  最開心的事件
[00:00:45.000 --> 00:00:47.000]  其實都是與人有關的
[00:00:47.000 --> 00:00:49.000]  買一輛新車會開心
[00:00:49.000 --> 00:00:52.000]  買一輛新車開心兩個星期左右
[00:00:52.000 --> 00:00:54.000]  買一間新屋可能開心一個月
[00:00:54.000 --> 00:00:55.000]  但都差不多
[00:00:55.000 --> 00:00:58.000]  但當你想起過往人生
[00:00:58.000 --> 00:01:01.000]  讓你幾十年來都覺得那段美好的回憶
[00:01:01.000 --> 00:01:04.000]  你發覺都是與人有關
[00:01:04.000 --> 00:01:07.000]  很少人到60歲還想起30歲的時候
[00:01:07.000 --> 00:01:09.000]  記得那一晚買了新車多開心
[00:01:09.000 --> 00:01:11.000]  你已經忘記了
[00:01:11.000 --> 00:01:15.000]  但你記得中學的時候跟朋友聊天
[00:01:15.000 --> 00:01:18.000]  聊天那種開心那種友誼
[00:01:18.000 --> 00:01:19.000]  你記得的
[00:01:19.000 --> 00:01:22.000]  人生當中最悲傷的經歷
[00:01:22.000 --> 00:01:24.000]  都是與人有關
[00:01:24.000 --> 00:01:27.000]  考試分數不好就不開心兩晚
[00:01:27.000 --> 00:01:29.000]  但很少人到60歲還記得
[00:01:29.000 --> 00:01:32.000]  我還記得中學那一年考試
[00:01:32.000 --> 00:01:34.000]  傷心一直傷心到現在
[00:01:34.000 --> 00:01:35.000]  不會的
[00:01:35.000 --> 00:01:37.000]  通常你到了年老
[00:01:37.000 --> 00:01:38.000]  你回想起還覺得傷心
[00:01:38.000 --> 00:01:40.000]  就是某某人傷過你
[00:01:40.000 --> 00:01:42.000]  初戀的失敗
[00:01:42.000 --> 00:01:44.000]  感情的失敗
[00:01:44.000 --> 00:01:47.000]  就是那些與人有關的
[00:01:47.000 --> 00:01:50.000]  其實對人的情感造成的影響很大
[00:01:50.000 --> 00:01:52.000]  正面可能讓你很開心
[00:01:52.000 --> 00:01:54.000]  過很多年開心一輩子
[00:01:54.000 --> 00:01:57.000]  悲傷也讓你痛一輩子
[00:01:57.000 --> 00:01:58.000]  都是與人有關
[00:01:58.000 --> 00:02:01.000]  所以我們與人的關係避不開
[00:02:01.000 --> 00:02:05.000]  所以在馬可福音的十二章28到31節
[00:02:05.000 --> 00:02:08.000]  前幾次我都不斷讀這節經文
[00:02:08.000 --> 00:02:09.000]  是再一次提醒我們
[00:02:09.000 --> 00:02:11.000]  因為神對我們的期望
[00:02:11.000 --> 00:02:13.000]  就是我們要學會怎樣愛神
[00:02:13.000 --> 00:02:14.000]  怎樣愛人
[00:02:14.000 --> 00:02:17.000]  我們不能只二選一
[00:02:17.000 --> 00:02:18.000]  我很愛神
[00:02:18.000 --> 00:02:20.000]  但我不懂得愛人
[00:02:20.000 --> 00:02:21.000]  或者我愛人又不愛神
[00:02:21.000 --> 00:02:23.000]  兩個都需要
[00:02:23.000 --> 00:02:25.000]  所以我們其實是避不開的
