
[00:00:00.000 --> 00:00:05.000]  各位領事妹,在兩個多月前,
[00:00:05.000 --> 00:00:09.080]  當我去德國那邊的時間,
[00:00:09.080 --> 00:00:12.700]  再一次有很多不同的感觸。
[00:00:12.700 --> 00:00:16.600]  我雖然去了三次德國,
[00:00:16.600 --> 00:00:19.680]  但是過去就滾水六腳,
[00:00:19.680 --> 00:00:25.460]  很少機會能夠去街上,去市鎮那裡看一看他們的情形。
[00:00:25.460 --> 00:00:29.700]  主要原因就是一去到,已經是去了一個聚會的地方,
[00:00:29.700 --> 00:00:34.520]  就在一個會議裡面,一去就去幾天。
[00:00:34.520 --> 00:00:37.640]  完了之後差不多已經是滾水六腳要走了。
[00:00:37.640 --> 00:00:40.220]  但是這次我有機會去到法蘭克福特,
[00:00:40.220 --> 00:00:42.960]  真的可以走走那裡的街道,
[00:00:42.960 --> 00:00:49.140]  然後將那邊實際的情形做一個反思,為那裡祈禱。
[00:00:49.140 --> 00:00:51.160]  去到那邊特別的一件事,
[00:00:51.160 --> 00:00:55.300]  讓我看到的就是非常多教堂,
[00:00:55.300 --> 00:00:57.480]  去到哪裡都是教堂,
[00:00:57.480 --> 00:00:59.800]  而德國教堂是分兩類的,
[00:00:59.800 --> 00:01:05.660]  有一類是尖頂的上面是有一隻雞在的,
[00:01:05.660 --> 00:01:09.460]  這個不是德國,這個是英國,下一張。
[00:01:09.460 --> 00:01:13.660]  有一些在頂上是有雞的,有一些是沒有雞的。
[00:01:13.660 --> 00:01:16.380]  大家知不知道為什麼呢?
[00:01:16.380 --> 00:01:23.200]  原來德國在納粹期間和納粹之後,
[00:01:23.200 --> 00:01:27.580]  有很多根本上是否認主的,
[00:01:27.580 --> 00:01:31.140]  所以他們特意弄一隻雞在上面去識別,
[00:01:31.140 --> 00:01:33.760]  就說我們這間教堂有隻雞在,
[00:01:33.760 --> 00:01:36.140]  就是我們不要做彼得,
[00:01:36.140 --> 00:01:41.380]  提醒我們自己,我不是彼得,三次不認主。
[00:01:41.380 --> 00:01:43.500]  沒有雞的那些,
[00:01:43.500 --> 00:01:47.160]  就是被人標籤那些是否認主的教會,
[00:01:47.160 --> 00:01:48.540]  差不多是這樣。
[00:01:48.540 --> 00:01:51.560]  所以去到那邊是一個很特別的地方,
[00:01:51.560 --> 00:01:55.520]  但我亦都看到有一樣很可悲的事情,
[00:01:55.520 --> 00:01:59.140]  這個可悲的事情其實不只是德國,
[00:01:59.140 --> 00:02:05.220]  而是所有和德國這個信義中有關的國家,
[00:02:05.220 --> 00:02:10.940]  包括到挪威、瑞典、丹麥等等這些國家,
[00:02:10.940 --> 00:02:13.020]  都有一個現象。
[00:02:13.020 --> 00:02:16.920]  雖然到處都是教堂,
[00:02:16.920 --> 00:02:23.560]  而教會亦都是非常非常受國家的支持,
[00:02:23.560 --> 00:02:29.500]  但竟然在德國這個地方,
[00:02:29.500 --> 00:02:31.900]  在第二次世界大戰的時候,
[00:02:31.900 --> 00:02:37.180]  他們號稱百分之八十以上是基督徒,
[00:02:37.180 --> 00:02:40.620]  竟然出了一些這樣的人,
[00:02:40.620 --> 00:02:45.820]  第一個是共產主義的創始人馬克思,
[00:02:45.820 --> 00:02:49.140]  他是讀過神學的,
[00:02:49.140 --> 00:02:51.340]  這個是德國人來的。
[00:02:51.340 --> 00:02:54.580]  第二個是希特勒,
[00:02:54.580 --> 00:02:58.880]  這個是納粹的創始人,
[00:02:58.880 --> 00:03:07.720]  亦都是屠殺六百萬猶太人的黑手、主腦。
[00:03:07.720 --> 00:03:10.200]  可以這樣說,
[00:03:10.200 --> 00:03:14.680]  整個第二次世界大戰為什麼搞成這樣呢?
[00:03:14.680 --> 00:03:17.880]  他是罪魁禍首來的。
[00:03:17.880 --> 00:03:19.600]  但有一個問題,
[00:03:19.600 --> 00:03:21.240]  我們奇怪的就是,
[00:03:21.240 --> 00:03:25.280]  馬克思是可以神學畢業,
[00:03:25.280 --> 00:03:26.820]  讀神學,
[00:03:26.820 --> 00:03:30.560]  而希特勒竟然說自己是基督徒,
[00:03:30.560 --> 00:03:34.320]  甚至在電台早討會那裡領土,
[00:03:34.320 --> 00:03:39.520]  帶全個國家的基督教教會來討稿,
[00:03:39.520 --> 00:03:42.800]  而竟然沒有一間教會站起來說,
[00:03:42.800 --> 00:03:44.360]  這個不是基督徒,
[00:03:44.360 --> 00:03:46.200]  我們要跟他劃清界線,
[00:03:46.200 --> 00:03:48.360]  這個人跟我們無關的,
[00:03:48.360 --> 00:03:52.140]  他不配在早討會帶基督徒來討稿,
[00:03:52.140 --> 00:03:53.960]  竟然一個都沒有。
[00:03:53.960 --> 00:03:56.960]  一個比較多出聲的是潘霍華,
[00:03:56.960 --> 00:04:01.960]  是批評希特勒對猶太人的態度,
[00:04:01.960 --> 00:04:06.240]  以及當時是注重正面去建立德國人,
[00:04:06.240 --> 00:04:08.120]  我們不只是要教友,
[00:04:08.120 --> 00:04:09.320]  我們要門徒,
[00:04:09.320 --> 00:04:10.840]  如果不做門徒的時候,
[00:04:10.840 --> 00:04:14.360]  這些人是不配進入神教國,
[00:04:14.360 --> 00:04:17.840]  也有一些方派的牧者被殺,
[00:04:17.840 --> 00:04:19.720]  潘霍華是其中一個表表者,
