
[00:00:00.000 --> 00:00:03.340]  今天我要跟各位來分享的訊息是
[00:00:03.340 --> 00:00:06.480]  誰動了我的乳酪
[00:00:06.480 --> 00:00:10.280]  Who moved my cheese
[00:00:10.280 --> 00:00:15.720]  那麼我會先跟各位解釋一下這個故事的場地
[00:00:15.720 --> 00:00:19.420]  作者還有他中間的幾個角色
[00:00:19.420 --> 00:00:24.260]  還有大略是講什麼
[00:00:24.260 --> 00:00:26.800]  當我們分析的時候
[00:00:26.800 --> 00:00:35.140]  讓各位知道就是乳酪的得失就反映我們的生命
[00:00:35.140 --> 00:00:41.480]  如果說我們生命中間需要有乳酪的話
[00:00:41.480 --> 00:00:46.120]  如果說當你乳酪不再有的時候
[00:00:46.120 --> 00:00:49.480]  你會不會生不如死
[00:00:49.480 --> 00:00:54.280]  或者你會不會過一個苟延殘喘的生命
[00:00:54.280 --> 00:00:59.160]  或者是當你再得到它的時候是不是死而復活
[00:00:59.160 --> 00:01:03.520]  最後得到更豐盛的生命
[00:01:03.520 --> 00:01:07.460]  最主要的就是要說耶穌是生命的光
[00:01:07.460 --> 00:01:12.800]  假如說你把乳酪看作是耶穌生命的光
[00:01:12.800 --> 00:01:15.480]  當你在黑暗中走的時候
[00:01:15.480 --> 00:01:20.080]  你必須要再一次突破那個困境
[00:01:20.080 --> 00:01:23.320]  你就得到生命的光
[00:01:23.320 --> 00:01:25.980]  感謝主 善美主
[00:01:25.980 --> 00:01:28.580]  因為我們每一個人生命中
[00:01:28.580 --> 00:01:30.820]  我們都需要耶穌
[00:01:30.820 --> 00:01:35.020]  不要說牧師才需要
[00:01:35.020 --> 00:01:37.060]  耶穌我們留在教會裡面
[00:01:37.060 --> 00:01:38.260]  禮拜一我去上班
[00:01:38.260 --> 00:01:41.260]  耶穌你留在家裡陪牧師
[00:01:41.260 --> 00:01:44.860]  上班我行 做生意我行
[00:01:44.860 --> 00:01:47.640]  我們什麼都需要耶穌
[00:01:47.640 --> 00:01:50.980]  我們的乳酪氣勢
[00:01:50.980 --> 00:01:53.480]  那麼我們真多麼希望
[00:01:53.480 --> 00:01:55.240]  祂在我們生命中
[00:01:55.240 --> 00:01:59.280]  永遠在我們的生命中
[00:01:59.280 --> 00:02:01.280]  有那麼一個地位
[00:02:01.280 --> 00:02:03.480]  能夠保持我們的生命
[00:02:03.480 --> 00:02:07.560]  繼續的淵源流長
[00:02:07.560 --> 00:02:10.360]  讓我們低頭禱告
[00:02:10.360 --> 00:02:12.600]  阿爸父我感謝你 善美
[00:02:12.600 --> 00:02:16.340]  你是又真又活的神
[00:02:16.340 --> 00:02:18.400]  因為我知道
[00:02:18.400 --> 00:02:22.340]  我生命中若沒有了乳酪
[00:02:22.340 --> 00:02:24.080]  沒有了吃的
[00:02:24.080 --> 00:02:28.240]  我的生命的必需品
[00:02:28.240 --> 00:02:30.120]  就沒有了指望
[00:02:30.120 --> 00:02:32.180]  換句話說
[00:02:32.180 --> 00:02:37.020]  若我沒有了你在我生命中的作用
[00:02:37.020 --> 00:02:39.320]  我就真的活不下去
[00:02:39.320 --> 00:02:41.120]  感謝神 善美神
[00:02:41.120 --> 00:02:43.700]  禱告奉主耶穌基督的名
[00:02:43.700 --> 00:02:46.200]  阿們
[00:02:46.200 --> 00:02:47.900]  我講這個呢
[00:02:47.900 --> 00:02:51.880]  各位可能都感覺都不太一樣
[00:02:51.880 --> 00:02:54.780]  我那時候還在
[00:02:54.780 --> 00:02:56.100]  聖和西上班的時候
[00:02:56.100 --> 00:02:59.120]  在聖和西的時候
[00:02:59.120 --> 00:03:01.640]  那麼
[00:03:01.640 --> 00:03:05.180]  有一次我那個牧師
[00:03:05.180 --> 00:03:09.120]  他安排有一個人跟我講話
[00:03:09.120 --> 00:03:11.760]  因為我那個時候心裡面很有感動
[00:03:11.760 --> 00:03:13.600]  我準備辭掉工作了
[00:03:13.600 --> 00:03:16.160]  我要來服侍神
[00:03:16.160 --> 00:03:22.360]  所以他就安排了一個人來跟我談
[00:03:22.360 --> 00:03:26.240]  那個人講的非常好
[00:03:26.240 --> 00:03:28.700]  他的主要的意思是說
[00:03:28.700 --> 00:03:30.940]  我們的生命
[00:03:30.940 --> 00:03:34.580]  當我們放棄世界上這一切的時候
[00:03:34.580 --> 00:03:39.920]  你的生命唯一就是主
[00:03:39.920 --> 00:03:41.580]  你不能靠你的金錢
[00:03:41.580 --> 00:03:43.160]  不能靠你的地位
[00:03:43.160 --> 00:03:44.860]  不能靠你的學識
[00:03:44.860 --> 00:03:47.060]  不能靠你的什麼
[00:03:47.060 --> 00:03:50.620]  你真的要緊緊抓住神
[00:03:50.620 --> 00:03:53.860]  所以這本書的作者
[00:03:53.860 --> 00:03:58.440]  他講誰偷了我的努落
[00:03:58.440 --> 00:04:01.380]  是Spencer Johnson
[00:04:01.380 --> 00:04:03.940]  他寫了這本書
[00:04:03.940 --> 00:04:08.380]  他的場地是在迷宮中
[00:04:08.380 --> 00:04:10.580]  迷宮就是Maze
[00:04:10.580 --> 00:04:14.060]  我不知道你們有沒有
[00:04:14.060 --> 00:04:16.880]  在書上有畫圖走那個迷宮
[00:04:16.880 --> 00:04:18.220]  你們走到絕境
[00:04:18.220 --> 00:04:20.660]  有沒有走到活路
[00:04:20.660 --> 00:04:23.620]  他就是在這個講在迷宮中
[00:04:23.620 --> 00:04:25.820]  你看那個迷宮中有一個
[00:04:25.820 --> 00:04:28.840]  有一個角落裡面堆滿了什麼
[00:04:28.840 --> 00:04:30.840]  氣勢
[00:04:30.840 --> 00:04:34.740]  那麼這人物呢
[00:04:34.740 --> 00:04:38.000]  有兩隻小老鼠
[00:04:38.000 --> 00:04:39.780]  一個叫秀秀
[00:04:39.780 --> 00:04:42.780]  一個叫快快
[00:04:42.780 --> 00:04:45.140]  那麼還有兩個小人物
[00:04:45.140 --> 00:04:46.720]  一個叫哼哼
[00:04:46.720 --> 00:04:48.620]  一個叫哈哈
[00:04:48.620 --> 00:04:50.760]  那麼其實這個翻譯的人
[00:04:50.760 --> 00:04:55.160]  把他翻得很有意思
[00:04:55.160 --> 00:04:58.800]  因為這個秀秀表示說怎麼樣
[00:04:58.800 --> 00:05:01.840]  他一天到晚在那邊聞哪邊有氣勢
[00:05:01.840 --> 00:05:03.740]  那快快呢
[00:05:03.740 --> 00:05:05.500]  哇 跑得就快
[00:05:05.500 --> 00:05:07.080]  是不是這樣
[00:05:07.080 --> 00:05:08.600]  那兩個小人物呢
[00:05:08.600 --> 00:05:11.380]  一個叫哼哼 哈哈
[00:05:11.380 --> 00:05:15.520]  我們中國人一看就是哼哈二將是吧
[00:05:15.520 --> 00:05:17.520]  但是那個哼哈二將是
[00:05:17.520 --> 00:05:20.860]  在中國人是講是兩個門神
[00:05:20.860 --> 00:05:23.620]  他是專門是看守的
[00:05:23.620 --> 00:05:26.000]  所以
[00:05:26.000 --> 00:05:28.120]  我感覺當我讀這個書的時候
[00:05:28.120 --> 00:05:30.300]  有先不為止的觀念
[00:05:30.300 --> 00:05:33.960]  就是哼哈二將就要看守這個氣勢
[00:05:33.960 --> 00:05:37.740]  你怎麼讓那個氣勢被偷了
[00:05:37.740 --> 00:05:39.440]  被挪走了
[00:05:39.440 --> 00:05:43.140]  而這個秀秀半天聞不到
[00:05:43.140 --> 00:05:46.280]  這個快快飛來飛去的要找
[00:05:46.280 --> 00:05:49.540]  到底掉在了哪裡去
[00:05:49.540 --> 00:05:53.220]  這是我們的生命
[00:05:53.220 --> 00:05:54.660]  你找工作
[00:05:54.660 --> 00:05:56.260]  你找學校
[00:05:56.260 --> 00:05:58.620]  你找你的伴侶
[00:05:58.620 --> 00:06:00.200]  你找錢
[00:06:00.200 --> 00:06:02.020]  你找房子
[00:06:02.020 --> 00:06:03.860]  你找盡所能
[00:06:03.860 --> 00:06:06.860]  你希望挑到一個什麼
[00:06:06.860 --> 00:06:09.640]  最好的 是吧
[00:06:09.640 --> 00:06:11.740]  最便宜
[00:06:11.740 --> 00:06:14.380]  最有性價比的
[00:06:14.380 --> 00:06:18.580]  最有發展潛力的
[00:06:18.580 --> 00:06:20.840]  所以你就到處就sniffing
[00:06:20.840 --> 00:06:23.020]  到處的秀秀
