
[00:00:00.000 --> 00:00:04.800]  在此再次恭喜大家
[00:00:04.800 --> 00:00:09.360]  希望大家都有一個快樂的母親節
[00:00:09.360 --> 00:00:17.640]  有一個母親節的故事是這樣的
[00:00:17.640 --> 00:00:23.520]  有一位女士 她的名字叫做Tanya
[00:00:23.520 --> 00:00:26.080]  大家不認識她 我也不認識她
[00:00:27.080 --> 00:00:34.360]  她的兒子被揀中了在中學畢業的畢業禮上支持
[00:00:34.360 --> 00:00:38.320]  這個真的是一個很風光的時刻
[00:00:38.320 --> 00:00:45.560]  這個兒子到時候就走上台 站在台前
[00:00:45.560 --> 00:00:54.760]  他很像無恥的樣子 很有準備的拿出一份講稿來讀
[00:00:54.760 --> 00:01:00.600]  她說:我一定要講一下我媽媽
[00:01:00.600 --> 00:01:06.720]  我媽媽對我一生的影響很大
[00:01:06.720 --> 00:01:17.080]  在管教兒女方面 我媽媽實在是一個傑出、閃耀的榜樣
[00:01:17.080 --> 00:01:24.200]  我愛我媽媽多過我能夠所講得完
[00:01:24.200 --> 00:01:34.920]  很久以後也不能夠繼續講下去
[00:01:34.920 --> 00:01:43.360]  很久以後她終於能夠把嘴巴捉起來 把肩膀縮起來
[00:01:43.360 --> 00:01:49.720]  她說:我媽媽的字寫得很厲害
[00:01:49.720 --> 00:01:58.240]  我怎麼看都看不懂 讀不懂
[00:01:58.240 --> 00:02:05.760]  這句話講完了
[00:02:05.760 --> 00:02:12.120]  大家可能都明白 這位母親可能是出於好心
[00:02:12.120 --> 00:02:15.960]  可能也是想吹噓一下自己
[00:02:15.960 --> 00:02:21.760]  也很想兒子真的在眾人面前有出色的表現
[00:02:21.760 --> 00:02:27.800]  於是就代寫講稿 可能很急 到時候才給他
[00:02:27.800 --> 00:02:38.360]  誰知道事與願違 兒子反而當眾出醜
[00:02:38.360 --> 00:02:41.160]  我相信世上的父母親
[00:02:41.160 --> 00:02:47.760]  大多數都是能夠對他們的兒女付出無私的愛
[00:02:47.760 --> 00:02:51.880]  無私的愛也可以說是等於今天所講的
[00:02:51.880 --> 00:02:56.160]  不求自己益處的愛
[00:02:56.160 --> 00:03:00.200]  父母親總是想自己的兒女好而已
[00:03:00.200 --> 00:03:05.040]  其實做什麼 出發點都是想他們好而已
[00:03:05.040 --> 00:03:12.720]  只不過有時候用錯方法 以致後果弄巧反拙
[00:03:12.720 --> 00:03:14.360]  我今天跟大家繼續講
[00:03:14.360 --> 00:03:18.640]  保羅在哥林多前書十三章裡所講的
[00:03:18.640 --> 00:03:22.680]  愛的詩章的一部分的訊息
[00:03:22.680 --> 00:03:26.640]  在上一次的講道裡 我講了第四節裡的
[00:03:26.640 --> 00:03:31.200]  愛是不疾度 愛是不自誇
[00:03:31.200 --> 00:03:36.360]  這次會繼續講愛是不張狂
[00:03:36.360 --> 00:03:42.280]  還有第五節的不作害羞的是不求自己的益處
[00:03:42.280 --> 00:03:46.360]  講這三點
[00:03:46.360 --> 00:03:52.800]  我選擇不求自己的益處這一句來做講題
[00:03:52.800 --> 00:03:55.360]  是因為這一句很有代表性
[00:03:55.360 --> 00:04:02.080]  這一句可以說是用來總結之前的四個不
[00:04:02.080 --> 00:04:08.000]  不疾度 不自誇 不張狂 和不作害羞的事
[00:04:08.000 --> 00:04:13.840]  不求自己的益處可以說是總括這四樣東西
[00:04:13.840 --> 00:04:16.640]  不求自己益處的愛
[00:04:16.640 --> 00:04:22.280]  不單是為父母對待自己的兒女是需要這樣
[00:04:22.280 --> 00:04:29.640]  夫妻也是需要這樣 這正正就是夫妻相處之道
[00:04:29.640 --> 00:04:37.600]  也是家人 朋友 還有教會裡弟兄姊妹的相處之道
[00:04:37.600 --> 00:04:42.880]  所以我們今天大家一起去學這個功課
[00:04:42.880 --> 00:04:47.200]  不求自己益處的愛
[00:04:47.200 --> 00:04:53.760]  先講第一點 就是不張狂的愛
[00:04:53.760 --> 00:04:59.440]  我們看林多前書十三章第四節
[00:04:59.440 --> 00:05:05.240]  我們看中間 愛是不自誇不張狂
[00:05:05.240 --> 00:05:09.680]  張狂是什麼意思呢?
[00:05:09.680 --> 00:05:15.440]  張狂和自誇是有相似的意思
[00:05:15.440 --> 00:05:20.040]  也有不相同的意思
[00:05:20.040 --> 00:05:26.640]  相似的地方就是他們兩樣東西都是向人誇口
[00:05:26.640 --> 00:05:31.480]  不相同的地方就是自誇是誇大的
[00:05:31.480 --> 00:05:35.960]  是吹牛的 是說得漂亮
[00:05:35.960 --> 00:05:38.680]  但其實是沒有這樣的程度
[00:05:38.680 --> 00:05:44.000]  或者未到 或者未有的 誇大的
[00:05:44.000 --> 00:05:46.760]  而張狂有些不同
[00:05:46.760 --> 00:05:49.760]  張狂是為自己擁有的東西
[00:05:49.760 --> 00:05:55.280]  有的優點 或者好處 或者能力而去誇口
[00:05:55.280 --> 00:06:01.600]  所以張狂的意思是吹向翻譯為
[00:06:01.600 --> 00:06:05.080]  或者解釋為驕傲 或者是自負
[00:06:05.080 --> 00:06:11.040]  Proud, Arrogant
[00:06:11.040 --> 00:06:17.400]  要分辨自誇還是張狂 驕傲
[00:06:17.400 --> 00:06:19.280]  是不太難的
[00:06:19.280 --> 00:06:22.560]  又有一個故事 我發覺這個故事
[00:06:22.560 --> 00:06:28.520]  這兩樣東西都演繹得挺有意思的
[00:06:28.520 --> 00:06:31.200]  這個故事是這樣的
[00:06:31.200 --> 00:06:38.760]  有一位姐妹 她去聽一位牧師講道
[00:06:38.760 --> 00:06:46.160]  那個講題是剛剛提及驕傲這個問題
[00:06:46.160 --> 00:06:48.240]  講得很好
[00:06:48.240 --> 00:06:52.440]  這位姐妹一邊聽一邊很受感動
[00:06:52.440 --> 00:06:57.280]  這位牧師的訊息直接打動她自己的心
[00:06:57.280 --> 00:07:03.240]  是講中她自己的心事和困難
[00:07:03.240 --> 00:07:08.840]  於是聽完道之後 這位姐妹就去找牧師聊天
