
[00:00:00.000 --> 00:00:02.000]  莫福的弟兄姊妹,祝你平安!
[00:00:02.000 --> 00:00:07.000]  今天朱牧師邀請我來跟大家分享神的話語
[00:00:07.000 --> 00:00:11.000]  我知道今天是你們社區服侍的主日
[00:00:11.000 --> 00:00:16.000]  願神的話都親自去激勵,願聖靈都再次鼓勵我們
[00:00:16.000 --> 00:00:21.000]  讓我們落實什麼是真正的愛倫社、關懷社區
[00:00:21.000 --> 00:00:25.000]  我今天會用哥林多後書八章一到十五節
[00:00:25.000 --> 00:00:28.000]  講信徒愛心的真誠
[00:00:28.000 --> 00:00:33.000]  其實在哥林多後書八章和九章
[00:00:33.000 --> 00:00:35.000]  討論一項非常重要的事情
[00:00:35.000 --> 00:00:39.000]  就是周濟當時耶路撒冷貧窮的聖徒
[00:00:39.000 --> 00:00:45.000]  這兩章很多教牧同工都會用在討論主日奉獻事上
[00:00:45.000 --> 00:00:49.000]  其實保羅所討論的有更深的意義
[00:00:49.000 --> 00:00:54.000]  就是用行動去看愛心的真還是假
[00:00:54.000 --> 00:00:57.000]  用行動去看什麼叫愛心
[00:00:57.000 --> 00:01:00.000]  而愛心的行動也是甘心樂意
[00:01:00.000 --> 00:01:02.000]  不是勉強,不是被迫
[00:01:02.000 --> 00:01:04.000]  整個經文裡面
[00:01:04.000 --> 00:01:07.000]  保羅對幫助貧乏之人
[00:01:07.000 --> 00:01:11.000]  對整體教會有深刻的神學教導的意義
[00:01:11.000 --> 00:01:16.000]  也對信徒來說是使我們成聖的恩典
[00:01:16.000 --> 00:01:21.000]  與主同工經歷上帝源源不絕的恩典的一個途徑
[00:01:21.000 --> 00:01:25.000]  所以今天我想從四方面跟大家分享
[00:01:25.000 --> 00:01:28.000]  第一點在第一到第五節
[00:01:28.000 --> 00:01:32.000]  說一些愛心的屬靈的原則
[00:01:32.000 --> 00:01:36.000]  我們在馬其頓宗教會裡看到他們的愛心有些屬靈原則
[00:01:36.000 --> 00:01:38.000]  大家可以先看第二節
[00:01:38.000 --> 00:01:42.000]  第二節他們說他們在患難中受大考驗
[00:01:42.000 --> 00:01:44.000]  仍然滿有喜樂
[00:01:44.000 --> 00:01:47.000]  在極窮的貧窮中還格外
[00:01:47.000 --> 00:01:50.000]  顯出他們樂捐的慷慨
[00:01:50.000 --> 00:01:52.000]  這個好像不太成正比
[00:01:52.000 --> 00:01:57.000]  如果你想想你是一個局極窮困
[00:01:57.000 --> 00:01:59.000]  又在迫不患難的教會
[00:01:59.000 --> 00:02:02.000]  理論上你自己也搞不定自己
[00:02:02.000 --> 00:02:05.000]  你還有什麼時間去理人呢
[00:02:05.000 --> 00:02:10.000]  還要你去處理人的時候還要額外的捐出後因
[00:02:10.000 --> 00:02:13.000]  還要你的滿足是快樂
[00:02:13.000 --> 00:02:17.000]  這個好像在世界價值觀上好像不是這樣
[00:02:17.000 --> 00:02:20.000]  但是聖經確確是這樣說
[00:02:20.000 --> 00:02:24.000]  所以第一點我稱為超越界限
[00:02:24.000 --> 00:02:27.000]  馬其頓宗教會其實就是
[00:02:27.000 --> 00:02:31.000]  菲勒比教會、貼薩羅尼加教會和比利亞教會
[00:02:31.000 --> 00:02:37.000]  這些教會不是一間又一間富有大的Megachurch
[00:02:37.000 --> 00:02:38.000]  他們是什麼
[00:02:38.000 --> 00:02:43.000]  他們是正正在迫不患難當中窮困的教會
[00:02:43.000 --> 00:02:46.000]  而且聖經應用的是極窮困
[00:02:46.000 --> 00:02:54.000]  這些教會竟然樂於幫助老遠的耶路撒冷貧窮的聖徒
[00:02:54.000 --> 00:02:56.000]  第一我們可以看到
[00:02:56.000 --> 00:03:00.000]  原來他們沒有看著自己的環境自己的限制
[00:03:00.000 --> 00:03:04.000]  他們只是看到別人上的需要
[00:03:04.000 --> 00:03:06.000]  當然這也顯明了
[00:03:06.000 --> 00:03:09.000]  原來你有沒有愛心的服侍和奉獻
[00:03:09.000 --> 00:03:12.000]  跟你付不付足是沒有關係的
[00:03:12.000 --> 00:03:14.000]  有錢也可以不奉獻的
[00:03:14.000 --> 00:03:16.000]  如果你不明白這意義的話
[00:03:16.000 --> 00:03:19.000]  原來極窮困依然可以服侍的
[00:03:19.000 --> 00:03:22.000]  因為不只是看到困難的當中
[00:03:22.000 --> 00:03:24.000]  馬其頓宗教會撕裂了兩個界限
[00:03:24.000 --> 00:03:27.000]  第一個界限是地域上的界限
[00:03:27.000 --> 00:03:30.000]  馬其頓宗教是外邦人的教會
[00:03:30.000 --> 00:03:33.000]  它去幫助猶太的教會
[00:03:33.000 --> 00:03:35.000]  第一種族上不同
[00:03:35.000 --> 00:03:37.000]  地域真是十萬九千七遠
[00:03:37.000 --> 00:03:38.000]  永遠都看不到的
[00:03:38.000 --> 00:03:41.000]  如果當時的時代不是每個人都像保羅一樣
[00:03:41.000 --> 00:03:44.000]  走去老院宣教
[00:03:44.000 --> 00:03:48.000]  第二就是他們超越了自己條件性的限制
[00:03:48.000 --> 00:03:51.000]  在最大的試煉極窮困的底下
[00:03:51.000 --> 00:03:55.000]  他依然願意伸出援手幫助別人
[00:03:55.000 --> 00:03:56.000]  我想大家留意第三節
[00:03:56.000 --> 00:03:58.000]  他不是按自己的力量
[00:03:58.000 --> 00:04:02.000]  甚至超出自己的力量
[00:04:02.000 --> 00:04:03.000]  弟兄姊妹
[00:04:03.000 --> 00:04:07.000]  很多時候我們看的是專注在我們的環境
[00:04:07.000 --> 00:04:08.000]  我們的困難
[00:04:08.000 --> 00:04:14.000]  我們很少看著上帝的恩典
[00:04:14.000 --> 00:04:19.000]  其實除了今年播道神學院九十週年
[00:04:19.000 --> 00:04:22.000]  國民時牧師邀請我舉辦一個屬靈的運動
[00:04:22.000 --> 00:04:25.000]  叫做行在社區的福音做顧問
[00:04:25.000 --> 00:04:28.000]  帶領二十六間教會一同走進社區之外
[00:04:28.000 --> 00:04:32.000]  其實過往十年我已經和超過一百間教會同行
[00:04:32.000 --> 00:04:34.000]  和他們一起走進社區
[00:04:34.000 --> 00:04:36.000]  但很多時候我接觸教會
[00:04:36.000 --> 00:04:37.000]  接觸弟兄姊妹的時候
[00:04:37.000 --> 00:04:40.000]  都有很多的迷思
[00:04:40.000 --> 00:04:45.000]  例如有人說我的教會有很多很多的事工
