
[00:00:00.000 --> 00:00:05.200]  好,弟兄姊妹,今天是特別的日子,是復活節
[00:00:05.200 --> 00:00:10.880]  傳統來講是教會特別會紀念耶穌基督為我們復活
[00:00:10.880 --> 00:00:15.200]  那我相信在弟兄姊妹心裡面也是非常的感恩
[00:00:15.200 --> 00:00:17.800]  因為我們都是蒙救贖的人
[00:00:17.800 --> 00:00:20.960]  我們已經被主耶穌基督救贖
[00:00:20.960 --> 00:00:24.600]  而且也經歷了祂復活的大能
[00:00:24.600 --> 00:00:29.960]  在今天我們來紀念耶穌基督為我們復活的時候
[00:00:29.960 --> 00:00:34.600]  我們應當更加來思想一下我們自己的生命
[00:00:34.600 --> 00:00:40.280]  是否跟耶穌基督的復活能夠有更多的關係
[00:00:40.280 --> 00:00:42.600]  因為我知道有不少的人
[00:00:42.600 --> 00:00:47.240]  他們的生命雖然是信主了,可是沒有任何的改變
[00:00:47.240 --> 00:00:53.680]  好像是耶穌基督的復活沒有給他生命帶來任何的影響
[00:00:53.680 --> 00:00:57.880]  這個是非常可惜的一件事情
[00:00:57.880 --> 00:01:05.320]  也許耶穌基督的復活沒有在他的生命裡面帶來任何的改變
[00:01:05.320 --> 00:01:10.000]  那我就很懷疑這個人他是不是真的已經得救了
[00:01:10.000 --> 00:01:12.840]  所以有人說雖然是復活節
[00:01:12.840 --> 00:01:16.160]  可是在很多的信徒的生命裡面
[00:01:16.160 --> 00:01:20.040]  我們卻看到是一個佛死人
[00:01:20.040 --> 00:01:24.320]  也就是說他好像表面上是佛的
[00:01:24.320 --> 00:01:26.720]  但實際上他是死的
[00:01:26.720 --> 00:01:29.400]  他沒有從神那裡重生
[00:01:29.400 --> 00:01:32.200]  沒有一個重生得救的生命
[00:01:32.200 --> 00:01:36.200]  哪是跟他以前還是一樣
[00:01:36.200 --> 00:01:41.200]  所以我們看到耶穌基督復活的大能
[00:01:41.200 --> 00:01:45.000]  不只是體現在耶穌基督自己身上
[00:01:45.000 --> 00:01:47.440]  很多時候我們在慶祝復活節的時候
[00:01:47.440 --> 00:01:49.840]  我們都會集中在耶穌基督身上
[00:01:49.840 --> 00:01:54.760]  我們會看他怎樣在他身上彰顯了復活的大能
[00:01:54.760 --> 00:01:58.160]  也包括他復活之後的顯現等等
[00:01:58.160 --> 00:02:02.040]  所以我們比較忽略了這個復活跟我的關係
[00:02:02.040 --> 00:02:04.800]  很多時候沒有看到自己的生命
