
[00:00:00.000 --> 00:00:02.500]  今天和大家講到的題目叫做
[00:00:02.500 --> 00:00:04.500]  生命中不能承受的輕
[00:00:04.500 --> 00:00:09.380]  其實如果大家心水清的話都知道
[00:00:09.380 --> 00:00:16.360]  其實這個名字是來自捷克文學家米蘭·昆特拉的一個同名小說
[00:00:16.360 --> 00:00:19.740]  早年也曾經改編成為電影
[00:00:19.740 --> 00:00:22.160]  《布拉格之戀》
[00:00:22.160 --> 00:00:28.200]  小說其實是以1968年蘇軍蘇聯入侵捷克
[00:00:28.200 --> 00:00:35.380]  鎮壓布拉格之春的民主運動為背景的一個愛情故事
[00:00:35.380 --> 00:00:40.100]  但是裡面帶出了一些令我們深思的問題
[00:00:40.100 --> 00:00:43.880]  人生我們所做的決定
[00:00:43.880 --> 00:00:47.220]  最理想的希望
[00:00:47.220 --> 00:00:50.480]  每一個的可能我們都試過
[00:00:50.480 --> 00:00:52.480]  都選擇我們嘗試過
[00:00:52.480 --> 00:00:57.780]  然後我們去比較到底A這個決定好還是B這個決定是最好的
[00:00:58.560 --> 00:01:00.840]  然後我們就選擇最好的那個
[00:01:00.840 --> 00:01:04.560]  不過現實其實根本是不存在的
[00:01:04.560 --> 00:01:05.660]  大家都知道
[00:01:05.660 --> 00:01:07.900]  因為我們人生只有一次
[00:01:07.900 --> 00:01:11.460]  我們永遠不知道
[00:01:11.460 --> 00:01:14.260]  我們現在當下所做的選擇
[00:01:14.260 --> 00:01:16.560]  是不是會比其他選擇
[00:01:16.560 --> 00:01:17.960]  另外一個選擇
[00:01:17.960 --> 00:01:20.460]  是更好或者更壞
[00:01:20.460 --> 00:01:22.020]  你同不同意呢?
[00:01:22.020 --> 00:01:25.580]  總之我們的人生難免要做選擇的
[00:01:25.860 --> 00:01:30.180]  有些選擇大家會覺得是很輕鬆去做的
[00:01:30.180 --> 00:01:31.580]  無關痛癢
[00:01:31.580 --> 00:01:35.420]  例如到底今天早上我在家上網崇拜
[00:01:35.420 --> 00:01:38.080]  還是我回到現場崇拜呢?
[00:01:38.080 --> 00:01:39.920]  又或者我是
[00:01:39.920 --> 00:01:42.360]  不如回到另一間教會試試吧
[00:01:42.360 --> 00:01:44.380]  或者崇拜完之後
[00:01:44.380 --> 00:01:46.300]  到底我們下午去哪裡吃飯呢?
[00:01:46.300 --> 00:01:48.100]  去崇基還是去其他地方呢?
[00:01:48.100 --> 00:01:51.300]  這些選擇其實是無所謂的
[00:01:51.300 --> 00:01:54.900]  就算你覺得後來有些後悔
[00:01:54.900 --> 00:01:58.000]  其實也無所謂
[00:01:58.000 --> 00:01:59.100]  影響不大
[00:01:59.100 --> 00:02:01.080]  但是有些選擇
[00:02:01.080 --> 00:02:02.060]  等於每個人都知道
[00:02:02.060 --> 00:02:04.860]  我們做的時候會覺得很沉重的
[00:02:04.860 --> 00:02:06.380]  很緊張的
[00:02:06.380 --> 00:02:10.420]  我們很擔心自己如果是選擇錯了的時候
[00:02:10.420 --> 00:02:12.260]  會錯恨難返
[00:02:12.260 --> 00:02:14.540]  因為選擇的背後
[00:02:14.540 --> 00:02:20.860]  我們會感受到那種輕和重的拉扯
[00:02:20.860 --> 00:02:24.780]  這種輕和重的選擇拉扯
[00:02:24.780 --> 00:02:29.860]  正正就是貫穿了我們今天所看的幾段的經過
[00:02:29.860 --> 00:02:34.980]  有時候我們明明是很有信心去做了某一個選擇的
[00:02:34.980 --> 00:02:37.740]  但是慢慢我們會發覺
[00:02:37.740 --> 00:02:43.540]  事情好像不像原來的預計那樣去發展
[00:02:43.540 --> 00:02:45.860]  我想起一首
[00:02:45.860 --> 00:02:49.260]  最近很多人都會聽的一首流行曲
[00:02:49.260 --> 00:02:51.700]  不知道大家猜不猜得到我想說哪一首
[00:02:52.100 --> 00:02:55.900]  《假使世界原來不像你預期》
[00:02:55.900 --> 00:03:01.540]  假使這個世界原來不像我們預期那樣的時候
[00:03:01.540 --> 00:03:02.700]  我們會怎樣呢?
[00:03:02.700 --> 00:03:04.220]  歌詞第一句是這麼說的
[00:03:04.220 --> 00:03:09.460]  "容我割開這肉身,拿下碎的心重磡"
[00:03:09.460 --> 00:03:16.180]  突然間發覺原來世界不像自己的那種想像
[00:03:16.180 --> 00:03:19.260]  那種面對理想和現實之間的矛盾
[00:03:19.260 --> 00:03:21.140]  那種內心的痛
[00:03:21.420 --> 00:03:23.420]  是將它表白了出來的
[00:03:23.420 --> 00:03:28.060]  耶利米蘇第二十章的經課
[00:03:28.060 --> 00:03:31.140]  正正就是在說一位先知
[00:03:31.140 --> 00:03:34.260]  他突然間發覺這個世界
[00:03:34.260 --> 00:03:39.500]  或者甚至是上主對他的照明
[00:03:39.500 --> 00:03:42.420]  原來不像預期那樣
[00:03:42.420 --> 00:03:46.580]  然後他發自內心的掙扎和獨白
[00:03:46.940 --> 00:03:51.820]  或者這也可以說是向耶和華表達的那份吶喊
[00:03:51.820 --> 00:03:55.020]  他認為自己的遭遇
[00:03:55.020 --> 00:03:58.580]  是被耶和華欺控騙了的
[00:03:58.580 --> 00:04:00.780]  大家所讀的那一段聖經
[00:04:00.780 --> 00:04:04.700]  是在用新標點和合本裡面是在用勸導
[00:04:04.700 --> 00:04:07.460]  就是我是被耶和華勸導我這麼做的
[00:04:07.460 --> 00:04:10.820]  但是和合本的修訂版是將它譯為"欺控"
[00:04:10.820 --> 00:04:14.100]  天主教的司高版聖經
[00:04:14.100 --> 00:04:16.580]  甚至乎是譯為"誘惑"的
[00:04:17.180 --> 00:04:19.940]  是耶和華欺騙了我、哄騙了我
[00:04:19.940 --> 00:04:23.260]  然後我才去做先知
[00:04:23.260 --> 00:04:29.100]  耶利米對於自己被召作為一個先知
[00:04:29.100 --> 00:04:31.300]  是有期望的
[00:04:31.300 --> 00:04:36.220]  這個期望與其說是他主觀的那種想像
[00:04:36.220 --> 00:04:44.060]  倒不如說他是被耶和華欺控騙了
[00:04:44.060 --> 00:04:47.780]  或者是覺得耶和華給了他一個合理的期望
[00:04:47.780 --> 00:04:51.140]  令他相信我做先知是會這樣的
[00:04:51.140 --> 00:04:52.580]  所以我就做了
[00:04:52.580 --> 00:04:55.420]  但是慢慢地
[00:04:55.420 --> 00:04:59.260]  耶利米發覺原來這個世界不像他的預期那樣發生的
[00:04:59.260 --> 00:05:02.580]  他發出
