
[00:00:00.000 --> 00:00:02.140]  父親的心轉向兒女
[00:00:02.140 --> 00:00:04.140]  兒女的心轉向父親
[00:00:04.140 --> 00:00:05.940]  有沒有想過為何只講父親
[00:00:05.940 --> 00:00:07.940]  為何不講母親呢
[00:00:07.940 --> 00:00:11.940]  上次也有提及過
[00:00:11.940 --> 00:00:15.200]  因為這是很自然的事
[00:00:15.200 --> 00:00:17.440]  因為母親懷胎十月
[00:00:17.440 --> 00:00:19.940]  所以跟子女的關係
[00:00:19.940 --> 00:00:24.440]  是自然勝過父親的
[00:00:24.440 --> 00:00:26.360]  這是天然的優勢
[00:00:26.360 --> 00:00:28.360]  是神賜給母親的
[00:00:28.360 --> 00:00:30.360]  如果我們濫用這個優勢
[00:00:30.360 --> 00:00:33.360]  是另一回事
[00:00:33.360 --> 00:00:37.360]  所以神很想我們知道一件事
[00:00:37.360 --> 00:00:40.360]  父親的心要轉向兒女
[00:00:40.360 --> 00:00:42.360]  要誰去幫呢
[00:00:42.360 --> 00:00:44.360]  有沒有想過
[00:00:44.360 --> 00:00:46.360]  除了神的介入之外
[00:00:46.360 --> 00:00:49.360]  另一個就是敬虔的姐妹們
[00:00:49.360 --> 00:00:51.360]  你們肯去聽
[00:00:51.360 --> 00:00:53.360]  神的教導
[00:00:53.360 --> 00:00:56.360]  以弗所書五章
[00:00:56.360 --> 00:00:58.360]  我曾經有神學院的同學
[00:00:58.360 --> 00:01:00.360]  說我不喜歡讀這段
[00:01:00.360 --> 00:01:02.360]  為甚麼
[00:01:02.360 --> 00:01:05.360]  因為丈夫是頭
[00:01:05.360 --> 00:01:07.360]  是妻子的頭
[00:01:07.360 --> 00:01:09.360]  所以有些姐妹
[00:01:09.360 --> 00:01:11.360]  是我自己跟同學不喜歡
[00:01:11.360 --> 00:01:13.360]  不讀
[00:01:13.360 --> 00:01:15.360]  覺得這樣不公平
[00:01:15.360 --> 00:01:18.360]  這就是其中一個
[00:01:18.360 --> 00:01:22.360]  我們所處於的時代的精神和氣氛
