
[00:00:00.000 --> 00:00:19.000]  (神祈禱告)
[00:00:19.000 --> 00:00:23.000]  第四者,美,平安!
[00:00:23.000 --> 00:00:29.000]  今天晚上我們可以一起再來研讀神的話語
[00:00:29.000 --> 00:00:31.000]  我們真的很蒙恩
[00:00:31.000 --> 00:00:33.000]  剛才我們唱的最後四個
[00:00:33.000 --> 00:00:36.000]  可能大家有一點想起來
[00:00:36.000 --> 00:00:38.000]  我們上一次,記得嗎?
[00:00:38.000 --> 00:00:41.000]  是四篇,四十六篇
[00:00:41.000 --> 00:00:44.000]  對,我們心裡面有安靜
[00:00:44.000 --> 00:00:45.000]  我們放下
[00:00:45.000 --> 00:00:49.000]  因為我們知道,我們神在掌管
[00:00:49.000 --> 00:00:52.000]  還記得最後一節我們一起念的嗎?
[00:00:52.000 --> 00:00:55.000]  就是要放鬆吧!對不對?
[00:00:55.000 --> 00:00:59.000]  世人說,你要知道,這個神
[00:00:59.000 --> 00:01:02.000]  如果你有留意,四篇、四十六篇
[00:01:02.000 --> 00:01:05.000]  整篇裡面,只有這一句是神自己講的
[00:01:05.000 --> 00:01:07.000]  其他都是世人講的,是吧?
[00:01:07.000 --> 00:01:08.000]  這是我們講的
[00:01:08.000 --> 00:01:11.000]  然後最後一句,神祈禱發聲了
[00:01:11.000 --> 00:01:14.000]  他說,放鬆吧!
[00:01:14.000 --> 00:01:16.000]  你要放鬆吧!
[00:01:16.000 --> 00:01:20.000]  因為你要知道,是神,就是我
[00:01:20.000 --> 00:01:23.000]  是幹這一切的事情,還在幹
[00:01:23.000 --> 00:01:27.000]  我覺得這個對我們來說是最大的安慰
[00:01:27.000 --> 00:01:29.000]  所以有了這個信念
[00:01:29.000 --> 00:01:31.000]  就好像剛才四個裡面
[00:01:31.000 --> 00:01:33.000]  我們心裡面就可以放下來
[00:01:33.000 --> 00:01:35.000]  放下的時候
[00:01:35.000 --> 00:01:37.000]  地震動
[00:01:37.000 --> 00:01:39.000]  海奔騰
[00:01:39.000 --> 00:01:41.000]  對不對?我們也什麼?
[00:01:41.000 --> 00:01:44.000]  不懼怕
[00:01:44.000 --> 00:01:47.000]  因為我們知道,我們的神
[00:01:47.000 --> 00:01:54.000]  祂一直在掌管
[00:01:54.000 --> 00:01:56.000]  世人這樣說
[00:01:56.000 --> 00:01:59.000]  神要打勝仗,不用鬥兵
[00:01:59.000 --> 00:02:01.000]  是吧?
[00:02:01.000 --> 00:02:03.000]  神要平視
[00:02:03.000 --> 00:02:08.000]  戰爭也不靠人強馬壯
[00:02:08.000 --> 00:02:09.000]  對不對?
[00:02:09.000 --> 00:02:11.000]  這個是對我特別有意思
[00:02:11.000 --> 00:02:16.000]  我自己也不應該跟大家什麼分享
[00:02:16.000 --> 00:02:19.000]  我自己個人因為有些事情也不方便分享
[00:02:19.000 --> 00:02:22.000]  我兩個禮拜前講這個詩篇的時候
[00:02:22.000 --> 00:02:25.000]  我心裡面就有這樣的一種很大的掙扎
[00:02:25.000 --> 00:02:28.000]  放在前面的好大的難處
[00:02:28.000 --> 00:02:30.000]  沒有任何的把握
[00:02:30.000 --> 00:02:32.000]  因為從人的角度來看
[00:02:32.000 --> 00:02:34.000]  除非整個世界改變
[00:02:34.000 --> 00:02:36.000]  才可以解決的問題
[00:02:36.000 --> 00:02:39.000]  今天我告訴你就解決了
[00:02:39.000 --> 00:02:41.000]  很奇妙
[00:02:41.000 --> 00:02:44.000]  這三個禮拜天就解決了
[00:02:44.000 --> 00:02:47.000]  真的,神要幹事情
[00:02:47.000 --> 00:02:49.000]  哪裡用鬥兵
[00:02:49.000 --> 00:02:53.000]  人要看兵,看槍
[00:02:53.000 --> 00:02:55.000]  神說我一來,一轉
[00:02:55.000 --> 00:02:57.000]  事情就改了
[00:02:57.000 --> 00:02:58.000]  沒想到
[00:02:58.000 --> 00:02:59.000]  所以感謝主
[00:02:59.000 --> 00:03:02.000]  當然,可能你說什麼事情
[00:03:02.000 --> 00:03:04.000]  對不起,不能告訴你
[00:03:04.000 --> 00:03:06.000]  這是太過私人一點的
[00:03:06.000 --> 00:03:08.000]  不是犯罪的東西,是好的東西
[00:03:08.000 --> 00:03:10.000]  感謝主
[00:03:10.000 --> 00:03:14.000]  大家還記得我們上次講這個詩篇的時候
[00:03:14.000 --> 00:03:16.000]  背後的故事嗎?
[00:03:16.000 --> 00:03:17.000]  誰啊?
[00:03:17.000 --> 00:03:18.000]  西西家
[00:03:18.000 --> 00:03:22.000]  今天晚上我們來看西西家了
[00:03:22.000 --> 00:03:27.000]  我們曾經用以下雅書
[00:03:27.000 --> 00:03:29.000]  裡面講到西西家
[00:03:29.000 --> 00:03:33.000]  尤其是以下雅書裡面
[00:03:33.000 --> 00:03:35.000]  三十六章,三十七章
[00:03:35.000 --> 00:03:40.000]  講到西西家皇好難好難的時間
[00:03:40.000 --> 00:03:46.000]  面對雅書皇那種的強權
[00:03:46.000 --> 00:03:49.000]  強大的軍力,沒得比的時候
[00:03:49.000 --> 00:03:51.000]  他怎麼可以面對
[00:03:51.000 --> 00:03:52.000]  然後我們看到
[00:03:52.000 --> 00:03:55.000]  上帝的奇妙的工作
[00:03:55.000 --> 00:03:57.000]  今天晚上我們就把我們的集中
[00:03:57.000 --> 00:03:59.000]  放到主角
[00:03:59.000 --> 00:04:01.000]  剛才我們說
[00:04:01.000 --> 00:04:05.000]  詩篇背後的主角就是西西家皇
[00:04:05.000 --> 00:04:07.000]  關於西西家皇
[00:04:07.000 --> 00:04:09.000]  跟下一次我們還有另外一個王
[00:04:09.000 --> 00:04:12.000]  約瑟、約西亞王
