
[00:00:00.000 --> 00:00:04.400]  好,今早我們要聽主的道之前
[00:00:04.400 --> 00:00:06.720]  我們真的要求神,求聖靈
[00:00:06.720 --> 00:00:10.880]  來預備好我們的心,我們低頭祈禱
[00:00:10.880 --> 00:00:14.200]  契天父上帝,我們歡迎祢來到我們當中
[00:00:14.200 --> 00:00:16.000]  因為我們要敬拜祢
[00:00:16.000 --> 00:00:19.360]  聖靈,我們求祢自己在當中來帶領著我們
[00:00:19.360 --> 00:00:22.120]  主,讓我們有謙卑的心
[00:00:22.120 --> 00:00:25.640]  去聆聽主,祢親自對我們說話
[00:00:25.640 --> 00:00:29.360]  求主,祢使用祢的薄刃,使用祢所準備的訊息
[00:00:29.360 --> 00:00:31.000]  祢高沒祂的口
[00:00:31.000 --> 00:00:33.400]  讓所傳說出來的訊息
[00:00:33.400 --> 00:00:37.920]  可以造就我們每一位弟兄姊妹
[00:00:37.920 --> 00:00:39.440]  主求祢與我們同在
[00:00:39.440 --> 00:00:41.080]  帶領我們以下時間
[00:00:41.080 --> 00:00:42.960]  奉主耶穌基督成名
[00:00:42.960 --> 00:00:43.960]  Amen
[00:00:43.960 --> 00:00:49.520]  我經常都說,一個人的名字是很重要的
[00:00:49.520 --> 00:00:52.120]  因為名字是可以代表一個人的
[00:00:52.120 --> 00:00:54.960]  看他的名字就會想起他的人
[00:00:54.960 --> 00:01:00.080]  或者看這個人,我就會想他的名字應該會配合
[00:01:00.080 --> 00:01:03.760]  猶太人是很重視名字的
[00:01:03.760 --> 00:01:07.600]  因此猶太人的兒子出生之後
[00:01:07.600 --> 00:01:09.040]  尤其是兒子
[00:01:09.040 --> 00:01:11.080]  子女出生之後
[00:01:11.080 --> 00:01:15.280]  可能很久都沒有正式給他名字
[00:01:15.280 --> 00:01:17.480]  不正式地給他名字
[00:01:17.480 --> 00:01:23.360]  因為父母要等兒子有表現出來的時候
[00:01:23.360 --> 00:01:25.200]  看到他的表現
[00:01:25.200 --> 00:01:28.560]  知道他是哪一類的人
[00:01:28.560 --> 00:01:30.480]  或者他有什麼長處
[00:01:30.480 --> 00:01:33.400]  這樣就去改名
[00:01:33.400 --> 00:01:37.480]  譬如那個猶太人叫做張彥才
[00:01:37.480 --> 00:01:42.320]  你知道張彥才原來是賢能有才幹的人
[00:01:42.320 --> 00:01:46.560]  你就知道他父母給他改名
[00:01:46.560 --> 00:01:51.240]  你不要以為他父母一早就知道他是賢能有才幹的人
[00:01:51.240 --> 00:01:55.000]  其實他父母是等到他有少許表現
[00:01:55.000 --> 00:01:57.280]  看出他真的是這樣的人的時候
[00:01:57.280 --> 00:01:59.080]  才幫他改名
[00:01:59.080 --> 00:02:00.560]  我爸爸就不是這樣
[00:02:00.560 --> 00:02:05.120]  我爸爸見我一出生就隨便給我張彥才的名字
[00:02:05.120 --> 00:02:08.560]  其實名字是很重要的
[00:02:08.560 --> 00:02:12.760]  因為一個人的名字代表了他的人
[00:02:12.760 --> 00:02:16.320]  你看到猶太人的名字是很貼切的
[00:02:16.320 --> 00:02:19.120]  他叫做敬畏臣
[00:02:19.120 --> 00:02:22.320]  為什麼他剛好就是一個敬畏臣的人呢?
[00:02:22.320 --> 00:02:25.080]  原來他父母可能觀察著他
[00:02:25.080 --> 00:02:27.400]  看到他有很敬虔的心
[00:02:27.400 --> 00:02:29.840]  就給他一個這樣的名字
[00:02:29.840 --> 00:02:33.120]  但是我們中國人很多時候都很奇怪
[00:02:33.120 --> 00:02:37.760]  尤其是鄉下農村那些
[00:02:37.760 --> 00:02:42.480]  見子女出生就很想保護他們
[00:02:42.480 --> 00:02:45.120]  因此給一些名字比較古怪
[00:02:45.120 --> 00:02:49.120]  譚冠、尿袋、屎田
[00:02:49.120 --> 00:02:52.440]  什麼名字都可以給到他身上
[00:02:52.440 --> 00:02:54.520]  因為他們認為
[00:02:54.520 --> 00:02:59.680]  名字越差,子女就能長命一點
[00:02:59.680 --> 00:03:04.040]  沒有邪惡的東西來攻擊他
[00:03:04.040 --> 00:03:08.560]  所以有這麼奇怪的情況
[00:03:08.560 --> 00:03:13.920]  但是今天當我們要幫我們的子女改名的時候
[00:03:13.920 --> 00:03:16.040]  很多時候都很頭痛
[00:03:16.040 --> 00:03:18.080]  不知道該給什麼名字
[00:03:18.080 --> 00:03:20.480]  我要給一些很特別的名字
[00:03:20.480 --> 00:03:23.200]  讓我的子女特別一點
[00:03:23.200 --> 00:03:26.440]  很多時候我們都會參考聖經
[00:03:26.440 --> 00:03:29.160]  看看聖經有什麼名字
[00:03:29.160 --> 00:03:31.840]  有時候我看到有些弟兄姊妹
[00:03:31.840 --> 00:03:33.720]  給他們的子女改的名字
[00:03:33.720 --> 00:03:37.440]  這些名字很特別,很少見
[00:03:37.440 --> 00:03:39.000]  是從哪裡來的?
[00:03:39.000 --> 00:03:39.840]  他們就會說
[00:03:39.840 --> 00:03:41.000]  是聖經
[00:03:41.000 --> 00:03:42.160]  什麼是聖經?
[00:03:42.160 --> 00:03:43.960]  我為什麼不知道呢?
[00:03:43.960 --> 00:03:45.160]  原來他們就說
[00:03:45.160 --> 00:03:47.360]  不知道哪一章哪一節呢?
[00:03:47.360 --> 00:03:49.400]  那些名字很少人用
[00:03:49.400 --> 00:03:51.360]  我說為什麼你會給他們這個名字呢?
[00:03:51.360 --> 00:03:52.960]  他說因為很少人用
[00:03:52.960 --> 00:03:54.240]  不用那麼多人
[00:03:54.240 --> 00:03:56.000]  每個人都叫David
[00:03:56.000 --> 00:03:57.680]  叫Peter那些
[00:03:57.680 --> 00:04:01.320]  Peter不好意思,打擾了
[00:04:01.320 --> 00:04:03.520]  不要那麼普遍
[00:04:03.520 --> 00:04:06.200]  你改名你都要看清楚
[00:04:06.200 --> 00:04:08.080]  他的名字,這個人
[00:04:08.080 --> 00:04:10.360]  他的人是怎樣的
[00:04:10.360 --> 00:04:13.000]  他的背景是什麼
[00:04:13.000 --> 00:04:14.360]  他的名字的意思是什麼
[00:04:14.360 --> 00:04:15.680]  你都要了解的
[00:04:15.680 --> 00:04:18.440]  難道你都給他叫做猶大嗎?
[00:04:18.440 --> 00:04:20.320]  或者叫做耶穌就少人用
[00:04:20.320 --> 00:04:24.200]  你為什麼不改名叫做猶大或者耶穌
[00:04:24.200 --> 00:04:26.920]  所以我們改名可能都要很清楚
[00:04:26.920 --> 00:04:30.880]  名字背後有什麼典故
[00:04:30.880 --> 00:04:33.800]  今天剛才我們讀的聖經裡面
[00:04:33.800 --> 00:04:35.680]  可能我們都看到
[00:04:35.680 --> 00:04:38.240]  原來有很多的人名在當中
[00:04:38.240 --> 00:04:41.600]  紅字那些全部都是人名
