
[00:00:00.000 --> 00:00:03.080]  各位 地心姐妹朋友們 大家早
[00:00:03.080 --> 00:00:06.680]  Good morning to everyone and welcome you all
[00:00:06.680 --> 00:00:11.360]  那麼今天我們逐日崇拜
[00:00:11.360 --> 00:00:14.680]  仍然是第一個禮拜的逐日崇拜
[00:00:14.680 --> 00:00:19.840]  我們是要講靈魂體心生合一
[00:00:19.840 --> 00:00:22.640]  所以我們會花一點時間
[00:00:22.640 --> 00:00:26.360]  講我們在過去這段時間我們所講過的
[00:00:26.360 --> 00:00:30.320]  還有我們展望未來的
[00:00:30.320 --> 00:00:33.520]  今天我們的意向靈魂體心生合一
[00:00:33.520 --> 00:00:36.680]  我們會跟各位分享就是說
[00:00:36.680 --> 00:00:43.120]  靈魂體也就是Spirit, Soul, and Body
[00:00:43.120 --> 00:00:47.120]  可不可以少一個啊 不可以
[00:00:47.120 --> 00:00:51.560]  靈魂體會有人強 會有人靈強靈弱
[00:00:51.560 --> 00:00:55.520]  或者是肉體強呢 也都有可能
[00:00:55.520 --> 00:00:59.520]  靈魂體也都有每一個所能的
[00:00:59.520 --> 00:01:04.080]  而且每一個都有它的用處
[00:01:04.080 --> 00:01:06.240]  最後我的結論是
[00:01:06.240 --> 00:01:09.360]  殺害身體的你不要怕
[00:01:09.360 --> 00:01:13.040]  殺害靈魂的你倒真是要怕它
[00:01:13.040 --> 00:01:16.280]  靈魂體的心生合一
[00:01:16.280 --> 00:01:19.280]  靈就是Spirit
[00:01:19.280 --> 00:01:23.320]  在《創世紀》二章七節呢
[00:01:23.320 --> 00:01:28.840]  他說耶和華神用地上的塵土造人
[00:01:28.840 --> 00:01:34.040]  然後將生氣吹在他的鼻孔裡面
[00:01:34.040 --> 00:01:37.440]  他就成了有靈的活人
[00:01:37.440 --> 00:01:39.640]  A living creature
[00:01:39.640 --> 00:01:43.600]  他的名字叫亞當 Adam
[00:01:43.600 --> 00:01:48.880]  所以我們常常說人是萬物之靈
[00:01:48.880 --> 00:01:51.760]  因為只有人被造
[00:01:51.760 --> 00:01:55.800]  神在我們鼻孔吹了一口氣
[00:01:55.800 --> 00:01:57.800]  魂呢
[00:01:57.800 --> 00:02:00.080]  這個在《撒末爾紀》上
[00:02:00.080 --> 00:02:03.760]  二十五章三四七節他特別有講到
[00:02:03.760 --> 00:02:08.880]  他說請拿吧 魂不復體
[00:02:08.880 --> 00:02:12.000]  到底什麼叫魂不復體呢
[00:02:12.000 --> 00:02:14.000]  英文聖經是說
[00:02:14.000 --> 00:02:17.960]  His heart died within him
[00:02:17.960 --> 00:02:19.920]  他的魂不復體
[00:02:19.920 --> 00:02:22.240]  結果身體都僵直了
[00:02:22.240 --> 00:02:24.320]  這是怎麼回事呢
[00:02:24.320 --> 00:02:26.240]  這是因為
[00:02:26.240 --> 00:02:32.120]  大衛王在曠野避難草創期呢
[00:02:32.120 --> 00:02:37.160]  有一次派了勇士來找大戶拿吧
[00:02:37.160 --> 00:02:39.040]  求他接濟
[00:02:39.040 --> 00:02:42.800]  結果拿吧是一個老粗啊
[00:02:42.800 --> 00:02:45.280]  他就跟來人說大衛什麼人啊
[00:02:45.280 --> 00:02:46.600]  我才不管他呢
[00:02:46.600 --> 00:02:48.640]  我也不給他什麼了
[00:02:48.640 --> 00:02:51.920]  這些人就回去告訴大衛
[00:02:51.920 --> 00:02:55.240]  大衛好生氣說明天我帶的人
[00:02:55.240 --> 00:02:57.480]  我要去滅了拿吧
[00:02:57.480 --> 00:02:59.160]  neighbor
[00:02:59.160 --> 00:03:01.880]  拿吧的妻子叫做Abigail
[00:03:01.880 --> 00:03:05.840]  亞比蓋是一個有智慧的女人
[00:03:05.840 --> 00:03:09.280]  他聽到這個事情呢
[00:03:09.280 --> 00:03:11.960]  正好那天拿吧就喝醉了酒
[00:03:11.960 --> 00:03:14.280]  他就招呼使女
