
[00:00:00.000 --> 00:00:03.900]  給予祝福是一件很重要的事
[00:00:03.900 --> 00:00:06.000]  因為上帝是祝福這個地方
[00:00:06.000 --> 00:00:06.900]  祝福這個國家
[00:00:06.900 --> 00:00:07.900]  祝福我們每一個人
[00:00:07.900 --> 00:00:10.700]  我們一直都在看《河西亞書》
[00:00:10.700 --> 00:00:12.600]  《河西亞書》的主題經文
[00:00:12.600 --> 00:00:13.400]  大家記得嗎?
[00:00:13.400 --> 00:00:15.100]  看第幾章
[00:00:15.100 --> 00:00:20.100]  因為沒有答案
[00:00:20.100 --> 00:00:23.100]  第六章有人說了
[00:00:23.100 --> 00:00:23.800]  多謝你
[00:00:23.800 --> 00:00:26.800]  第六章我們先讀讀這章主題經文
[00:00:29.200 --> 00:00:30.100]  主題經文
[00:01:00.200 --> 00:01:01.200]  這個主題經文
[00:01:01.200 --> 00:01:03.200]  我們其實上次已經講過了
[00:01:03.200 --> 00:01:06.700]  這個經文是以色列人自己去講的
[00:01:06.700 --> 00:01:10.700]  他講的時候都不是真的這麼真心的
[00:01:10.700 --> 00:01:13.200]  在第六章的時候發生了這件事
[00:01:13.200 --> 00:01:15.200]  我們看回今天
[00:01:15.200 --> 00:01:17.700]  我們會看《河西亞書》最後的那一章
[00:01:17.700 --> 00:01:21.200]  這也是一個呼喚
[00:01:21.200 --> 00:01:22.700]  一個迴轉的呼喚
[00:01:22.700 --> 00:01:26.200]  第六章是一個迴轉的字述
[00:01:26.200 --> 00:01:29.200]  但是《河西亞》講的
[00:01:29.200 --> 00:01:32.700]  真是叫以色人悔改迴轉的一段經文
[00:01:32.700 --> 00:01:34.200]  整本書都有的
[00:01:34.200 --> 00:01:36.200]  但是最後那章
[00:01:36.200 --> 00:01:39.700]  第十四章一到四節
[00:01:39.700 --> 00:01:42.200]  是一個很不同的呼喚
[00:01:42.200 --> 00:01:44.200]  我們先看看這段經文
[00:01:44.200 --> 00:01:46.200]  十四章一至四節
[00:01:46.200 --> 00:01:47.200]  我們一起讀
[00:01:47.200 --> 00:01:50.200]  以色列啊!迴轉吧!
[00:01:50.200 --> 00:01:52.200]  回到耶和華你的神那裡
[00:01:52.200 --> 00:01:56.700]  因為你是因自己的罪孽跌倒的
[00:01:56.700 --> 00:01:59.700]  你們預備好要說的話
[00:01:59.700 --> 00:02:01.200]  歸向耶和華
[00:02:01.200 --> 00:02:02.200]  對他說
[00:02:02.200 --> 00:02:04.700]  除去我們一切罪孽
[00:02:04.700 --> 00:02:07.200]  閱立我們的禱告
[00:02:07.200 --> 00:02:11.200]  這樣我們就把咀唇的果子獻上
[00:02:11.200 --> 00:02:13.200]  亞述不能救我們
[00:02:13.200 --> 00:02:16.200]  我們必不再騎埃及的馬
[00:02:16.200 --> 00:02:18.200]  我們親手所做的
[00:02:18.200 --> 00:02:21.200]  我們必不再稱為我們的神
[00:02:21.200 --> 00:02:23.200]  因為你在那裡
[00:02:23.200 --> 00:02:27.700]  孤兒才得著連蜜連膝
[00:02:27.700 --> 00:02:30.700]  這是《河西亞書》最後一章
[00:02:30.700 --> 00:02:32.700]  最後一章的呼喚給我們看到
[00:02:32.700 --> 00:02:35.200]  其實是一個很不同的呼喚
[00:02:35.200 --> 00:02:39.200]  跟第六章以色列人自己講的迴轉
[00:02:39.200 --> 00:02:41.200]  是一個很不一樣的迴轉
[00:02:41.200 --> 00:02:42.200]  在這段經文
[00:02:42.200 --> 00:02:46.700]  《河西亞》不單是勸勉以色列人要歸向上帝
[00:02:46.700 --> 00:02:48.200]  他甚至怎樣呢?
[00:02:48.200 --> 00:02:51.200]  他甚至教那些以色列人
[00:02:51.200 --> 00:02:53.200]  怎樣跟耶和華說話
[00:02:53.200 --> 00:02:54.200]  他說什麼?
[00:02:54.200 --> 00:02:59.200]  他說你要預備好要說的話
[00:02:59.200 --> 00:03:02.200]  我覺得這件事是一個很重要的
[00:03:02.200 --> 00:03:03.200]  很甘甜的事
[00:03:03.200 --> 00:03:05.200]  你做基督徒這麼久
[00:03:05.200 --> 00:03:07.200]  你跟上帝都告了禱告
[00:03:07.200 --> 00:03:09.200]  但如果一個先知跟你說
[00:03:09.200 --> 00:03:10.200]  你預備好了
[00:03:10.200 --> 00:03:12.200]  你應該這樣跟上帝說話
[00:03:12.200 --> 00:03:14.200]  這件事是很無比的事
[00:03:14.200 --> 00:03:17.200]  當然不是叫你求財
[00:03:17.200 --> 00:03:18.200]  你求依治也好
[00:03:18.200 --> 00:03:19.200]  你求憐憫也好
[00:03:19.200 --> 00:03:21.200]  你只要這樣去說
[00:03:21.200 --> 00:03:23.200]  上帝會應用你
[00:03:23.200 --> 00:03:25.200]  這件事是很好的事
[00:03:25.200 --> 00:03:29.200]  但在他還沒教他之前這段經文
[00:03:29.200 --> 00:03:33.200]  《河西亞》說以色列人要迴轉
[00:03:33.200 --> 00:03:36.200]  而迴轉只有一個原因
[00:03:36.200 --> 00:03:38.200]  原因是什麼?
[00:03:38.200 --> 00:03:40.200]  下一章
[00:03:40.200 --> 00:03:42.200]  我要你注意的就是
[00:03:42.200 --> 00:03:45.200]  他自己的罪孽
[00:03:45.200 --> 00:03:47.200]  他說因為自己的罪孽
[00:03:47.200 --> 00:03:48.200]  你要迴轉
[00:03:48.200 --> 00:03:50.200]  你因為自己的罪孽跌倒
[00:03:50.200 --> 00:03:53.200]  罪孽這個字在《河西亞》書
[00:03:53.200 --> 00:03:55.200]  比起迴轉這個字
[00:03:55.200 --> 00:03:57.200]  出現的次數更多
[00:03:57.200 --> 00:03:59.200]  《河西亞》的主題叫迴轉
[00:03:59.200 --> 00:04:01.200]  但是迴轉這個字
[00:04:01.200 --> 00:04:06.200]  不比罪孽這個字更多
[00:04:06.200 --> 00:04:08.200]  罪孽以色列自己的罪孽
[00:04:08.200 --> 00:04:12.200]  什麼是以色列自己的罪孽?
