
[00:00:00.000 --> 00:00:04.080]  曾經香港有一部電影《一百萬零一夜》
[00:00:04.080 --> 00:00:09.440]  其中有個女同聲叫做努比娜·阿麗
[00:00:09.440 --> 00:00:12.720]  她九歲在電影裏面飾演孤女
[00:00:12.720 --> 00:00:15.520]  但當電影成名後
[00:00:15.520 --> 00:00:18.320]  她的父親透過暗盤賣女
[00:00:18.320 --> 00:00:20.800]  他叫拉菲克
[00:00:20.800 --> 00:00:22.480]  爲什麼要賣女呢
[00:00:22.480 --> 00:00:24.800]  因爲他本身想擺脫窮根
[00:00:24.800 --> 00:00:28.880]  因爲他在印度是在很窮的地方生活
[00:00:28.880 --> 00:00:30.880]  所以當阿麗成名後
[00:00:30.880 --> 00:00:33.200]  他又心有不甘賺得那麼少
[00:00:33.200 --> 00:00:34.400]  阿麗那麼厲害
[00:00:34.400 --> 00:00:35.920]  拿的雞碎那麼多
[00:00:35.920 --> 00:00:37.360]  於是他暗判賣女
[00:00:37.360 --> 00:00:40.640]  開價是二千萬印度的奴僕
[00:00:40.640 --> 00:00:43.120]  即是爲港幣三百一十一萬
[00:00:43.120 --> 00:00:45.760]  有些記者微服出巡
[00:00:45.760 --> 00:00:49.040]  做賣家看看料是真是假
[00:00:49.040 --> 00:00:50.400]  發現原來是真的
[00:00:50.400 --> 00:00:54.400]  他父親和他叔叔
[00:00:54.400 --> 00:00:56.560]  暗中去接見記者
[00:00:56.560 --> 00:00:58.320]  說我女是厲害的
[00:00:58.320 --> 00:01:02.480]  不想她在貧民窟裏挨一輩子
[00:01:02.480 --> 00:01:05.200]  希望有些有錢人家
[00:01:05.200 --> 00:01:07.120]  給她好的將來
[00:01:07.120 --> 00:01:09.360]  收回少少費用
[00:01:09.360 --> 00:01:13.360]  就是三百一十一萬港幣
[00:01:13.360 --> 00:01:15.760]  後來被記者踢爆後
[00:01:15.760 --> 00:01:17.840]  他說沒有這件事
[00:01:17.840 --> 00:01:21.520]  這件事發生在2009年4月20號
[00:01:21.520 --> 00:01:23.120]  同年9月
[00:01:23.120 --> 00:01:28.240]  他賣女的父親因肺癌而死
[00:01:28.240 --> 00:01:32.400]  頭尾不夠半年
[00:01:32.400 --> 00:01:34.960]  在經文裏面他說到
[00:01:34.960 --> 00:01:37.840]  他第一次就是說
[00:01:37.840 --> 00:01:40.880]  我願男人無憤怒無憎恨
[00:01:40.880 --> 00:01:44.000]  他在聖潔的手隨處土告
[00:01:44.000 --> 00:01:45.520]  其實
[00:01:45.520 --> 00:01:47.200]  一會兒我會解這些意思
[00:01:47.200 --> 00:01:48.480]  其實作爲男人
[00:01:48.480 --> 00:01:49.280]  主席也說了
[00:01:49.280 --> 00:01:50.400]  我們作爲男人
[00:01:50.400 --> 00:01:53.440]  一個質點是什麼呢
[00:01:53.440 --> 00:01:55.680]  我們有嚴微資金
[00:01:55.680 --> 00:01:59.760]  賣檔借短暫的解決困難
[00:01:59.760 --> 00:02:02.080]  完全可以接受
[00:02:02.080 --> 00:02:05.120]  但是爲了賣檔借來斬斷窮根
[00:02:05.120 --> 00:02:08.320]  這個不可能接受
[00:02:08.320 --> 00:02:09.360]  這是第一點
[00:02:09.360 --> 00:02:12.640]  我們作爲爸爸的一種質點
[00:02:12.640 --> 00:02:15.120]  在聖潔裏面提前第二章八節
[00:02:15.120 --> 00:02:18.560]  他說我願男人無憤怒無憎恨
[00:02:18.560 --> 00:02:19.760]  他在聖潔的手
[00:02:19.760 --> 00:02:22.400]  第一無憎恨就是指無疑惑
[00:02:22.400 --> 00:02:24.000]  就是祈禱的時候很單純
[00:02:24.000 --> 00:02:26.800]  相信神是在聽祈禱的
[00:02:26.800 --> 00:02:32.320]  第二聖潔就是講到正直虔誠仁慈
[00:02:32.320 --> 00:02:34.480]  其實我自己認爲
[00:02:34.480 --> 00:02:37.280]  我們聖潔要舉起土告的手
[00:02:37.280 --> 00:02:41.120]  不聖潔更加要舉起土告的手
[00:02:41.120 --> 00:02:45.520]  古人他們祈禱的時候經常有兩個手
[00:02:45.520 --> 00:02:48.880]  向天舉手
[00:02:48.880 --> 00:02:52.640]  耶穌在馬福音裏面說
[00:02:52.640 --> 00:02:55.600]  主啊 我的神 我的神
[00:02:55.600 --> 00:03:00.640]  就是用馬福音叫 Elohim
[00:03:00.640 --> 00:03:04.000]  在馬可裏面對外邦人叫阿蘭文
[00:03:04.000 --> 00:03:06.400]  就是伊利 伊利
[00:03:06.400 --> 00:03:08.320]  就是說我的神 我的神
[00:03:08.320 --> 00:03:10.800]  其實我們祈禱就是要仰望我們的窮瘡
[00:03:10.800 --> 00:03:12.000]  愛我們的巴腐
[00:03:12.000 --> 00:03:13.840]  無論你聖潔還是污穢
[00:03:13.840 --> 00:03:15.840]  我們一定要舉起我們土告的手
[00:03:15.840 --> 00:03:19.360]  因爲他和我們的關係是耿古常傳的
[00:03:19.360 --> 00:03:21.200]  所以不要想要做得好好的纔是祈禱
