
[00:00:00.000 --> 00:00:02.700]  各位姊妹早晨
[00:00:02.700 --> 00:00:07.520]  我代表西雅圖正道堂向大家問安
[00:00:07.520 --> 00:00:12.520]  很開心今天能夠和你們一起敬拜
[00:00:12.520 --> 00:00:18.800]  也很感謝神讓我今早有機會來宣講祂的話語
[00:00:18.800 --> 00:00:25.160]  其實我和多倫多也有一份緣份
[00:00:25.160 --> 00:00:30.000]  我上一次在多倫多應該是三十年前
[00:00:30.000 --> 00:00:32.300]  我認識多倫多
[00:00:32.300 --> 00:00:35.480]  但其實我不是在這裡住過
[00:00:35.480 --> 00:00:43.080]  不過我有六年的時間在Kingston Queen's皇后大學讀大學
[00:00:43.080 --> 00:00:51.420]  所以當時一有節日或者是Reading Week的時候就會出土
[00:00:51.420 --> 00:00:57.200]  不知道現在是否還是用這個名詞「出土」
[00:00:57.200 --> 00:01:02.360]  我記得第一年Reading Week出到來多倫多
[00:01:02.360 --> 00:01:05.500]  當時我還未信耶穌
[00:01:05.500 --> 00:01:09.080]  但也有去過團契
[00:01:09.080 --> 00:01:14.080]  來到的時候有朋友邀請去一個聚會
[00:01:14.080 --> 00:01:16.820]  我說好吧去吧沒甚麼事要做
[00:01:16.820 --> 00:01:21.320]  原來是大多市的報道會
[00:01:21.320 --> 00:01:25.920]  當年講員是馮臻牧師
[00:01:25.920 --> 00:01:28.100]  我已經忘記他說甚麼了
[00:01:28.100 --> 00:01:30.960]  不過當他呼召的時候
[00:01:30.960 --> 00:01:35.040]  他叫會眾一起來唱「他是主」
[00:01:35.040 --> 00:01:39.300]  我記得我其實是坐在這裡的後排
[00:01:39.300 --> 00:01:41.100]  在邊邊的
[00:01:41.100 --> 00:01:44.640]  當時他一直叫我們閉上眼
[00:01:44.640 --> 00:01:47.320]  一直聽著「他是主」
[00:01:47.320 --> 00:01:49.780]  嘩很感動的心
[00:01:49.780 --> 00:01:52.920]  好像有人在敲門
[00:01:52.920 --> 00:01:57.020]  「Wendy開門吧我想進來」
[00:01:57.020 --> 00:02:02.360]  很感動但同時很掙扎
