
[00:00:00.000 --> 00:00:04.120]  各位聽眾,不知道大家有沒有妹妹
[00:00:04.120 --> 00:00:06.240]  你是我的妹子
[00:00:06.240 --> 00:00:11.000]  如果多聽聖經都知道「你是我的妹子」的意思
[00:00:11.000 --> 00:00:14.120]  《新秘書宣教網絡》《聖經人》《聖經事》
[00:00:14.120 --> 00:00:16.240]  今次是講一個人物
[00:00:16.240 --> 00:00:21.480]  當然要先講聖經最主角是上帝自己
[00:00:21.480 --> 00:00:22.640]  而不是我們
[00:00:22.640 --> 00:00:24.840]  也不是聖經裡的人物
[00:00:24.840 --> 00:00:28.240]  不過我們今天要講一個聖經裡的人物
[00:00:28.240 --> 00:00:29.520]  除了上帝之外
[00:00:29.520 --> 00:00:33.160]  就是阿伯蘭和他的妻子
[00:00:33.160 --> 00:00:34.440]  這件故事
[00:00:34.440 --> 00:00:36.760]  「你是我的妹子」
[00:00:36.760 --> 00:00:37.560]  好
[00:00:37.560 --> 00:00:40.000]  初世紀十二章第十節
[00:00:40.000 --> 00:00:42.000]  那地遭遇饑荒
[00:00:42.000 --> 00:00:44.720]  因為饑荒甚大
[00:00:44.720 --> 00:00:48.080]  阿伯蘭要去埃及
[00:00:48.080 --> 00:00:49.280]  多數是去埃及的
[00:00:49.280 --> 00:00:53.160]  後來在以色列地饑荒的時間
[00:00:53.160 --> 00:00:56.000]  雅各也叫他的兒子去埃及遞糧
[00:00:56.000 --> 00:00:57.920]  因為遇到弱勢
[00:00:57.920 --> 00:01:00.840]  埃及因為是一個很大的國家
[00:01:00.840 --> 00:01:05.200]  還有它有尼羅河流域和三角洲
[00:01:05.200 --> 00:01:08.680]  這個尼羅河三角洲每年都會氾濫
[00:01:08.680 --> 00:01:10.280]  氾濫的好處是什麼呢?
[00:01:10.280 --> 00:01:11.920]  就是淹了地
[00:01:11.920 --> 00:01:14.920]  然後水退去之後地很肥
[00:01:14.920 --> 00:01:18.640]  所以他們每一年都是靠尼羅河的氾濫
[00:01:18.640 --> 00:01:21.320]  造成一個很肥沃的土地
[00:01:21.320 --> 00:01:23.800]  他們在那裡耕種
[00:01:23.800 --> 00:01:26.920]  於是他們時常有很多糧食
[00:01:26.920 --> 00:01:28.760]  遭遇饑荒
[00:01:28.760 --> 00:01:31.920]  阿伯蘭就去埃及暫居
[00:01:31.920 --> 00:01:35.840]  阿伯蘭本身當時已經很有錢
[00:01:35.840 --> 00:01:38.040]  如果沒有錢是不會去埃及暫居
[00:01:38.040 --> 00:01:39.720]  走都未走到已經餓死了
[00:01:39.720 --> 00:01:41.240]  中途已經死了
[00:01:41.240 --> 00:01:44.040]  他一家人就去那裡暫居
[00:01:44.040 --> 00:01:47.040]  Staycation先去暫居
[00:01:47.040 --> 00:01:51.000]  將近埃及就對他妻子撒萊說
[00:01:51.000 --> 00:01:52.440]  跟他太太說
[00:01:52.440 --> 00:01:56.920]  撒萊我知道你是容貌盡美的婦人
[00:01:56.920 --> 00:01:58.920]  這個中文翻譯都很厲害
[00:01:58.920 --> 00:02:02.600]  通常容貌盡美就曾經形容過誰呢?
[00:02:02.600 --> 00:02:05.520]  是彈爾尼這個男士
[00:02:05.520 --> 00:02:08.120]  聖經一早就說
[00:02:08.120 --> 00:02:13.640]  這個女士是美容貌盡美的婦人
[00:02:13.640 --> 00:02:16.640]  容貌沒問題
[00:02:16.640 --> 00:02:17.640]  盡美
[00:02:17.640 --> 00:02:19.960]  盡通常我們形容男的
[00:02:19.960 --> 00:02:23.200]  不過由於我們中國時時形容男
[00:02:23.200 --> 00:02:25.520]  後來經常說英俊英俊
[00:02:25.520 --> 00:02:26.960]  好像我一樣英俊
[00:02:26.960 --> 00:02:29.600]  於是就容貌盡美
[00:02:29.600 --> 00:02:31.160]  就是盡是男的
[00:02:31.160 --> 00:02:32.720]  美是女的
[00:02:32.720 --> 00:02:35.640]  其實這個盡的意思是盡俏
[00:02:35.640 --> 00:02:39.640]  盡是表示有氣質
[00:02:39.640 --> 00:02:41.840]  一看就覺得有氣質
[00:02:41.840 --> 00:02:44.760]  而且很漂亮的女人
[00:02:44.760 --> 00:02:46.680]  如果埃及看到你就會說
[00:02:46.680 --> 00:02:50.440]  這個是阿伯蘭的太太
[00:02:50.440 --> 00:02:51.440]  那會怎樣?
[00:02:51.440 --> 00:02:54.800]  他們就會實行將我殺死
[00:02:54.800 --> 00:02:56.240]  然後搶你
[00:02:56.240 --> 00:02:59.040]  於是搶你做他太太
[00:02:59.040 --> 00:03:02.920]  我因為是你的丈夫
[00:03:02.920 --> 00:03:04.520]  搶你為妻
[00:03:04.520 --> 00:03:06.160]  搶你做阿寨夫人
[00:03:06.160 --> 00:03:08.200]  當然先殺死我
[00:03:08.200 --> 00:03:09.600]  如果我去埃及
[00:03:09.600 --> 00:03:12.840]  他們看到你這麼美就會娶你為妻
[00:03:12.840 --> 00:03:14.240]  於是他們就會殺我
[00:03:14.240 --> 00:03:16.240]  那你就當然沒事了
[00:03:16.240 --> 00:03:18.240]  不如這樣吧
[00:03:18.240 --> 00:03:20.680]  求你就說
[00:03:20.680 --> 00:03:22.360]  你是我的妹子
[00:03:22.360 --> 00:03:24.040]  使我因你得平安
[00:03:24.040 --> 00:03:26.640]  我的命也因你存活
[00:03:26.640 --> 00:03:28.160]  未去到埃及
[00:03:28.160 --> 00:03:29.320]  阿伯蘭就說
[00:03:29.320 --> 00:03:30.960]  太太不如
[00:03:30.960 --> 00:03:31.880]  老婆老婆
[00:03:31.880 --> 00:03:34.880]  不如我叫你做妹
[00:03:34.880 --> 00:03:36.680]  做妹就是做妹
[00:03:36.680 --> 00:03:38.680]  當然真是中文做妹
[00:03:38.680 --> 00:03:40.600]  是指媒人的妹
[00:03:40.600 --> 00:03:43.080]  妹子就是妹妹
[00:03:43.080 --> 00:03:45.360]  我叫你做妹妹
[00:03:45.360 --> 00:03:47.920]  你的命一定沒問題
[00:03:47.920 --> 00:03:49.120]  因為你美
[00:03:49.120 --> 00:03:52.240]  而我的命會因為你是我的妹
[00:03:52.240 --> 00:03:56.160]  而我會因你而存活
[00:03:56.160 --> 00:04:00.840]  這裡問題來了
