
[00:00:00.000 --> 00:00:04.960]  今天的講題是「恩賜盡顯 樂義捐獻」
[00:00:04.960 --> 00:00:08.400]  是講錢的 為什麼會講錢呢?
[00:00:08.400 --> 00:00:10.520]  剛才讀的經文
[00:00:10.520 --> 00:00:16.000]  哥倫多後書第四章第一節至第十五節
[00:00:16.000 --> 00:00:17.720]  最後那兩節的經文
[00:00:17.720 --> 00:00:20.200]  告訴我們就是講恩賜
[00:00:20.200 --> 00:00:21.280]  第十四節
[00:00:21.280 --> 00:00:25.080]  「他們也因神極大的恩賜顯在你們心裡
[00:00:25.080 --> 00:00:27.640]  切切地想念你們 為你們祈禱」
[00:00:27.640 --> 00:00:29.000]  第十五節又說
[00:00:29.000 --> 00:00:32.520]  「感謝神因他有說不盡的恩賜」
[00:00:32.520 --> 00:00:33.720]  兩節經文講的恩賜
[00:00:33.720 --> 00:00:36.920]  不過原來的希臘文是兩個字
[00:00:36.920 --> 00:00:38.920]  我最後的時候會解釋
[00:00:38.920 --> 00:00:40.000]  為什麼無緣無故講
[00:00:40.000 --> 00:00:42.440]  「感謝神因他有說不盡的恩賜」呢?
[00:00:42.440 --> 00:00:43.400]  為什麼又講
[00:00:43.400 --> 00:00:45.920]  「恩神極大的恩賜顯在你們心裡」呢?
[00:00:45.920 --> 00:00:47.600]  前文是講什麼的呢?
[00:00:47.600 --> 00:00:50.400]  前文就是事關金錢
[00:00:50.400 --> 00:00:52.760]  但是這裡講的金錢我們要留意
[00:00:52.760 --> 00:00:54.560]  這裡講的金錢
[00:00:54.560 --> 00:00:56.960]  不是講到十一的奉獻
[00:00:56.960 --> 00:00:59.920]  也不是講我們平時崇拜的時候的奉獻
[00:00:59.920 --> 00:01:02.320]  也不是講礦塘的奉獻
[00:01:02.320 --> 00:01:05.960]  也不是講建教會建築物的奉獻
[00:01:05.960 --> 00:01:08.280]  是講什麼的金錢
[00:01:08.280 --> 00:01:09.600]  講什麼的奉獻
[00:01:09.600 --> 00:01:11.720]  我用捐獻來解釋
[00:01:11.720 --> 00:01:15.880]  是講對貧窮的信徒
[00:01:15.880 --> 00:01:18.480]  那份愛心的捐獻
[00:01:18.480 --> 00:01:19.800]  有一些歷史的背景
[00:01:19.800 --> 00:01:23.120]  我一路交代的時候就會讓大家知道
[00:01:23.120 --> 00:01:28.920]  哥倫多後書第八章一節到第九章十五節
[00:01:28.920 --> 00:01:33.400]  是哥倫多後書第二個大的段落
[00:01:33.400 --> 00:01:36.120]  原本八章一節到六節
[00:01:36.120 --> 00:01:38.360]  是講馬克棋頓教會
[00:01:38.360 --> 00:01:42.000]  馬克棋頓教會有幾間
[00:01:42.000 --> 00:01:43.960]  他們有一個很好的見證
[00:01:43.960 --> 00:01:47.160]  就是他們在極窮困的時候
[00:01:47.160 --> 00:01:51.680]  都來幫助那些另外有窮困情況的人
[00:01:51.680 --> 00:01:53.680]  講他們有一個好的見證
[00:01:53.680 --> 00:01:55.680]  第七節到第十五節就講
[00:01:55.680 --> 00:02:00.680]  耶穌基督祂才是奉獻自己最大的榜樣
[00:02:00.680 --> 00:02:02.080]  是那個典範
[00:02:02.080 --> 00:02:04.080]  因為祂本來富足
[00:02:04.080 --> 00:02:05.600]  祂成了貧窮
[00:02:05.600 --> 00:02:07.960]  叫我們這些貧窮的人成為富足
