
[00:00:00.000 --> 00:00:04.320]  我相信我們總有為一些事情或者人
[00:00:04.320 --> 00:00:06.640]  我們是奮身去做一些事情的
[00:00:06.640 --> 00:00:08.320]  奮身去追求的
[00:00:08.320 --> 00:00:10.760]  另外也有相關的問題就是
[00:00:10.760 --> 00:00:14.240]  為什麼你會像奮身一樣不顧一切的
[00:00:14.240 --> 00:00:16.000]  甚至不顧後果的
[00:00:16.000 --> 00:00:17.920]  當然年輕的時候,現在不好了
[00:00:17.920 --> 00:00:19.920]  去追求這些人和事
[00:00:19.920 --> 00:00:21.120]  是為了什麼?
[00:00:21.120 --> 00:00:24.920]  一種心裡面很澎湃的熱切的一種渴慕,是不是?
[00:00:24.920 --> 00:00:28.000]  我相信這一份情懷
[00:00:28.000 --> 00:00:32.600]  我不知道你,好像我們這些已經去到一百多年的人
[00:00:32.600 --> 00:00:36.840]  這些情懷好像逝者如師父,不捨就也
[00:00:36.840 --> 00:00:40.760]  好像流水,隨東江而去,是不是這樣?
[00:00:40.760 --> 00:00:44.280]  會不會呢?如果今天我能夠希望有一個使命
[00:00:44.280 --> 00:00:46.200]  我希望今天我們能夠敬拜完之後
[00:00:46.200 --> 00:00:48.280]  能夠重新挑旺你
[00:00:48.280 --> 00:00:51.080]  這一份追求的情懷,好嗎?
[00:00:51.080 --> 00:00:53.080]  我一直祈禱,求神幫助我們
[00:00:53.080 --> 00:00:54.840]  不要越做基督徒就越垃圾
[00:00:54.840 --> 00:00:57.000]  越做基督徒就越老油條
[00:00:57.000 --> 00:01:00.000]  越做基督徒就越垃圾,好嗎?
[00:01:00.000 --> 00:01:01.000]  行不行?
[00:01:01.000 --> 00:01:03.000]  給點士氣來,行不行?
[00:01:03.000 --> 00:01:05.000]  好,OK,OK
[00:01:05.000 --> 00:01:08.000]  好啦,我們剛才看過這段經文
[00:01:08.000 --> 00:01:11.000]  這段經文的主題就是「潔力追求」
[00:01:11.000 --> 00:01:14.000]  「潔力追求」,或者特別是「追求」
[00:01:14.000 --> 00:01:16.000]  或者「潔力追求」這四個字呢
[00:01:16.000 --> 00:01:18.000]  希臘原文,因為新的聖經,所以是希臘文
[00:01:18.000 --> 00:01:20.000]  舊的聖經就是希伯來文
[00:01:20.000 --> 00:01:22.000]  新的聖經,「潔力追求」就是「Deutschkopf」
[00:01:22.000 --> 00:01:24.000]  「Deutschkopf」是什麼意思呢?
[00:01:24.000 --> 00:01:27.000]  「What pursue, follow after」是什麼意思呢?
[00:01:27.000 --> 00:01:30.000]  就是中文的「向著目標」
[00:01:30.000 --> 00:01:32.000]  「努力前進」
[00:01:32.000 --> 00:01:34.000]  「全力追求」
[00:01:34.000 --> 00:01:35.000]  「跟從神」
[00:01:35.000 --> 00:01:38.000]  你要發覺,我將裡面的keywords
[00:01:38.000 --> 00:01:41.000]  那些重要的字,就將它們打斜了
[00:01:41.000 --> 00:01:44.000]  哪兩組字是最重要的?一起讀,好嗎?
[00:01:44.000 --> 00:01:46.000]  「努力」、「全力」
[00:01:46.000 --> 00:01:48.000]  就是跟我剛才一開始那兩個問題很有關係的
[00:01:48.000 --> 00:01:51.000]  我們會不會為了信仰的緣故呢?
[00:01:51.000 --> 00:01:52.000]  為了真理的緣故呢?
[00:01:52.000 --> 00:01:55.000]  我們能夠奮身,甚至乎像保羅所說的
[00:01:55.000 --> 00:01:58.000]  他為了真理,為了福音而癲狂
[00:01:58.000 --> 00:02:01.000]  Crazy,瘋癲的
[00:02:01.000 --> 00:02:05.000]  好了,但是為什麼會做到這樣呢?
[00:02:05.000 --> 00:02:09.000]  我們先看看,我們先看看神學上的一些觀念
[00:02:09.000 --> 00:02:12.000]  這四個字很大,Big words
[00:02:12.000 --> 00:02:15.000]  很大的字,很厲害,神學上很深奧
[00:02:15.000 --> 00:02:16.000]  我們一起讀,好嗎?
[00:02:16.000 --> 00:02:18.000]  「因信稱義」
[00:02:18.000 --> 00:02:20.000]  有沒有人知道是什麼意思呢?
[00:02:20.000 --> 00:02:23.000]  通常這樣問,大家就會立刻問自己
[00:02:23.000 --> 00:02:24.000]  我懂不懂解釋呢?
[00:02:24.000 --> 00:02:26.000]  可不可以用兩個說話說出來呢?
[00:02:26.000 --> 00:02:28.000]  可不可以說出那個重要性呢?
[00:02:28.000 --> 00:02:29.000]  或者那個核心信息呢?
[00:02:29.000 --> 00:02:31.000]  不會歪了呢?
[00:02:31.000 --> 00:02:32.000]  「因信稱義」,一會兒說一下
[00:02:32.000 --> 00:02:33.000]  「因信稱義」
