
[00:00:00.000 --> 00:00:03.000]  各位來賓 主禮的弟兄姊妹 平安
[00:00:03.000 --> 00:00:05.120]  今天是一個很特別的日子
[00:00:05.120 --> 00:00:09.200]  我們一起來紀念主耶穌基督的降生
[00:00:09.200 --> 00:00:11.920]  這是一個大好的訊息
[00:00:11.920 --> 00:00:15.160]  這個星期全世界各地多個地方
[00:00:15.160 --> 00:00:17.960]  無論你是甚麼種族
[00:00:17.960 --> 00:00:23.400]  哪個地區的人士都會一同慶祝聖誕節
[00:00:23.400 --> 00:00:26.880]  究竟主耶穌基督是甚麼人呢?
[00:00:26.880 --> 00:00:29.240]  祂的身份有甚麼特別
[00:00:29.240 --> 00:00:32.560]  而令到全世界的那麼多個地方
[00:00:32.560 --> 00:00:36.120]  不同的人都會一同去為祂慶祝呢?
[00:00:36.120 --> 00:00:38.560]  祂的身份對我們基督徒
[00:00:38.560 --> 00:00:42.760]  或者是在座無道的朋友究竟有甚麼意義呢?
[00:00:42.760 --> 00:00:45.800]  我們今天會從《馬太福音》
[00:00:45.800 --> 00:00:50.200]  第一章第18至第15節裏面看一個故事
[00:00:50.200 --> 00:00:55.360]  看祂降生的故事 去明白到這個真理
[00:00:55.360 --> 00:01:01.600]  這個故事就是發生在羅馬帝國的時代
[00:01:01.600 --> 00:01:05.640]  這個羅馬帝國 主耶穌基督出生的年代
[00:01:05.640 --> 00:01:11.480]  以色列是被羅馬政權所統治的
[00:01:11.480 --> 00:01:15.800]  以色列這個地方就由一個希律
[00:01:15.800 --> 00:01:20.040]  大希律王來統治這個地區政權
[00:01:20.040 --> 00:01:22.880]  來統治 它是非常殘酷
[00:01:22.880 --> 00:01:27.800]  所以當時的人民就過了一些艱苦的生活
[00:01:27.800 --> 00:01:33.160]  包括主耶穌基督的父母 祂的親人 祂的民族
[00:01:33.160 --> 00:01:35.800]  在《馬太福音》一開頭的時候
[00:01:35.800 --> 00:01:38.640]  就記載了耶穌的家譜
