
[00:00:00.000 --> 00:00:05.340]  有網友在網上留言
[00:00:05.340 --> 00:00:08.480]  他那段說話這樣說
[00:00:08.480 --> 00:00:10.920]  人生在世
[00:00:10.920 --> 00:00:13.240]  每個人的心底裏面
[00:00:13.240 --> 00:00:16.680]  都有一塊沉重的石頭
[00:00:16.680 --> 00:00:21.600]  這塊石頭 抬不起 撼不爛
[00:00:21.600 --> 00:00:25.200]  就崴立不動 在那裏
[00:00:25.200 --> 00:00:27.560]  它跟隨你變老
[00:00:27.560 --> 00:00:30.880]  跟隨你死去
[00:00:30.880 --> 00:00:35.080]  最沉重的是生命本身嗎?
[00:00:35.080 --> 00:00:38.360]  是繁複無盡的工作嗎?
[00:00:38.360 --> 00:00:44.760]  是將人壓得透不過氣來的那一層樓嗎?
[00:00:44.760 --> 00:00:48.120]  還是一切都需要花費心力
[00:00:48.120 --> 00:00:52.320]  認真經營的生活呢?
[00:00:52.320 --> 00:00:56.760]  不知道你還記不記得
[00:00:56.760 --> 00:01:01.760]  你感受到最沉重的是甚麼時候呢?
[00:01:01.760 --> 00:01:05.880]  是哪一年 哪一月 哪一日呢?
[00:01:05.880 --> 00:01:07.600]  你還記不記得
[00:01:07.600 --> 00:01:12.000]  那些差點將你壓垮的事情
[00:01:12.000 --> 00:01:15.480]  是甚麼事情呢?
[00:01:15.480 --> 00:01:19.160]  你還記不記得
[00:01:19.160 --> 00:01:24.280]  那個沉重得令你透不過氣來的感覺呢?
[00:01:24.280 --> 00:01:27.720]  今天福音經課 不單是福音經課
[00:01:27.720 --> 00:01:29.800]  今天的四段經文
[00:01:29.800 --> 00:01:32.760]  都讓我們去想到
[00:01:32.760 --> 00:01:36.680]  有一些重擔是群體性的
[00:01:36.680 --> 00:01:38.960]  你感覺到沉重
[00:01:38.960 --> 00:01:41.000]  因為你是群體的一份子
[00:01:41.000 --> 00:01:44.160]  你分擔著群體的命運
[00:01:44.160 --> 00:01:48.600]  有一些沉重是際遇性的
[00:01:48.600 --> 00:01:51.000]  在你的人生際遇裏面
[00:01:51.000 --> 00:01:53.560]  有人將一些重擔加給你
[00:01:53.560 --> 00:01:58.760]  同時你亦可能將一些重擔加給別人
[00:01:58.760 --> 00:02:04.880]  有些重擔是來自自己內心的掙扎
[00:02:04.880 --> 00:02:08.880]  你可能被不知悉的慾望牽引
[00:02:08.880 --> 00:02:10.520]  內心掙扎
[00:02:10.520 --> 00:02:12.160]  又或者被強烈的失敗感
[00:02:12.160 --> 00:02:14.160]  或者罪疚感拖累
[00:02:14.160 --> 00:02:17.440]  而感到很沉重 抬不起頭來
[00:02:17.440 --> 00:02:22.320]  而有些重擔可能是從另一個世界來的
[00:02:22.320 --> 00:02:23.960]  它影響到你
[00:02:23.960 --> 00:02:28.520]  不過你影響不到它
[00:02:28.520 --> 00:02:34.640]  首先讓我們從舊約經課開始
[00:02:34.640 --> 00:02:38.360]  以彩雅書44章6至8節
[00:02:38.360 --> 00:02:41.720]  我們今天會再看回這四段經課
[00:02:41.720 --> 00:02:46.160]  大家可以將你手頭上的聖經打開
[00:02:46.160 --> 00:02:50.840]  或者是你手機上的聖經打開
[00:02:50.840 --> 00:02:55.160]  以彩雅書44章6至8節
[00:02:55.160 --> 00:02:57.720]  這一段經課
[00:02:57.720 --> 00:03:00.120]  我們去思考
[00:03:00.120 --> 00:03:05.400]  如何能夠承受群體性的沉重
[00:03:05.400 --> 00:03:08.320]  以彩雅書44章第6節
[00:03:08.320 --> 00:03:10.680]  耶和華以色列的君
[00:03:10.680 --> 00:03:12.520]  以色列的救贖主
[00:03:12.520 --> 00:03:14.840]  萬君子耶和華如此說
[00:03:14.840 --> 00:03:16.360]  「我是首先的
[00:03:16.360 --> 00:03:18.240]  我是末後的
[00:03:18.240 --> 00:03:21.720]  除我以外再沒有真神
[00:03:21.720 --> 00:03:24.080]  自從我設立古時的民
