
[00:00:00.000 --> 00:00:02.000]  各位電影節目早安
[00:00:02.000 --> 00:00:04.000]  上次我來的時候是十月底
[00:00:04.000 --> 00:00:06.000]  當時有個幻想
[00:00:06.000 --> 00:00:08.000]  現在叫幻想 為什麼現在叫幻想呢
[00:00:08.000 --> 00:00:10.000]  當時有個期望
[00:00:10.000 --> 00:00:12.000]  就是三月來的時候
[00:00:12.000 --> 00:00:14.000]  是一個實體崇拜
[00:00:14.000 --> 00:00:16.000]  現在成為了幻想的原因
[00:00:16.000 --> 00:00:18.000]  就是發覺第四波出現之後
[00:00:18.000 --> 00:00:20.000]  就很緊張
[00:00:20.000 --> 00:00:22.000]  特別最近這兩個星期特別緊張的港島區
[00:00:22.000 --> 00:00:24.000]  因為疫情
[00:00:24.000 --> 00:00:26.000]  似乎是港島區很嚴重
[00:00:26.000 --> 00:00:28.000]  封鎖樓宇檢測
[00:00:28.000 --> 00:00:30.000]  都是港島區多
[00:00:30.000 --> 00:00:32.000]  但是感恩
[00:00:32.000 --> 00:00:34.000]  似乎健身群組
[00:00:34.000 --> 00:00:36.000]  沒有大型的爆發
[00:00:36.000 --> 00:00:38.000]  似乎
[00:00:38.000 --> 00:00:40.000]  不是一些專家預計
[00:00:40.000 --> 00:00:42.000]  有可能有第五波的出現
[00:00:42.000 --> 00:00:44.000]  所以其實
[00:00:44.000 --> 00:00:46.000]  這個疫情很老實地
[00:00:46.000 --> 00:00:48.000]  無論是不是專家
[00:00:48.000 --> 00:00:50.000]  所說的話
[00:00:50.000 --> 00:00:52.000]  都不能作準
[00:00:52.000 --> 00:00:54.000]  原因就是無法預計
[00:00:54.000 --> 00:00:56.000]  無法預計
[00:00:56.000 --> 00:00:58.000]  因為有事又沒事
[00:00:58.000 --> 00:01:00.000]  這個病毒都是
[00:01:00.000 --> 00:01:02.000]  有一個專家很早
[00:01:02.000 --> 00:01:04.000]  已經說這個病毒
[00:01:04.000 --> 00:01:06.000]  他用了兩個字形容
[00:01:06.000 --> 00:01:08.000]  很古惑
[00:01:08.000 --> 00:01:10.000]  當時我們不太明白這個病毒為什麼叫古惑
[00:01:10.000 --> 00:01:12.000]  現在就越來越清楚
[00:01:12.000 --> 00:01:14.000]  我們面對這個病毒的時候
[00:01:14.000 --> 00:01:16.000]  確實人類真是需要學習
[00:01:16.000 --> 00:01:18.000]  一種謙卑
[00:01:18.000 --> 00:01:20.000]  因為無論你現在在世界各地
[00:01:20.000 --> 00:01:22.000]  看這個直播都好
[00:01:22.000 --> 00:01:24.000]  你要知道
[00:01:24.000 --> 00:01:26.000]  這麼有智慧的人
[00:01:26.000 --> 00:01:28.000]  我們可以上到火星
