
[00:00:00.000 --> 00:00:01.700]  去年母親節崇拜的時候
[00:00:01.700 --> 00:00:05.800]  曾經跟大家分享了一位母親的故事
[00:00:05.800 --> 00:00:07.400]  她叫做薩羅米
[00:00:07.400 --> 00:00:09.300]  今天雖然不是母親節
[00:00:09.300 --> 00:00:10.400]  但下星期是
[00:00:10.400 --> 00:00:15.600]  所以我選了聖經一位婦女的事跡跟大家分享
[00:00:15.600 --> 00:00:18.600]  她叫做「莫大拉的瑪利亞」
[00:00:18.600 --> 00:00:20.900]  聖經沒有記載她是一位媽媽
[00:00:20.900 --> 00:00:23.300]  但她經常跟薩羅米
[00:00:23.300 --> 00:00:26.100]  跟耶穌的母親瑪利亞在一起
[00:00:26.100 --> 00:00:28.000]  近期有一套電影
[00:00:28.000 --> 00:00:32.000]  以「莫大拉的瑪利亞」做劇名
[00:00:32.000 --> 00:00:34.800]  甚至當然是以它做題材
[00:00:34.800 --> 00:00:38.500]  另一個譯名叫做「耶穌的女門徒」
[00:00:38.500 --> 00:00:41.000]  其中談論她的身世
[00:00:41.000 --> 00:00:43.200]  和她跟耶穌的關係
[00:00:43.200 --> 00:00:45.300]  當然因為是一套電影
[00:00:45.300 --> 00:00:47.500]  所以有些劇情有些細節
[00:00:47.500 --> 00:00:49.000]  跟聖經很不同
[00:00:49.000 --> 00:00:50.600]  我們要看的時候
[00:00:50.600 --> 00:00:54.000]  就可以看看聖經其實是怎樣說的
[00:00:54.000 --> 00:00:56.600]  「莫大拉的瑪利亞」
[00:00:56.600 --> 00:01:01.000]  和當時很多婦女一起做什麼呢?
[00:01:01.000 --> 00:01:05.400]  她們是一群默默跟隨著耶穌的婦女
[00:01:05.400 --> 00:01:07.300]  當耶穌被釘在十字架上
[00:01:07.300 --> 00:01:12.200]  馬可芳記載有一群婦女一直在看著
[00:01:12.200 --> 00:01:15.300]  一直看著耶穌被釘十字架
[00:01:15.300 --> 00:01:19.300]  馬可芳第十五章三十九節至四十一節
[00:01:19.300 --> 00:01:20.700]  耶穌大聲喊叫
[00:01:20.700 --> 00:01:21.700]  氣就斷了
[00:01:21.700 --> 00:01:22.800]  三十七節、三十八節
[00:01:22.800 --> 00:01:25.800]  然後電裡的萬子就從上到下
[00:01:25.800 --> 00:01:27.400]  列為兩半,三十九節
[00:01:27.400 --> 00:01:29.100]  對面站著的伯夫長
[00:01:29.100 --> 00:01:31.200]  看見耶穌喊叫斷氣
[00:01:31.200 --> 00:01:33.600]  就說這個人真是上帝的兒子
[00:01:33.600 --> 00:01:36.000]  然後還有一些婦女遠遠地觀看
[00:01:36.000 --> 00:01:38.900]  內中有「莫大拉的瑪利亞」
