
[00:00:00.000 --> 00:00:03.200]  (主持人:請你到左邊右邊看一看,今天很開心見到你)
[00:00:03.200 --> 00:00:13.500]  (主持人:我們今天會進入到路加坊第九章的整段經文,我們會提及到門徒成長的經歷)
[00:00:13.500 --> 00:00:24.400]  (主持人:我們再說重溫第八章裏面,是四至二十一節講如何聆聽,然後二十二至五十六節講信心的學堂)
[00:00:24.400 --> 00:00:38.400]  (主持人:整個第八章為的是要鋪陳在第九章一個很重要的結果,就是第九章一到六節我們要講的就是門徒的訓練最終是要達至到去傳呼音的工作)
[00:00:38.400 --> 00:00:47.400]  (主持人:耶穌就差派了十二個門徒出去傳呼音,然後很奇怪的很有趣的,你看路加坊第十章一到十二節,耶穌又再差派七十個人出去)
[00:00:47.400 --> 00:00:59.900]  (主持人:我們再說,路加坊如果每一段經文,每一個歷史,我們例如說耶穌平靜風浪,我們只是抽了一段經文出來講解,是很容易的)
[00:00:59.900 --> 00:01:06.400]  (主持人:今天我們抽了一段經文出來講解,耶穌五餅而餵飽五千人,也是很容易的)
[00:01:06.400 --> 00:01:12.200]  (主持人:耶穌醫治患了血漏病十二年的血漏婦人,也是很容易的)
[00:01:12.200 --> 00:01:29.900]  (主持人:但問題我們要問的是,究竟路加坊將這些好像沒什麼關係的事蹟放在一起的時候,路加坊是不是只是關心事蹟的前後次序而沒有一個主題呢?)
[00:01:29.900 --> 00:01:39.900]  (主持人:還是說如果有的話,我們似乎看起來那些歷史的片段是很零碎的,有一點感覺就是東拉西扯的感覺)
[00:01:39.900 --> 00:01:48.900]  (主持人:我們怎樣理解整個路加坊裡面我們要看得穿、看得透的究竟是什麼呢?一會兒我們要處理這個問題)
[00:01:48.900 --> 00:01:53.900]  (主持人:我們看看路加坊第九章一到六節,請你打開聖經,不然的話你不知道我們在講什麼)
[00:01:53.900 --> 00:02:01.400]  (主持人:在第九章第一節六節裡面,耶穌就差派了十二個門徒出去,請留意,在第九章一節之前發生什麼事?)
[00:02:01.400 --> 00:02:08.400]  (主持人:我再講,就是發生了教導他們如何聆聽,然後他們有一個信心的學堂,我們學會了什麼叫信心)
[00:02:08.400 --> 00:02:14.400]  (主持人:這兩件事是一個基礎,基於這個基礎,他們被差派出去,差派出去做什麼呢?)
[00:02:14.400 --> 00:02:20.400]  (主持人:在第一節裡面,就求他們能力權柄,制服一隻鬼,醫治個人的病,請留意這兩件事情)
[00:02:20.400 --> 00:02:28.900]  (主持人:第一,趕鬼不是恩賜,趕鬼是權柄,同理解,趕鬼是權柄)
[00:02:28.900 --> 00:02:37.900]  (主持人:耶穌將權柄給這幫門徒出去,能夠制服一隻鬼,以及在原文裡面說不是醫治疾病這麼簡單)
[00:02:37.900 --> 00:02:44.400]  (主持人:是要他們有權柄去就座一切的疾病,很不一樣的,醫治和就座不一樣)
[00:02:44.400 --> 00:02:52.400]  (主持人:如果這樣的話,你看看六節經文裡面,三次提到醫病,一次提到趕鬼)
[00:02:52.400 --> 00:02:59.400]  (主持人:就是門徒出去這次的任務,除了是宣講神的角度之外,第二件事是醫病)
[00:02:59.400 --> 00:03:06.400]  (主持人:不要忘記,無論是趕鬼,無論是醫病,都需要信心,當然宣講上帝的角度都需要信心)
[00:03:06.400 --> 00:03:12.400]  (主持人:如果一個人站在台上,或者對群眾宣講神的角度沒有信心的話,他都很難宣講出來,對嗎?)
[00:03:12.400 --> 00:03:17.900]  (主持人:所以前面第八章裡面是非常重要,如果沒有第八章,門徒被插派出去的話)
[00:03:17.900 --> 00:03:23.400]  (主持人:他就是沒有學過功夫走出去玩散打,一定會被人打倒的,情況一樣)
[00:03:23.400 --> 00:03:28.400]  (主持人:我們看到第二件事,就是插他們去宣傳上帝的角度醫治病人)
[00:03:28.400 --> 00:03:37.900]  (主持人:留意,我再說,今天我們在浸信會,浸信會被稱為方派的支流)
[00:03:37.900 --> 00:03:40.900]  (主持人:當然在香港浸信會是最大的,以人數來計算)
[00:03:40.900 --> 00:03:44.900]  (主持人:但是我們方派只是做了耶穌的三分之一的工作)
[00:03:44.900 --> 00:03:52.900]  (主持人:耶穌今天教導門徒的,二千年前教導門徒的,今天方派所做的只是做了三分之一的工作)
[00:03:52.900 --> 00:03:57.900]  (主持人:當我們做了其他的兩樣,就會被標籤為靈因派,很奇怪的)
[00:03:57.900 --> 00:04:00.900]  (主持人:如果這樣的話,耶穌是靈因派來的,很抱歉)
[00:04:00.900 --> 00:04:02.900]  (主持人:耶穌去猜猜門徒出去做什麼事?)
[00:04:02.900 --> 00:04:08.900]  (主持人:去趕鬼,去醫病,去宣廣神的角度)
[00:04:08.900 --> 00:04:13.900]  (主持人:但是今天我們方派只是宣廣神的角度,而忽略了其他兩樣東西)
[00:04:13.900 --> 00:04:18.900]  (主持人:當然了,為什麼要憑信心?醫病和趕鬼都要有信心的)
[00:04:18.900 --> 00:04:22.900]  (主持人:但是有一樣更加重要的,耶穌猜猜門徒出去做什麼事呢?)
[00:04:22.900 --> 00:04:26.900]  (主持人:如果英文的翻譯,可以稱為五毛的人士)
[00:04:26.900 --> 00:04:28.900]  (主持人:五毛的人士是沒有的)
[00:04:28.900 --> 00:04:31.900]  (主持人:你們行路的時候,不如帶拐杖)
[00:04:31.900 --> 00:04:36.900]  (主持人:拐杖用來做什麼呢?除了行遠路,用來幫助你,有些力之外)
[00:04:36.900 --> 00:04:39.900]  (主持人:最重要不是因為年紀大需要拐杖)
[00:04:39.900 --> 00:04:41.900]  (主持人:請不要留意在猶太人裡面)
[00:04:41.900 --> 00:04:46.900]  (主持人:因為他們要經過一些地方,隨時有一些動物會走出來)
[00:04:46.900 --> 00:04:48.900]  (主持人:那些動物包括獅子、老虎)
[00:04:48.900 --> 00:04:51.900]  (主持人:那拐杖有什麼用呢?只是嚇一嚇而已)
[00:04:51.900 --> 00:04:53.900]  (主持人:嚇一嚇而已)
[00:04:53.900 --> 00:04:56.900]  (主持人:因為獅子撲過來,那拐杖不會打死牠)
[00:04:56.900 --> 00:04:58.900]  (主持人:如果可以的話,那你的功夫就很了得)
[00:04:58.900 --> 00:05:02.900]  (主持人:但是起碼有一支拐杖旁身是很重要的)
[00:05:02.900 --> 00:05:06.900]  (主持人:基本上萬一遇到一些凶殘的動物)
[00:05:06.900 --> 00:05:08.900]  (主持人:你連保護自己的能力都沒有)
[00:05:08.900 --> 00:05:10.900]  (主持人:不可以帶口袋)
[00:05:10.900 --> 00:05:13.900]  (主持人:你不可以帶口袋,口袋裡面任何的物件都沒有)
[00:05:13.900 --> 00:05:18.900]  (主持人:不可以帶食物,不可以帶錢,不可以帶多兩件衣服)
[00:05:18.900 --> 00:05:21.900]  (主持人:你只能穿一套衣服)
[00:05:21.900 --> 00:05:23.900]  (主持人:鄧小平,就是這樣)
[00:05:23.900 --> 00:05:26.900]  (主持人:你讀完之後是沒有什麼感覺的)
[00:05:26.900 --> 00:05:28.900]  (主持人:我這樣說你可能有一點感覺)
[00:05:28.900 --> 00:05:30.900]  (主持人:就是今天我們完了崇拜之後)
[00:05:30.900 --> 00:05:31.900]  (主持人:我現在差派你出來)
[00:05:31.900 --> 00:05:32.900]  (主持人:我現在為你祈禱)
[00:05:32.900 --> 00:05:33.900]  (主持人:就給你權柄)
[00:05:33.900 --> 00:05:35.900]  (主持人:你可以制服鬼和醫病的能力)
[00:05:35.900 --> 00:05:38.900]  (主持人:現在你就要去上水)
[00:05:38.900 --> 00:05:39.900]  (主持人:那去上水怎麼去呢?)
[00:05:39.900 --> 00:05:42.900]  (主持人:第一,你不可以帶任何的口袋)
[00:05:42.900 --> 00:05:44.900]  (主持人:不可以帶多一件衣服)
[00:05:44.900 --> 00:05:45.900]  (主持人:不可以帶錢)
[00:05:45.900 --> 00:05:46.900]  (主持人:不可以帶錢包)
[00:05:46.900 --> 00:05:51.900]  (主持人:不可以帶八達通卡,不可以帶Visa Card,不可以帶電話)
[00:05:51.900 --> 00:05:53.900]  (主持人:那怎樣是目的?)
[00:05:53.900 --> 00:05:55.900]  (主持人:再去上水)
[00:05:55.900 --> 00:05:56.900]  (主持人:那怎麼去?)
[00:05:56.900 --> 00:05:58.900]  (主持人:最基本就是走去的)
[00:05:58.900 --> 00:06:00.900]  (主持人:你什麼都沒有,你想清楚)
[00:06:00.900 --> 00:06:02.900]  (主持人:沒有錢,沒有錢包,沒有零錢)
[00:06:02.900 --> 00:06:04.900]  (主持人:沒有八達通卡,沒有Visa Card,沒有電話)
[00:06:04.900 --> 00:06:06.900]  (主持人:什麼都沒有,什麼都沒有)
[00:06:06.900 --> 00:06:09.900]  (主持人:乾糧不准帶,什麼都不准帶)
[00:06:09.900 --> 00:06:11.900]  (主持人:就是什麼都沒有)
[00:06:11.900 --> 00:06:14.900]  (主持人:是隻身一人)
