
[00:00:00.000 --> 00:00:06.700]  我宣告神是守約施慈愛的神
[00:00:06.700 --> 00:00:12.000]  這是我們二零二三年的教會的意象
[00:00:12.000 --> 00:00:14.000]  目標跟方向
[00:00:14.000 --> 00:00:15.800]  我宣告
[00:00:15.800 --> 00:00:17.800]  所以每一個禮拜
[00:00:17.800 --> 00:00:20.100]  每一個第一個主日
[00:00:20.100 --> 00:00:22.500]  我會分享我宣告
[00:00:22.500 --> 00:00:26.400]  今天是神是守約施慈愛的神
[00:00:26.400 --> 00:00:28.100]  說不定下一次
[00:00:28.100 --> 00:00:31.400]  就是我宣告神是一致的神
[00:00:31.400 --> 00:00:33.600]  再下一次是什麼
[00:00:33.600 --> 00:00:39.000]  反正每一次都要來做一個宣告
[00:00:39.000 --> 00:00:40.900]  我會來跟各位講一下
[00:00:40.900 --> 00:00:44.900]  二零二三年新年
[00:00:44.900 --> 00:00:49.800]  我真的要來跟各位來討論一下
[00:00:49.800 --> 00:00:53.400]  守約施慈愛的神到底是什麼意思
[00:00:53.400 --> 00:00:56.000]  祂的背景是什麼樣
[00:00:56.000 --> 00:01:04.300]  聖經上面大概有七次講到神是守約施慈愛的神
[00:01:04.300 --> 00:01:05.400]  當然了
[00:01:05.400 --> 00:01:08.300]  我們每一個人都有自己的
[00:01:08.300 --> 00:01:12.200]  也有從神來的夢想
[00:01:12.200 --> 00:01:13.800]  還有我們的目標
[00:01:13.800 --> 00:01:17.300]  還有神的應許
[00:01:17.300 --> 00:01:20.600]  但是有的時候你會不會感覺到
[00:01:20.600 --> 00:01:23.900]  好像應許沒有成就
[00:01:23.900 --> 00:01:27.200]  你會不會感覺到心裡面不踏實
[00:01:27.200 --> 00:01:30.200]  或者是開始慌張了
[00:01:30.200 --> 00:01:33.600]  所以神祂再三的保證
[00:01:33.600 --> 00:01:37.600]  祂不會離棄你的
[00:01:37.600 --> 00:01:39.000]  神就跟我們立約
[00:01:39.000 --> 00:01:40.400]  跟我們守約
[00:01:40.400 --> 00:01:43.400]  祂也跟我們施慈愛
[00:01:43.400 --> 00:01:45.700]  立約容易
[00:01:45.700 --> 00:01:48.800]  守約就難了
[00:01:48.800 --> 00:01:52.200]  你去看神跟我們人立的約
[00:01:52.200 --> 00:01:57.100]  幾乎每一個都被打破了
[00:01:57.100 --> 00:02:00.600]  所以最後神要來施慈愛
[00:02:00.600 --> 00:02:03.600]  不然我們真是不好過
[00:02:03.600 --> 00:02:05.200]  最後
[00:02:05.200 --> 00:02:08.300]  來跟各位來一個結論是說
[00:02:08.300 --> 00:02:10.800]  萬有本於祂
[00:02:10.800 --> 00:02:12.000]  依靠祂
[00:02:12.000 --> 00:02:14.600]  歸於祂
[00:02:14.600 --> 00:02:16.100]  好的
[00:02:16.100 --> 00:02:19.600]  二零二三新年主日
[00:02:19.600 --> 00:02:21.400]  New Year
[00:02:21.400 --> 00:02:23.400]  大家都喜歡新
[00:02:23.400 --> 00:02:28.600]  我就記得以前過新年穿新衣戴新帽
[00:02:28.600 --> 00:02:32.500]  如果說你是新婚
[00:02:32.500 --> 00:02:35.200]  也是煥然一新
[00:02:35.200 --> 00:02:37.400]  住一個新房子
[00:02:37.400 --> 00:02:39.200]  生個寶寶
[00:02:39.200 --> 00:02:42.200]  或者是新的工作
[00:02:42.200 --> 00:02:44.200]  開新車
[00:02:44.200 --> 00:02:46.000]  甚至於你新的意向
[00:02:46.000 --> 00:02:48.000]  新的希望
[00:02:48.000 --> 00:02:51.200]  神給你一個新的心靈
[00:02:51.200 --> 00:02:53.300]  還有一個新的生命
[00:02:53.300 --> 00:02:55.200]  都很棒
[00:02:55.200 --> 00:02:57.200]  是不是
[00:02:57.200 --> 00:02:59.000]  我記得有一次
[00:02:59.000 --> 00:03:02.400]  就是我來西雅圖
[00:03:02.400 --> 00:03:07.900]  大概是也有二十年了
[00:03:07.900 --> 00:03:09.700]  我九五年來的
[00:03:09.700 --> 00:03:13.200]  我就是來AT&T Wireless
[00:03:13.200 --> 00:03:15.800]  找了這邊的工作
[00:03:15.800 --> 00:03:18.700]  那麼到了這個新公司
[00:03:18.700 --> 00:03:22.200]  他給我三個月的叫做
[00:03:22.200 --> 00:03:26.800]  Moving的一些優待
[00:03:26.800 --> 00:03:28.100]  給我住旅館
[00:03:28.100 --> 00:03:30.000]  然後吃喝
[00:03:30.000 --> 00:03:31.400]  還有租車子
[00:03:31.400 --> 00:03:33.100]  都是算工帳
[00:03:33.100 --> 00:03:35.900]  那三個月過得好舒服
[00:03:35.900 --> 00:03:38.200]  那麼太太家裡面都不用做飯
[00:03:38.200 --> 00:03:41.500]  就每天就旅館裡面出去吃
[00:03:41.500 --> 00:03:45.000]  車子開了等等
[00:03:45.000 --> 00:03:47.700]  這都是一個新工作帶來
[00:03:47.700 --> 00:03:50.800]  那新寶寶也帶來許多的快樂
[00:03:50.800 --> 00:03:52.000]  是不是
[00:03:52.000 --> 00:03:55.300]  可惜我們今天沒有來
[00:03:55.300 --> 00:03:58.400]  他也在期待有一個新寶寶
[00:03:58.400 --> 00:03:59.300]  是不是
[00:03:59.300 --> 00:04:01.800]  感謝神讚美神
[00:04:01.800 --> 00:04:04.200]  所以那個新年主日
[00:04:04.200 --> 00:04:07.800]  真的是大家都很興奮
