
[00:00:00.000 --> 00:00:03.000]  好,各位explorer早晨
[00:00:03.000 --> 00:00:05.000]  各位mentor早晨
[00:00:05.000 --> 00:00:08.000]  而網上的弟兄姊妹都早晨
[00:00:08.000 --> 00:00:11.000]  見到有幾位在網上join我們
[00:00:11.000 --> 00:00:15.000]  亦都好想祝各在座的每一個母親
[00:00:15.000 --> 00:00:18.000]  包括淑齡媽媽
[00:00:18.000 --> 00:00:20.000]  祝母親節快樂
[00:00:20.000 --> 00:00:23.000]  我們轉身看一看
[00:00:23.000 --> 00:00:25.000]  一些淑齡媽媽
[00:00:25.000 --> 00:00:27.000]  以及我們的母親
[00:00:27.000 --> 00:00:29.000]  祝母親節快樂
[00:00:29.000 --> 00:00:31.000]  給點掌聲
[00:00:31.000 --> 00:00:34.000]  剛巧今天vn帶我們
[00:00:34.000 --> 00:00:38.000]  erica帶我們去唱了幾首關於愛的詩歌
[00:00:38.000 --> 00:00:40.000]  我覺得都幾貼今天的主題
[00:00:40.000 --> 00:00:42.000]  關於在母親節的日子當中
[00:00:42.000 --> 00:00:44.000]  去思想上帝的愛
[00:00:44.000 --> 00:00:47.000]  母親都是上帝賜予給我們的
[00:00:47.000 --> 00:00:48.000]  我相信,是不是?
[00:00:48.000 --> 00:00:49.000]  當然父親也是
[00:00:49.000 --> 00:00:52.000]  不過我們下個月才會到父親節
[00:00:52.000 --> 00:00:54.000]  在講到開始的時候
[00:00:54.000 --> 00:00:57.000]  今天還有一個特別一點的題目
[00:00:57.000 --> 00:01:00.000]  講到開始的時候我想問問大家
[00:01:00.000 --> 00:01:01.000]  做一個小小的訪問
[00:01:01.000 --> 00:01:03.000]  或者當一個熱身
[00:01:03.000 --> 00:01:06.000]  到時在screen會有兩邊
[00:01:06.000 --> 00:01:08.000]  有左邊和右邊有兩幅圖
[00:01:08.000 --> 00:01:11.000]  你只需要選擇左邊和右邊
[00:01:11.000 --> 00:01:15.000]  如果可以選擇去看一套戲
[00:01:15.000 --> 00:01:19.000]  你究竟會選擇左邊還是右邊呢?
[00:01:19.000 --> 00:01:23.000]  你不要說why not both
[00:01:23.000 --> 00:01:25.000]  你要先選擇看一套
[00:01:25.000 --> 00:01:28.000]  究竟你會看左邊的那個先舉手
[00:01:28.000 --> 00:01:30.000]  一個是,ok,大家看不到
[00:01:30.000 --> 00:01:32.000]  一個是Dr. Strange,一個是Batman
[00:01:32.000 --> 00:01:34.000]  一個是Dr. Strange,一個是Batman
[00:01:34.000 --> 00:01:38.000]  Dr. Strange的舉手
[00:01:38.000 --> 00:01:41.000]  好,放手
[00:01:41.000 --> 00:01:46.000]  然後另一個就是Batman
