
[00:00:00.000 --> 00:00:11.000]  在上個世紀二十年代,中國可以說是處於一個內憂外患的年代。
[00:00:11.000 --> 00:00:21.000]  當時有不同的革命勢力,有不同形式的社會運動。
[00:00:21.000 --> 00:00:29.000]  而其中一個走在最前線革命運動的就是毛澤東。
[00:00:29.000 --> 00:00:39.000]  在一九二五年,當時毛澤東是三十二歲,所謂正當盛年。
[00:00:39.000 --> 00:00:52.000]  有一次他路經長沙,站在湘江的岸邊,面向蒼茫大地,
[00:00:52.000 --> 00:01:00.000]  面向遼闊的湘江,有感而發。
[00:01:00.000 --> 00:01:12.000]  他問了一個生命相當重要的問題,他問蒼茫大地誰主沉浮。
[00:01:12.000 --> 00:01:20.000]  沒有一個人可以肯定當時他問這個問題究竟是實際上的一個問題,
[00:01:20.000 --> 00:01:24.000]  還是向天地一個挑戰。
[00:01:24.000 --> 00:01:32.000]  不過無論如何,這個問題可以說是一個劃時代的問題。
[00:01:32.000 --> 00:01:42.000]  你說究竟大至歷史的興衰,小至個人的成敗得失,
[00:01:42.000 --> 00:01:47.000]  是不是掌握在一個造物主的手裏呢?
[00:01:47.000 --> 00:01:55.000]  還是命運在我手,時勢造英雄呢?
[00:01:55.000 --> 00:01:59.000]  今天的講題是「我是老闆」。
[00:01:59.000 --> 00:02:05.000]  不過聽清楚,這個「我」並不是指你和我,
[00:02:05.000 --> 00:02:09.000]  而是指主耶穌基督。
[00:02:09.000 --> 00:02:16.000]  雖然也許我們當中很多人都想有自己的事業,做自己的老闆。
[00:02:16.000 --> 00:02:25.000]  不過聖經講得很清楚,在生命的層面裏,我們沒有一個人是自己的老闆。
[00:02:25.000 --> 00:02:34.000]  當我們信了耶穌之後,耶穌不單單是我們救主,也是我們生命的主宰。
[00:02:34.000 --> 00:02:38.000]  所以我們叫耶穌是主耶穌基督。
[00:02:38.000 --> 00:02:46.000]  用今天的說話來說,祂就是我們生命的老闆。相信大家都很明白。
[00:02:46.000 --> 00:02:55.000]  不過我們很少問一個問題,當我們認定耶穌是我們生命的主宰的時候,
[00:02:55.000 --> 00:03:02.000]  究竟在日常的生活裏面,對我們有什麼影響呢?
[00:03:02.000 --> 00:03:11.000]  究竟是讓我們的生活更加的輕散,還是更加的沉重呢?
[00:03:11.000 --> 00:03:22.000]  曾經有一個中國人和一個美國人來聊天,他們在討論哪個國家更自由呢?
[00:03:22.000 --> 00:03:32.000]  美國人說,我們的國家很自由,中國人說,何以見得呢?
[00:03:32.000 --> 00:03:40.000]  美國人說,我們美國人可以在白宮前大罵美國總統,沒有問題。
[00:03:40.000 --> 00:03:50.000]  中國人說,哪有什麼特別呢?我們中國人也做得到,美國人就很詫異,真的嗎?
[00:03:50.000 --> 00:04:00.000]  中國人說,沒錯,我們中國人經常在人民大會堂前大罵美國總統。
[00:04:00.000 --> 00:04:08.000]  這個故事告訴我們,哪一個是我們生命的老闆呢?
[00:04:08.000 --> 00:04:12.000]  某種程度上決定了我們今天的言語與行為。
[00:04:12.000 --> 00:04:21.000]  今天我們所讀的經文,記載了一個法利賽人設陷阱來陷害耶穌的故事。
[00:04:21.000 --> 00:04:43.000]  留意聖經所講,在十五節的時候,這個故事講到法利賽人出去商議,也就是說,他們將要說的話是經過商量,經過精心設計的。
[00:04:43.000 --> 00:04:51.000]  可以這麼推斷,他們所說的話是經過設計和推斷的,為了陷害耶穌。
[00:04:51.000 --> 00:04:57.000]  讓我們一起來看看,這究竟是一個怎樣的陷阱。
[00:04:57.000 --> 00:05:10.000]  到了耶穌的時候,他們就說,夫子我知道你是一個誠實人,你也會誠誠實實傳講神的道。
[00:05:10.000 --> 00:05:16.000]  大家千萬不要誤會,這些法利賽人所說的話是為了讚賞耶穌。
[00:05:16.000 --> 00:05:31.000]  其實這些話裡面暗藏殺機,意思就是說,如果主耶穌說你是誠實人,
[00:05:31.000 --> 00:05:43.000]  你就不要像政客那樣跟祂說什麼,你要老老實實直接來回答我們的問題。
[00:05:43.000 --> 00:05:54.000]  然後他們就說,我們也知道你什麼人都不順情面,因為你不看人的外貌。
[00:05:54.000 --> 00:06:03.000]  這句話是什麼意思呢?或者我這樣問大家,當時有什麼人在場呢?
[00:06:03.000 --> 00:06:11.000]  我們看第十六節,聖經記載法利賽人就打發他們的門徒和希律黨的人去見耶穌。
[00:06:11.000 --> 00:06:21.000]  所以我們就要問,為什麼要帶著希律黨的人呢?
[00:06:21.000 --> 00:06:25.000]  而這些所謂希律黨的人又是什麼人呢?
[00:06:25.000 --> 00:06:41.000]  希律是當時羅馬的一個傀儡王,由於希律有猶太人血統,
[00:06:41.000 --> 00:06:57.000]  所以羅馬政府就派他們去管理加利利一帶的地區,希律黨的人就跟隨希律,羅馬政府的人,
[00:06:57.000 --> 00:07:11.000]  法利賽人的門徒代表宗教,希律黨的人代表當時的政權,
[00:07:11.000 --> 00:07:28.000]  所以這兩類人可以說是河水不犯井水,但這次為了剷除耶穌,所以法利賽人就叫希律黨的人一起去。
[00:07:28.000 --> 00:07:39.000]  所以當他們說什麼人你都不順情面,因為你不看外貌的意思就是說,
[00:07:39.000 --> 00:07:51.000]  你不要因為希律的人在這裡,就選擇性地說他們喜歡聽的話。
[00:07:51.000 --> 00:08:02.000]  所以大家看到簡短的幾句話,可以說是老謀深算,將主耶穌逼到一個牆角那裡,
[00:08:02.000 --> 00:08:17.000]  他們的問題就是,我們納粹給凱撒可不可以,凱撒就是當時羅馬的皇帝,
[00:08:17.000 --> 00:08:35.000]  可不可以這個字的原文是是否合法的意思,是否合法這個法字在新約的應用有兩個意思,
[00:08:35.000 --> 00:08:48.000]  這個法可以指羅馬的法律,也可以指到猶太教的律法。
[00:08:48.000 --> 00:08:59.000]  在第五世紀,基督教有一個很重要的思想家奧古斯丁,
[00:08:59.000 --> 00:09:06.000]  他寫了一本書叫做《上帝之城》,大概裡面的內容就是說,
[00:09:06.000 --> 00:09:16.000]  當我們人類始終犯罪之後,世間就出現了兩個世界,
[00:09:16.000 --> 00:09:26.000]  分別就是地上之城和上帝之城,一個看得見,一個看不見。
[00:09:26.000 --> 00:09:34.000]  我們今天每一個人都是活在某一個政權體制之下,
[00:09:34.000 --> 00:09:40.000]  這個就是奧古斯丁所講的地上之城。
[00:09:40.000 --> 00:09:49.000]  而當我們成為基督徒之後,我們就自然成為神國裡面的一份子,
[00:09:49.000 --> 00:09:57.000]  換言之,我們不單單是在地上的權勢底下生活,
[00:09:57.000 --> 00:10:03.000]  作為基督徒,我們都是在神的國度裡面生活。
[00:10:03.000 --> 00:10:11.000]  當他們問耶穌納粹及凱撒可不可以的時候,
[00:10:11.000 --> 00:10:23.000]  其實這個問題就是問主耶穌你是願意臣服在地上的政權還是天上的政權。
[00:10:23.000 --> 00:10:28.000]  歷史學家在這裡提出一個觀點,
[00:10:28.000 --> 00:10:38.000]  他說當時的猶太人未必不想納粹給羅馬政府,
[00:10:38.000 --> 00:10:46.000]  而他們不願意用羅馬的錢幣來納粹。
[00:10:46.000 --> 00:10:53.000]  我們看看耶穌時代的羅馬錢幣是怎麼樣的。
[00:10:53.000 --> 00:11:00.000]  當時在耶穌年代的凱撒,就是提比流,
[00:11:00.000 --> 00:11:08.000]  在錢幣的正面刻著提比流的像,
[00:11:08.000 --> 00:11:20.000]  上面刻著凱撒提比流神聖的奧古士都的顯赫兒子,
[00:11:20.000 --> 00:11:31.000]  而另一面刻著坐著的女性,上面寫著大祭司,
[00:11:31.000 --> 00:11:40.000]  所以我們可以說坐著的女性大致上是當時羅馬拜的女神。
[00:11:40.000 --> 00:11:54.000]  看完這個像之後,我大致明白為什麼當時的猶太人不太願意用羅馬的錢幣納粹。
[00:11:54.000 --> 00:12:00.000]  看完這個之後,我們大概明白為什麼當時的猶太人不太願意用這種錢幣來納粹。
[00:12:00.000 --> 00:12:09.000]  因為用了這種錢幣的話,或多或少他們在承認凱撒就是神,
[00:12:09.000 --> 00:12:18.000]  也間接承認當時羅馬所拜的女神就是他們的大祭司,
[00:12:18.000 --> 00:12:29.000]  也都是這個原因,當時耶路撒冷的聖殿不收羅馬的錢幣,
[00:12:29.000 --> 00:12:34.000]  如果當時的猶太人去到聖殿要奉獻的時候,
[00:12:34.000 --> 00:12:40.000]  他們首先要把羅馬的錢幣兌換為希伯來的錢幣,然後才可以作奉獻。
[00:12:40.000 --> 00:12:49.000]  他們首先要把羅馬的錢幣兌換成另外猶太人的錢幣,才能夠奉獻。
[00:12:49.000 --> 00:12:57.000]  不過無論如何,他們一天在羅馬政府的政權底下,他們都要納粹。
[00:12:57.000 --> 00:13:00.000]  他們一天在羅馬政權底下,他們都得納粹。
[00:13:00.000 --> 00:13:04.000]  很明顯主耶穌被問的這個問題,很明顯是一個陷阱。
[00:13:04.000 --> 00:13:06.000]  很明顯這個問題是一個陷阱。
[00:13:06.000 --> 00:13:13.000]  因為這個問題被問的時候,當時是有法利塞人和希特勒黨的人在場。
[00:13:13.000 --> 00:13:17.000]  因為問這個問題的時候,同時有法利塞人和希特勒黨的人同時在場。
[00:13:17.000 --> 00:13:23.000]  如果主耶穌要納的時候,就得罪了當時猶太教的保守派。
