
[00:00:00.000 --> 00:00:06.000]  (主持人:弟兄姊妹平安)
[00:00:06.000 --> 00:00:13.000]  (主持人:每個禮拜我們來到這個禮堂裏面)
[00:00:13.000 --> 00:00:17.000]  (主持人:我想有一段時間)
[00:00:17.000 --> 00:00:24.000]  (主持人:你還記不記得過去有些什麼感受呢?)
[00:00:24.000 --> 00:00:27.000]  (主持人:在過去這幾個禮拜)
[00:00:27.000 --> 00:00:30.000]  (主持人:你的感受跟以前的感受有沒有分別呢?)
[00:00:30.000 --> 00:00:34.000]  (主持人:你的感受跟以前的感受有什麼分別呢?)
[00:00:34.000 --> 00:00:38.000]  (主持人:如果今天站在這裏的人)
[00:00:38.000 --> 00:00:44.000]  (主持人:不是這位外來的講員的話)
[00:00:44.000 --> 00:00:47.000]  (主持人:而是耶穌基督的話)
[00:00:47.000 --> 00:00:53.000]  (主持人:我想你一定會有另外一番的感受)
[00:00:53.000 --> 00:00:56.000]  (主持人:是什麼感受呢?)
[00:00:56.000 --> 00:01:01.000]  (主持人:如果照今天的經文所說)
[00:01:01.000 --> 00:01:06.000]  (主持人:一旦耶穌基督出現在我們中間)
[00:01:06.000 --> 00:01:18.000]  (主持人:我們一定會感受到主耶穌與人同在的那種衝擊)
[00:01:18.000 --> 00:01:28.000]  (主持人:而那種衝擊我們可以用另外兩個字來形容)
[00:01:28.000 --> 00:01:31.000]  (主持人:就是權柄)
[00:01:31.000 --> 00:01:37.000]  (主持人:我們在那裏看到耶穌的權柄呢?)
[00:01:37.000 --> 00:01:45.000]  (主持人:我們從祂教訓人的那個動作我們可以看見)
[00:01:45.000 --> 00:01:50.000]  (主持人:我不知道在此之前)
[00:01:50.000 --> 00:01:53.000]  (主持人:在今天之前)
[00:01:53.000 --> 00:01:57.000]  (主持人:大家有沒有留意到)
[00:01:57.000 --> 00:02:00.000]  (主持人:在馬可福音裏面)
[00:02:00.000 --> 00:02:04.000]  (主持人:被稱為夫子的)
[00:02:04.000 --> 00:02:07.000]  (主持人:就是老師的意思)
[00:02:07.000 --> 00:02:09.000]  (主持人:只有一個人)
[00:02:09.000 --> 00:02:12.000]  (主持人:那個就是我們的主耶穌基督)
[00:02:12.000 --> 00:02:15.000]  (主持人:他就是那一位我們的主耶穌基督)
[00:02:15.000 --> 00:02:20.000]  (主持人:其實教導這個動詞)
[00:02:20.000 --> 00:02:22.000]  (主持人:大部分的時間)
[00:02:22.000 --> 00:02:25.000]  (主持人:都是用來形容耶穌的動作)
[00:02:25.000 --> 00:02:32.000]  (主持人:當然我們在福音書裏面)
[00:02:32.000 --> 00:02:36.000]  (主持人:我們除了看見耶穌基督)
[00:02:36.000 --> 00:02:42.000]  (主持人:我們還看見法利賽人和文士都有做教導工作)
[00:02:42.000 --> 00:02:44.000]  (主持人:我們還可以看到法利賽人和文士)
[00:02:44.000 --> 00:02:46.000]  (主持人:他們都要做教導的動作)
[00:02:46.000 --> 00:02:48.000]  (主持人:但是)
[00:02:48.000 --> 00:02:54.000]  (主持人:馬可沒有稱呼他們做夫子)
[00:02:54.000 --> 00:02:58.000]  (主持人:沒有稱呼他們做老師)
[00:02:58.000 --> 00:03:00.000]  (主持人:為什麼這樣呢)
[00:03:00.000 --> 00:03:03.000]  (主持人:因為他們不配)
[00:03:03.000 --> 00:03:06.000]  (主持人:他們不配)
[00:03:06.000 --> 00:03:10.000]  (主持人:因為他們所教導的)
[00:03:10.000 --> 00:03:14.000]  (主持人:只不過是人的吩咐)
[00:03:14.000 --> 00:03:17.000]  (主持人:不是神的信義)
[00:03:17.000 --> 00:03:19.000]  (主持人:他們不配)
[00:03:19.000 --> 00:03:24.000]  (主持人:是因為他們一言一行)
[00:03:24.000 --> 00:03:27.000]  (主持人:並不一致)
[00:03:27.000 --> 00:03:30.000]  (主持人:他們教的是一套)
[00:03:30.000 --> 00:03:33.000]  (主持人:做的是另一套)
[00:03:33.000 --> 00:03:37.000]  (主持人:他們講的是要敬畏神)
[00:03:37.000 --> 00:03:39.000]  (主持人:但是他們實際做的)
[00:03:39.000 --> 00:03:44.000]  (主持人:是看著人的反應)
[00:03:44.000 --> 00:03:46.000]  (主持人:他們關心的是)
[00:03:46.000 --> 00:03:48.000]  (主持人:他們在人心目中的地位)
