
[00:00:00.000 --> 00:00:02.000]  丙智梅,平安。
[00:00:02.000 --> 00:00:09.000]  論語有一句話,道不同,不相為謀。
[00:00:09.000 --> 00:00:15.000]  丙智梅,你對於孔子這句話,你有什麼領受呢?
[00:00:15.000 --> 00:00:17.000]  或者你同不同意呢?
[00:00:17.000 --> 00:00:21.000]  事實上都有些地方是覺得是真的。
[00:00:21.000 --> 00:00:25.000]  我們沒有辦法,如果我打算去韓國旅行,
[00:00:25.000 --> 00:00:31.000]  我一定會找一班打算去韓國的人,去商討行程。
[00:00:31.000 --> 00:00:35.000]  我們不會找一個打算去日本旅行的團友,
[00:00:35.000 --> 00:00:37.000]  去商討日本的行程。
[00:00:37.000 --> 00:00:44.000]  但從神的創造,神的心意,和現實,
[00:00:44.000 --> 00:00:48.000]  我們去思想這句話,又不是完全對的。
[00:00:48.000 --> 00:00:51.000]  就如我們今天直接所選到的經文,
[00:00:51.000 --> 00:00:55.000]  《小能傳》第十五章三十五至四十一節,
[00:00:55.000 --> 00:00:58.000]  十六章一至五節的經文。
[00:00:58.000 --> 00:01:02.000]  嘗試一下稍為了解這句話。
[00:01:02.000 --> 00:01:06.000]  在未看這段經文之前,讓我們回顧一點。
[00:01:06.000 --> 00:01:09.000]  《小能傳》第九章我們知道,
[00:01:09.000 --> 00:01:15.000]  巴拿巴和保羅被教會差遣,來做孫子的工作。
[00:01:16.000 --> 00:01:22.000]  其實保羅他只能夠在安徒教會裏面有一個份量,
[00:01:22.000 --> 00:01:24.000]  能夠這次被差出去,
[00:01:24.000 --> 00:01:27.000]  全因為巴拿巴的賞識。
[00:01:27.000 --> 00:01:29.000]  簡單來說,經文說,
[00:01:29.000 --> 00:01:33.000]  「掃羅到耶路撒冷,想與門徒相交,
[00:01:33.000 --> 00:01:38.000]  他們都怕他(掃羅),不信他是門徒,
[00:01:38.000 --> 00:01:44.000]  唯有巴拿巴接待他,領他見使徒。」
[00:01:45.000 --> 00:01:48.000]  巴拿巴引薦掃羅,後來保羅,
[00:01:48.000 --> 00:01:53.000]  而保羅能夠成為日後一個偉大的宣教士。
