
[00:00:00.000 --> 00:00:02.640]  好 第一節目讓我們在聆聽主導議先
[00:00:02.640 --> 00:00:04.480]  我們一起同心低頭禱告
[00:00:04.480 --> 00:00:07.000]  慈悲父臣多謝你
[00:00:07.000 --> 00:00:09.800]  讓我們能夠再次在你的真理上
[00:00:09.800 --> 00:00:11.680]  啟示的當中
[00:00:11.680 --> 00:00:15.040]  能夠去觸摸到上帝你的心腸
[00:00:15.040 --> 00:00:16.920]  求你夠帶領
[00:00:16.920 --> 00:00:20.160]  讓我們每一個無論是聽的、說的
[00:00:20.160 --> 00:00:24.120]  都能夠同樣在你的啟示當中
[00:00:24.120 --> 00:00:27.800]  能夠準確拿捏你當中的意義
[00:00:28.320 --> 00:00:32.960]  也讓我們能夠在今天的日子裡
[00:00:32.960 --> 00:00:37.600]  能夠將所學到的真理付諸於實行
[00:00:37.600 --> 00:00:40.120]  求你給我們有智慧
[00:00:40.120 --> 00:00:43.000]  在整個聆聽過程當中
[00:00:43.000 --> 00:00:46.720]  實踐的過程裡有聖靈的陪伴
[00:00:46.720 --> 00:00:50.920]  好讓我們能夠將主你的本意活出
[00:00:50.920 --> 00:00:54.080]  而將我們的詩意壓下來
[00:00:54.680 --> 00:00:58.360]  求你帶領好告奉靠主耶穌基督
[00:00:58.360 --> 00:01:00.360]  得聖的名字而求
[00:01:00.360 --> 00:01:01.280]  阿們
[00:01:01.280 --> 00:01:08.120]  雖然一般人都認為自己是很有能力
[00:01:08.120 --> 00:01:10.560]  甚至有些人在這個時代裡
[00:01:10.560 --> 00:01:14.120]  認為自己可以人定聖天
[00:01:14.120 --> 00:01:19.840]  特別科技以及錢財
[00:01:19.840 --> 00:01:24.880]  成為了今天很多人仗賴的人生的基礎
[00:01:24.880 --> 00:01:29.400]  但倘若當你仔細去想一想的時候
[00:01:29.400 --> 00:01:33.120]  在我們人生裡有很多的狀態
[00:01:33.120 --> 00:01:38.840]  其實是出於我們的預料之外的情況
[00:01:38.840 --> 00:01:40.280]  譬如
[00:01:40.280 --> 00:01:42.960]  搭飛機就是一個典型例子
[00:01:42.960 --> 00:01:46.840]  不知道你有沒有想過
