
[00:00:00.000 --> 00:00:03.740]  今晚和大家去看三思匯
[00:00:03.740 --> 00:00:07.900]  我們先看回在《時事記》裏面
[00:00:07.900 --> 00:00:09.900]  給我們看到一個循環
[00:00:09.900 --> 00:00:11.900]  這個循環是很悲哀的
[00:00:11.900 --> 00:00:15.100]  就是他們國中太平
[00:00:15.100 --> 00:00:17.600]  但是接著他們就放蕩了
[00:00:17.600 --> 00:00:20.340]  接著又會失敗了 然後他們犯罪
[00:00:20.340 --> 00:00:22.840]  結果神就融入外邦來統治他們
[00:00:22.840 --> 00:00:24.240]  他們向神來有呼求
[00:00:24.240 --> 00:00:26.460]  神就興起時事來幫他們
[00:00:26.460 --> 00:00:31.680]  我們看看在《時事記》的第二章的第七節裏面
[00:00:31.680 --> 00:00:33.480]  就記載了這件事
[00:00:33.480 --> 00:00:34.680]  我們一起來看看
[00:00:34.680 --> 00:00:36.680]  我請Yvonne跟我們讀出來 好嗎?
[00:00:36.680 --> 00:00:39.660]  約書亞在世和約書亞死後
[00:00:39.660 --> 00:00:43.480]  那些見耶和華為以色列人所行大事的長老
[00:00:43.480 --> 00:00:47.260]  還在的時候 百姓都侍奉耶和華
[00:00:47.260 --> 00:00:48.960]  你聽不聽得到?很寶貴
[00:00:48.960 --> 00:00:52.360]  約書亞在世和他剛剛死了之後
[00:00:52.360 --> 00:00:55.260]  但是那個世代那些未死的人
[00:00:55.260 --> 00:00:58.360]  一去經歷到神的作為
[00:00:58.360 --> 00:01:00.760]  他們就去侍奉耶和華
[00:01:00.760 --> 00:01:02.060]  你不要忘記了
[00:01:02.060 --> 00:01:06.360]  進去迦南地的人除了約書亞和迦納之外
[00:01:06.360 --> 00:01:11.460]  基本都是大概四十歲以外的
[00:01:11.460 --> 00:01:13.660]  有些可能是五、六十歲
[00:01:13.660 --> 00:01:16.560]  為什麼呢?因為第一代出埃及的人
[00:01:16.560 --> 00:01:18.860]  他們不斷埋怨神缺乏信心
[00:01:18.860 --> 00:01:21.860]  所以那一代出埃及的成年人
[00:01:21.860 --> 00:01:24.060]  全部死在曠野
[00:01:24.060 --> 00:01:25.760]  所以進去的時候是第二代
[00:01:25.760 --> 00:01:30.260]  我們很相信出埃及第一代的小孩子
[00:01:30.260 --> 00:01:31.660]  即是他們所生的孩子
[00:01:31.660 --> 00:01:33.060]  可能是十多歲
[00:01:33.060 --> 00:01:36.260]  那些都不用被神帶入去剿滅
[00:01:36.260 --> 00:01:38.260]  即是說進迦南地的人
[00:01:38.260 --> 00:01:41.560]  可能是四十歲或者到六十歲多些
[00:01:41.560 --> 00:01:43.760]  那時候他們經歷到
[00:01:43.760 --> 00:01:45.860]  神怎樣在曠野祝福他們
[00:01:45.860 --> 00:01:48.660]  雲柱、火柱帶去護衛他們
[00:01:48.660 --> 00:01:51.260]  他們有瑪那來去享壽
[00:01:51.260 --> 00:01:56.660]  亦有鵪鶉經過摩西擊打盤石出水
[00:01:56.660 --> 00:02:00.160]  所以他們很深體會到神的能力
[00:02:00.160 --> 00:02:02.660]  他們持守他們的信仰
[00:02:02.660 --> 00:02:04.060]  樂於事共神
[00:02:04.060 --> 00:02:06.360]  但是一個很大的可惜
[00:02:06.360 --> 00:02:09.360]  就是他們沒有將他們的信仰
[00:02:09.360 --> 00:02:13.060]  很好的來跟下一代分享
[00:02:13.060 --> 00:02:17.060]  以致這個信仰不能夠承傳下去
[00:02:17.060 --> 00:02:18.360]  這才是悲哀
[00:02:18.360 --> 00:02:21.360]  我們看第二章第十節
[00:02:21.360 --> 00:02:24.560]  那世代的人也都歸了自己的列祖
[00:02:24.560 --> 00:02:26.760]  後來有別的世代興起
[00:02:26.760 --> 00:02:28.860]  不知道耶和華也不知道
[00:02:28.860 --> 00:02:32.360]  耶和華為以色列人所行的事
[00:02:32.360 --> 00:02:34.560]  這句說話提醒我們
[00:02:34.560 --> 00:02:37.660]  你看到後世代的人
[00:02:37.660 --> 00:02:41.660]  已經不知道耶和華為以色列人所做的事
[00:02:41.660 --> 00:02:45.360]  因為可能他們沒有好好地去教育他們
[00:02:45.360 --> 00:02:49.060]  講解、分享讓這個信仰得以承傳
[00:02:49.060 --> 00:02:52.160]  我不斷在這幾年裏面都很強調
[00:02:52.160 --> 00:02:56.060]  我們重視的不要只是兒女的學業
[00:02:56.060 --> 00:02:59.460]  我們更加重要的是他們的信仰
[00:02:59.460 --> 00:03:01.960]  我經常說我們不能夠看到我們的兒女
[00:03:01.960 --> 00:03:04.360]  甚至我們的孫子只是一世的
[00:03:04.360 --> 00:03:06.760]  我們看不到他們最後的成長
[00:03:06.760 --> 00:03:08.960]  因為有一天我們可能會走了
[00:03:08.960 --> 00:03:12.960]  但如果我們能夠從小培育他們認識神的時候
[00:03:12.960 --> 00:03:14.260]  你就要放心了
[00:03:14.260 --> 00:03:16.360]  因為是由神看著他們
[00:03:16.360 --> 00:03:17.760]  不是我們
[00:03:17.760 --> 00:03:20.260]  你留意到他們受加南宗教影響
[00:03:20.260 --> 00:03:23.360]  敬拜加南不同的神
[00:03:23.360 --> 00:03:25.160]  這就離棄耶和華
[00:03:25.160 --> 00:03:28.160]  所以引致到神的憤怒
[00:03:28.160 --> 00:03:32.460]  我們看看第二章第十四節
[00:03:32.460 --> 00:03:34.960]  「耶和華的怒氣向以色列人發作
