
[00:00:00.000 --> 00:00:02.000]  第二姐妹們平安
[00:00:02.000 --> 00:00:04.000]  我真的很高興
[00:00:04.000 --> 00:00:06.000]  可以再回到各位當中
[00:00:06.000 --> 00:00:08.000]  今天早上我們特別
[00:00:08.000 --> 00:00:10.000]  聚在一起來
[00:00:10.000 --> 00:00:12.000]  感謝讚美我們的神
[00:00:12.000 --> 00:00:14.000]  我們也要特別謝謝姚姐妹
[00:00:14.000 --> 00:00:16.000]  帶來詩歌
[00:00:16.000 --> 00:00:18.000]  那首詩歌
[00:00:18.000 --> 00:00:20.000]  我知誰掌管明天
[00:00:20.000 --> 00:00:22.000]  是我五十四年前
[00:00:22.000 --> 00:00:24.000]  我在高中高二的時候
[00:00:24.000 --> 00:00:26.000]  參加陽明山
[00:00:28.000 --> 00:00:30.000]  暑假的一個退休會的時候
[00:00:30.000 --> 00:00:32.000]  在那邊絕痔
[00:00:32.000 --> 00:00:34.000]  所以時間過得很快
[00:00:34.000 --> 00:00:36.000]  真的是
[00:00:36.000 --> 00:00:38.000]  在聽到這首詩歌也非常感恩
[00:00:38.000 --> 00:00:40.000]  因為它真的是
[00:00:40.000 --> 00:00:42.000]  提到我們一件事情
[00:00:42.000 --> 00:00:44.000]  我們對未來是知道是有限的
[00:00:44.000 --> 00:00:46.000]  在過去的這兩年呢
[00:00:46.000 --> 00:00:48.000]  我想大家都
[00:00:48.000 --> 00:00:50.000]  經歷了非常
[00:00:50.000 --> 00:00:52.000]  困難的生活的情況
[00:00:52.000 --> 00:00:54.000]  就是這個疫情
[00:00:56.000 --> 00:00:58.000]  到今天呢
[00:00:58.000 --> 00:01:00.000]  還不知道什麼時候結束
[00:01:00.000 --> 00:01:02.000]  那我們也時常會
[00:01:02.000 --> 00:01:04.000]  就覺得這個
[00:01:04.000 --> 00:01:06.000]  這個疫情呢
[00:01:06.000 --> 00:01:08.000]  好像比我們想像中要複雜
[00:01:08.000 --> 00:01:10.000]  要困難
[00:01:10.000 --> 00:01:12.000]  當我們覺得快好的時候
[00:01:12.000 --> 00:01:14.000]  它又變種了
[00:01:14.000 --> 00:01:16.000]  所以很多事情真的是超過今天人的科學
[00:01:16.000 --> 00:01:18.000]  特別是生物科學
[00:01:18.000 --> 00:01:20.000]  所能夠解決的問題
[00:01:20.000 --> 00:01:22.000]  他們現在很多公司還在開發新的藥
[00:01:22.000 --> 00:01:24.000]  但今天我想
[00:01:24.000 --> 00:01:26.000]  我們遇到了很大的問題就是
[00:01:26.000 --> 00:01:28.000]  舉例在美國
[00:01:28.000 --> 00:01:30.000]  美國現在打了
[00:01:30.000 --> 00:01:32.000]  50%的人打了這個疫苗
[00:01:32.000 --> 00:01:34.000]  那你會問
[00:01:34.000 --> 00:01:36.000]  為什麼那麼別的人都不打呢
[00:01:36.000 --> 00:01:38.000]  因為有些人呢
[00:01:38.000 --> 00:01:40.000]  他覺得打這個疫苗呢
[00:01:40.000 --> 00:01:42.000]  是一種陰謀
