
[00:00:00.000 --> 00:00:02.000]  今天的主題是和睦
[00:00:02.000 --> 00:00:05.000]  和睦這個主題其實是
[00:00:05.000 --> 00:00:08.000]  我相信不是一件容易的主題
[00:00:08.000 --> 00:00:10.000]  因為不是那麼多人可以做得到
[00:00:10.000 --> 00:00:13.000]  亦都不是那麼容易做到的事情
[00:00:13.000 --> 00:00:15.000]  今天的經文是取自
[00:00:15.000 --> 00:00:19.000]  詩篇第133篇第1到第3節
[00:00:19.000 --> 00:00:21.000]  我們稱這一篇的詩篇
[00:00:21.000 --> 00:00:24.000]  是叫做《上行之詩》
[00:00:24.000 --> 00:00:27.000]  《上行之詩》就是指詩篇一百二十篇
[00:00:27.000 --> 00:00:30.000]  一路去到詩篇一百三十四篇
[00:00:30.000 --> 00:00:35.000]  十五首很完整地收集在一起的詩
[00:00:35.000 --> 00:00:37.000]  叫做《上行之詩》
[00:00:37.000 --> 00:00:40.000]  它是詩篇被收集的類別裏面
[00:00:40.000 --> 00:00:45.000]  最齊全的一個可以說的收藏
[00:00:45.000 --> 00:00:47.000]  因為其他那些都是零零散散
[00:00:47.000 --> 00:00:49.000]  這裏收一點那裏收一點
[00:00:49.000 --> 00:00:53.000]  但這個類別是歸一得非常之齊全
[00:00:53.000 --> 00:00:55.000]  十五首放在一起
[00:00:55.000 --> 00:00:57.000]  而且你要發現《上行之詩》裏面
[00:00:57.000 --> 00:00:59.000]  特別多耶路撒冷
[00:00:59.000 --> 00:01:02.000]  特別多錫安這些字出現
[00:01:02.000 --> 00:01:04.000]  十五首的詩篇裏面
[00:01:04.000 --> 00:01:08.000]  有十二次出現這兩個字
[00:01:08.000 --> 00:01:11.000]  十二這個號碼並不是一個隨便的號碼
[00:01:11.000 --> 00:01:13.000]  而這兩個名都不是隨便的名字
[00:01:13.000 --> 00:01:15.000]  所以就會突出
[00:01:15.000 --> 00:01:19.000]  《上行之詩》就是神同在的聖城
[00:01:19.000 --> 00:01:21.000]  這個主題的發展
[00:01:21.000 --> 00:01:24.000]  有關《上行之詩》真正的功能
[00:01:24.000 --> 00:01:27.000]  確實有很多不同的看法
[00:01:27.000 --> 00:01:29.000]  《上行》這個字希伯來文的意思就是
[00:01:29.000 --> 00:01:32.000]  階梯,樓梯級
[00:01:32.000 --> 00:01:36.000]  很明顯這裏指一些樓梯級上去上面
[00:01:36.000 --> 00:01:41.000]  而這個字根據文士以斯拉的說話
[00:01:41.000 --> 00:01:44.000]  當時他用了這個「上來」這個字
[00:01:44.000 --> 00:01:46.000]  說在巴比倫的
[00:01:46.000 --> 00:01:49.000]  從巴比倫上去耶路撒冷
[00:01:49.000 --> 00:01:51.000]  所以研究舊約的人都相信
[00:01:51.000 --> 00:01:54.000]  《上行之詩》其實是講述
[00:01:54.000 --> 00:01:57.000]  回歸,被擄回歸的人
[00:01:57.000 --> 00:02:00.000]  他們現在能夠回到耶路撒冷
[00:02:00.000 --> 00:02:02.000]  他們十級以上
[00:02:02.000 --> 00:02:05.000]  上去朝聖
[00:02:05.000 --> 00:02:07.000]  這十五首詩篇
[00:02:07.000 --> 00:02:10.000]  是跟被擄回歸的人
[00:02:10.000 --> 00:02:12.000]  拉上一個很大的關係
[00:02:12.000 --> 00:02:14.000]  不過如果我們這樣講的時候
[00:02:14.000 --> 00:02:16.000]  大家如果心水清
[00:02:16.000 --> 00:02:18.000]  你可能心裏面有一個問題
[00:02:18.000 --> 00:02:21.000]  我們打出來的經文就沒有寫這幾個字
[00:02:21.000 --> 00:02:24.000]  但是如果你真實有一本真正的聖經的話
[00:02:24.000 --> 00:02:26.000]  在詩篇一百三十三篇
[00:02:26.000 --> 00:02:28.000]  一開始的抬頭
[00:02:28.000 --> 00:02:30.000]  會幾個字放出來叫做
[00:02:30.000 --> 00:02:33.000]  大衛的詩
[00:02:33.000 --> 00:02:35.000]  大衛是什麼人來的
[00:02:35.000 --> 00:02:37.000]  皇帝來的大家都知道
[00:02:37.000 --> 00:02:39.000]  一統天下的皇帝
[00:02:39.000 --> 00:02:41.000]  但是這個皇帝有點特別
[00:02:41.000 --> 00:02:44.000]  在回歸的時候他已經死了N年
[00:02:44.000 --> 00:02:45.000]  是不是
[00:02:45.000 --> 00:02:47.000]  他是死了N年的皇帝
[00:02:47.000 --> 00:02:49.000]  一個死了N年的皇帝
[00:02:49.000 --> 00:02:53.000]  怎樣寫一篇詩給被擄回歸的人呢
[00:02:53.000 --> 00:02:55.000]  這個是不可能的
[00:02:55.000 --> 00:02:57.000]  所以大衛的詩大概你可以理解
[00:02:57.000 --> 00:02:59.000]  就是一個很高舉大衛的人
[00:02:59.000 --> 00:03:01.000]  或者很支持大衛的人
[00:03:01.000 --> 00:03:03.000]  他寫了一篇詩篇
[00:03:03.000 --> 00:03:05.000]  來紀念大衛
[00:03:05.000 --> 00:03:07.000]  又或者就好像一本書一樣
[00:03:07.000 --> 00:03:09.000]  你打開一本書
[00:03:09.000 --> 00:03:12.000]  通常第一頁會告訴你這本書奉獻給什麼人
[00:03:12.000 --> 00:03:14.000]  寫給什麼人
[00:03:14.000 --> 00:03:15.000]  獻給什麼人
[00:03:15.000 --> 00:03:17.000]  所以這篇詩篇的作者
[00:03:17.000 --> 00:03:21.000]  他寫這篇詩篇是獻給大衛
