
[00:00:00.000 --> 00:00:04.500]  希望大家一直聽我們所讀的經文
[00:00:04.500 --> 00:00:08.360]  希望大家一起聽聽經文的時候
[00:00:08.360 --> 00:00:10.660]  剛才我們所唱的詩歌
[00:00:10.660 --> 00:00:13.480]  剛才我們唱的詩歌
[00:00:13.480 --> 00:00:17.140]  能夠帶我們回到二千年前的一個漫長
[00:00:17.140 --> 00:00:20.820]  能夠把我們帶回二千年前的那個晚上
[00:00:20.820 --> 00:00:25.360]  剛才我一直聽經文 聽詩歌的時候
[00:00:25.360 --> 00:00:28.920]  剛才我一直在聽經文 聽詩歌的時候
[00:00:28.920 --> 00:00:31.800]  心裡有很大的感動
[00:00:31.800 --> 00:00:36.320]  主耶穌實在為我們付出了很多
[00:00:36.320 --> 00:00:39.360]  可以說二千年前的那一天的晚上
[00:00:39.360 --> 00:00:41.940]  是人類歷史上最黑暗的一個晚上
[00:00:41.940 --> 00:00:44.200]  可以說二千年前的那個晚上
[00:00:44.200 --> 00:00:46.920]  是人類歷史上最黑暗的一個晚上
[00:00:46.920 --> 00:00:50.740]  因為就在那一個晚上
[00:00:50.740 --> 00:00:54.840]  神成為人的樣式走在世上
[00:00:54.840 --> 00:00:57.680]  神成為人的樣式走在世上
[00:00:57.680 --> 00:01:04.340]  完全無辜的主耶穌基督為了世人的緣故
[00:01:04.340 --> 00:01:08.480]  完全無辜的主耶穌基督為了世人的緣故
[00:01:08.480 --> 00:01:11.160]  要面對殘酷的審判和懲罰
[00:01:11.160 --> 00:01:14.840]  要面對殘酷的審判和懲罰
[00:01:14.840 --> 00:01:17.780]  地上的審判官審不到他有任何的罪
[00:01:17.780 --> 00:01:20.940]  地方的審判官審不到他有任何的罪
[00:01:20.940 --> 00:01:25.340]  他要為世人的罪的緣故來承擔罪惡的後果
[00:01:25.340 --> 00:01:29.260]  但是他需要為受到罪人的緣故
[00:01:29.260 --> 00:01:31.260]  為一個人承擔罪的後果
[00:01:31.260 --> 00:01:33.580]  其實當主耶穌被捉拿的時候
