
[00:00:00.000 --> 00:00:08.560]  今天我要跟大家來繼續來分享教會,在教會四宮中的三個的步驟。
[00:00:08.560 --> 00:00:15.560]  上次有機會跟大家來分享到教會生命的成長,離不開與神的關係。
[00:00:15.560 --> 00:00:22.520]  我們叫這個叫做熟靈的靈獸生活,簡單來說叫做QT。
[00:00:22.520 --> 00:00:28.520]  今天我們要看第二個的部分,這個叫做門徒的訓練。
[00:00:28.520 --> 00:00:32.520]  用英文簡單來說叫做DT。
[00:00:32.520 --> 00:00:38.520]  我們往後會跟大家來分享第三個部分,叫做靈獸的塑造。
[00:00:38.520 --> 00:00:42.520]  我們叫這個簡單來說叫做LT。
[00:00:42.520 --> 00:00:52.520]  若是大家容易分辨的話,就可以看到在教會整個教會的結構開始成型的時候,離不開一個最重要的關鍵。
[00:00:52.520 --> 00:01:01.520]  就是你跟神之間的關係是否是在他的心意安排跟塑造的裏面。
[00:01:01.520 --> 00:01:06.520]  當我們走上這個道路的時候,我們纔會產生了一個土地。
[00:01:06.520 --> 00:01:17.520]  這個土地能夠經歷到神當中的餵養,讓我們的生命開始成長過來,就可以成爲耶穌基督所使用的這個功能。
[00:01:17.520 --> 00:01:21.520]  我們叫這一種的訓練叫做門徒的訓練。
[00:01:21.520 --> 00:01:31.520]  唯有門徒能夠經歷過神在裏面的這個塑造,不然的話我們就沒有辦法找到一些俗靈的帶領者,
[00:01:31.520 --> 00:01:42.520]  能夠看見異象,能夠看見將來,能夠看見地區的需要,能夠帶到整個教會在福星的生活中。
[00:01:42.520 --> 00:01:52.520]  所以QT,DT,LT,就是靈獸的生活,門徒訓練跟靈獸的栽培,都是一條線。
[00:01:52.520 --> 00:01:55.520]  這個一條線離不開教會的生活。
[00:01:55.520 --> 00:02:02.520]  所以今天我願意在這個時候解開了我們怎麼樣來看門徒訓練的這個範圍。
[00:02:02.520 --> 00:02:10.520]  我相信這個話題,這個問題,甚至這個名詞,帶來了很多很多不一樣人的這種想法。
[00:02:10.520 --> 00:02:18.520]  人家說門徒訓練是什麼,有一些人可以在聖經的詞彙的字典當中找到很多的字。
[00:02:18.520 --> 00:02:28.520]  但是我今天希望跟大家分享的,不是一個名詞,是一個內容,是一個教會生活的內容,是一個信徒成長當中的內容。
[00:02:28.520 --> 00:02:34.520]  所以好不好,在這個時候跟大家來打開聖經,我們以神的話語,建立我們俗靈的根基,
[00:02:34.520 --> 00:02:40.520]  我們一起來看路加福音的第十四章二十五到三十五節。
[00:02:40.520 --> 00:02:50.520]  讓我邊念這個經文,也邊在當中跟大家來小事的來分享一下這個經文的背景跟內容。
