
[00:00:00.000 --> 00:00:01.500]  哈蓋蘇第一章第八節
[00:00:01.500 --> 00:00:02.900]  我們一同來唸只有一節的聖經
[00:00:02.900 --> 00:00:03.500]  來
[00:00:03.500 --> 00:00:07.000]  你們要上山取木料建造這殿
[00:00:07.000 --> 00:00:10.200]  我就因此喜樂且得榮耀
[00:00:10.200 --> 00:00:12.800]  這是耶和華說的
[00:00:12.800 --> 00:00:17.100]  感謝神在千呼萬喚之中
[00:00:17.100 --> 00:00:19.900]  鋼架終於在禮拜一運到在我們教會
[00:00:19.900 --> 00:00:21.100]  Hallelujah
[00:00:21.100 --> 00:00:24.900]  你知道當我們看見卡車把鋼架運進來的時候
[00:00:24.900 --> 00:00:27.500]  那真是有點想歡呼的感覺
[00:00:27.500 --> 00:00:30.100]  真的是 你看剛剛影片的鏡頭
[00:00:30.100 --> 00:00:33.600]  多麼壯觀的行列
[00:00:33.600 --> 00:00:35.800]  我們真的歡喜快樂
[00:00:35.800 --> 00:00:37.500]  上個禮拜所以我們也花時間
[00:00:37.500 --> 00:00:40.600]  我們牧師團隊就站在工地上
[00:00:40.600 --> 00:00:42.800]  我們站在講台的位置上
[00:00:42.800 --> 00:00:47.000]  把過去從弟兄姊妹那裡收集來的經文卡
[00:00:47.000 --> 00:00:50.100]  就放在講台的地基的裡面
[00:00:50.100 --> 00:00:53.600]  我們站在那個工地上一同來宣告說
[00:00:53.600 --> 00:00:57.700]  這個 Shekinah Glory 建殿這樣一個計畫
[00:00:57.700 --> 00:01:00.000]  是建立在神話語的根基上的
[00:01:00.000 --> 00:01:00.800]  Amen
[00:01:00.800 --> 00:01:01.900]  Hallelujah
[00:01:01.900 --> 00:01:08.000]  這可以說是我們整個建堂工程一個嶄新的里程碑
[00:01:08.000 --> 00:01:12.900]  事實上我看見這不但是整個建堂工程的一個里程碑
[00:01:12.900 --> 00:01:16.600]  這整個 Shekinah Glory 的建殿計畫
[00:01:16.600 --> 00:01:21.700]  就是要把我們整個教會帶領到一個新的季節裡面
[00:01:21.700 --> 00:01:24.600]  這為什麼在我們今年年度計畫會議的時候
[00:01:24.600 --> 00:01:27.400]  我們為明年度訂了一個主題
[00:01:27.400 --> 00:01:30.100]  就是你們在閱歷上所印出來的
[00:01:30.100 --> 00:01:32.800]  新的季節新的恩高
[00:01:32.800 --> 00:01:33.900]  各位一同來說來
[00:01:33.900 --> 00:01:36.900]  新的季節新的恩高
[00:01:36.900 --> 00:01:39.300]  神之所以要賜下突破的恩高
[00:01:39.300 --> 00:01:44.800]  我們講到說 Shekinah Glory 的突破恩高已經降臨了不是嗎
[00:01:44.800 --> 00:01:47.900]  神之所以要降下這個突破恩高
[00:01:47.900 --> 00:01:52.300]  正是因為神要帶領我們進入到新的季節當中
[00:01:52.300 --> 00:01:56.900]  神要在我們中間帶領我們再一次走上新的道路
[00:01:56.900 --> 00:01:59.500]  再一次在我們中間做新的事情
[00:01:59.500 --> 00:02:00.500]  Amen
[00:02:00.500 --> 00:02:01.400]  你千萬不要說
[00:02:01.400 --> 00:02:04.200]  喔牧師現在講這些還太早
[00:02:04.200 --> 00:02:07.000]  那我請問你今天是幾號啊
[00:02:07.000 --> 00:02:08.900]  今天幾號
[00:02:08.900 --> 00:02:10.700]  12月3號了
[00:02:10.700 --> 00:02:13.900]  再過不久聖誕節就來了
[00:02:13.900 --> 00:02:15.500]  聖誕節一過
[00:02:15.500 --> 00:02:17.000]  新年就來了
[00:02:17.000 --> 00:02:18.000]  新年一過
[00:02:18.000 --> 00:02:19.700]  復活節就來了
[00:02:19.700 --> 00:02:20.700]  復活節一過
[00:02:20.700 --> 00:02:23.300]  夏天就到了
[00:02:23.300 --> 00:02:25.100]  不知不覺間
[00:02:25.100 --> 00:02:28.900]  Shekinah Glory 就要完工了
[00:02:28.900 --> 00:02:29.600]  Amen
[00:02:29.600 --> 00:02:31.200]  Hallelujah
[00:02:31.200 --> 00:02:34.700]  我們看見當 Shekinah Glory 聖殿完工之後
[00:02:34.700 --> 00:02:38.900]  不但在整個場地的使用上會帶來極大的改變
[00:02:38.900 --> 00:02:40.700]  起碼四堂變成兩堂了
[00:02:40.700 --> 00:02:41.900]  Amen
[00:02:41.900 --> 00:02:44.900]  事工上也必然進來極大的改變
[00:02:44.900 --> 00:02:48.500]  新的場地一定帶來新的事工
[00:02:48.500 --> 00:02:52.400]  在人數上也一定帶來極大的成長
[00:02:52.400 --> 00:02:57.300]  請問你準備好來迎接這個新的季節嗎
[00:02:57.300 --> 00:03:03.600]  你準備好來迎接新堂完成之後所帶來一切的改變嗎
