
[00:00:00.000 --> 00:00:01.840]  今日同大家繼續去思想呢
[00:00:01.840 --> 00:00:06.120]  這個啟屬七教會的第三間別加摩教會
[00:00:06.120 --> 00:00:08.880]  啟屬的七個教會呢
[00:00:08.880 --> 00:00:11.320]  其實有很多種方法去講的
[00:00:11.320 --> 00:00:12.240]  為什麼呢?
[00:00:12.240 --> 00:00:13.640]  有一種的方法講呢
[00:00:13.640 --> 00:00:14.160]  就是說什麼呢?
[00:00:14.160 --> 00:00:17.640]  七個教會就代表了教會歷史
[00:00:17.640 --> 00:00:19.520]  甚至不止教會歷史
[00:00:19.520 --> 00:00:20.720]  可以推前一點
[00:00:20.720 --> 00:00:22.720]  歷史的七個時期
[00:00:22.720 --> 00:00:24.800]  有很多這樣的資料
[00:00:24.800 --> 00:00:26.400]  我也打算遲一點
[00:00:26.400 --> 00:00:28.400]  或者用一個PowerPoint打出來
[00:00:28.400 --> 00:00:30.000]  讓大家去看看
[00:00:30.000 --> 00:00:32.000]  原來有這樣的說法的
[00:00:32.000 --> 00:00:34.600]  這個以弗所教會呢
[00:00:34.600 --> 00:00:37.760]  就代表了失去了起初愛心的教會
[00:00:37.760 --> 00:00:42.760]  這個是最初期的某一個時期的教會呢
[00:00:42.760 --> 00:00:44.480]  就是失去了起初的愛心的
[00:00:44.480 --> 00:00:46.960]  第二個就是善美娜教會
[00:00:46.960 --> 00:00:47.960]  善美娜教會呢
[00:00:47.960 --> 00:00:50.600]  就是受苦受逼迫的教會
[00:00:50.600 --> 00:00:53.440]  主耶穌基督一句話都沒有責備他們的
[00:00:53.680 --> 00:00:58.760]  這個也代表了跟著以弗所教會這個時期之後
[00:00:58.760 --> 00:01:02.400]  在教會的歷史多少年到多少年
[00:01:02.400 --> 00:01:05.600]  差不多就會叫做善美娜教會的時期了
[00:01:05.600 --> 00:01:08.480]  接著就來到別加摩教會
[00:01:08.480 --> 00:01:10.480]  它又是多少年到多少年呢
[00:01:10.480 --> 00:01:12.920]  又到了別加摩教會的時期了
[00:01:12.920 --> 00:01:14.920]  這個是其中一個說法
[00:01:14.920 --> 00:01:17.920]  姑勿論這個說法對不對也好
[00:01:17.920 --> 00:01:20.160]  在中國教會是很流行的
[00:01:20.160 --> 00:01:23.840]  因為宣教士傳道去中國的時候
[00:01:23.840 --> 00:01:30.000]  就帶著這種的時代主義論的一種解釋
[00:01:30.000 --> 00:01:31.720]  啟示錄的方法去
[00:01:31.720 --> 00:01:35.480]  所以最初期的中國的教會所接受
