
[00:00:00.000 --> 00:00:03.000]  今天和大家講到菲律賓書第四講
[00:00:03.000 --> 00:00:04.000]  基督心為心
[00:00:04.000 --> 00:00:07.380]  本來在菲律賓書的時候
[00:00:07.380 --> 00:00:10.360]  可能已經坐牢三四年
[00:00:10.360 --> 00:00:13.080]  兩年在猶太灣附近的地方,兩年在羅馬的地方
[00:00:13.080 --> 00:00:16.080]  他這時候當自己很多事情不做得到的時候
[00:00:16.080 --> 00:00:18.480]  他有一種很深的渴望
[00:00:18.480 --> 00:00:21.260]  就是自己追求以基督心為心
[00:00:21.260 --> 00:00:24.140]  體會耶穌基督的心腸
[00:00:24.140 --> 00:00:26.760]  他探望所愛的菲律賓弟兄姊妹
[00:00:26.760 --> 00:00:29.640]  都同樣追求以基督心為心
[00:00:29.640 --> 00:00:32.640]  為神的愛感動他們
[00:00:32.640 --> 00:00:35.740]  以基督的謙卑一生的侍奉去感動他們
[00:00:35.740 --> 00:00:38.760]  建立一個能夠同心合而興旺神的福音的教會
[00:00:38.760 --> 00:00:41.940]  我看今日經文
[00:00:41.940 --> 00:00:44.340]  菲律賓書第二章一到十一節
[00:00:44.340 --> 00:00:47.580]  我請弟兄讀單數節,姊妹讀雙數節
[00:00:47.580 --> 00:00:48.580]  我先請弟兄
[00:00:48.580 --> 00:00:51.780]  所以在基督裡若有什麼勸勉
[00:00:51.780 --> 00:00:54.420]  愛心有什麼安慰
[00:00:54.420 --> 00:00:57.440]  聖靈有什麼交通
[00:00:57.440 --> 00:00:59.480]  心中有什麼疲憊憐憫
[00:00:59.760 --> 00:01:02.740]  我再看完
[00:01:02.740 --> 00:01:04.860]  第二節
[00:01:04.860 --> 00:01:17.900]  凡事不可結黨
[00:01:17.900 --> 00:01:20.880]  不可貪圖虛浮的榮耀
[00:01:20.880 --> 00:01:24.300]  只要全心謙卑個人看別人比自己強
[00:01:24.300 --> 00:01:25.300]  個人
[00:01:29.300 --> 00:01:32.900]  你們當以基督耶穌的心為心
[00:01:32.900 --> 00:01:41.620]  反倒虛己
[00:01:41.620 --> 00:01:44.280]  取了奴僕的形象,成為人的樣式
[00:01:44.280 --> 00:01:55.760]  所以神將他升為至高
[00:01:55.760 --> 00:01:59.240]  由此給他那超乎萬名之上的名
[00:01:59.480 --> 00:02:02.380]  無不厚稱耶穌基督為主
[00:02:02.380 --> 00:02:05.380]  使榮耀歸與父神
[00:02:05.380 --> 00:02:08.440]  在這麼重要的經文中
[00:02:08.440 --> 00:02:11.580]  以基督的心為心的時候
[00:02:11.580 --> 00:02:14.580]  第一個教導就是
[00:02:14.580 --> 00:02:17.540]  我們是否同心活出基督的愛心
[00:02:17.540 --> 00:02:20.580]  這份付出,這份謙卑
[00:02:20.580 --> 00:02:23.580]  這份一生犧牲的愛
[00:02:23.580 --> 00:02:26.600]  的動力就是這份愛心
[00:02:26.600 --> 00:02:29.540]  關鍵是我們基督是否一個聽道
[00:02:29.540 --> 00:02:32.440]  又能夠行道,又是同心合一的人
[00:02:32.440 --> 00:02:35.440]  群體
[00:02:35.440 --> 00:02:38.140]  保羅在弗萊比斯第一章講到很多心智
[00:02:38.140 --> 00:02:41.140]  他學悟基督,孝化基督和傳揚基督
[00:02:41.140 --> 00:02:44.140]  他說:我體會基督耶穌的心腸
[00:02:44.140 --> 00:02:47.140]  無論是生是死
[00:02:47.140 --> 00:02:50.140]  總叫基督在我身上照常顯大
[00:02:50.140 --> 00:02:53.140]  他說:因為我活著就是基督
[00:02:53.140 --> 00:02:56.140]  我死了就有益處
[00:02:56.140 --> 00:02:59.140]  他知道走基督的路是有代價的
[00:02:59.140 --> 00:03:02.140]  他說:不但得以馴服基督
[00:03:02.140 --> 00:03:05.140]  並要為他受苦
[00:03:05.140 --> 00:03:08.140]  他講完自己的心智之後
[00:03:08.140 --> 00:03:11.140]  很想他所愛的弟兄姊妹
[00:03:11.140 --> 00:03:14.140]  都同樣有這份體會耶穌基督的心腸
[00:03:14.140 --> 00:03:17.140]  以基督的心為心,孝化基督的心智
[00:03:17.140 --> 00:03:20.140]  所以今天經文第一節,第二章第一節
[00:03:20.140 --> 00:03:23.140]  所以在基督內若有什麼勸勉
[00:03:23.140 --> 00:03:26.140]  愛心有什麼安慰
[00:03:26.140 --> 00:03:29.140]  聖靈有什麼交通
[00:03:29.140 --> 00:03:32.140]  心中有什麼慈悲憐憫
[00:03:32.140 --> 00:03:35.140]  特別講到基督的感動
[00:03:35.140 --> 00:03:38.140]  聖靈的感動我們有沒有神的愛,神的憐憫
[00:03:38.140 --> 00:03:41.140]  有時聖經翻譯
[00:03:41.140 --> 00:03:44.140]  對一些不熟悉聖經的人覺得很特別
[00:03:44.140 --> 00:03:47.140]  其中這個交通的字
[00:03:47.140 --> 00:03:50.140]  你和一些不認識的聖經人
[00:03:50.140 --> 00:03:53.140]  不懂什麼是交通,他以為是坐什麼車
[00:03:53.140 --> 00:03:56.140]  但是這個交通的表達,原來文字是fellowship的表達
[00:03:56.140 --> 00:03:59.140]  就是團契,交流
[00:03:59.140 --> 00:04:02.140]  親密的關係
[00:04:02.140 --> 00:04:05.140]  我們和神如果有親密的關係,和聖靈有親密的關係
[00:04:05.140 --> 00:04:08.140]  就是要這份愛的感動
[00:04:08.140 --> 00:04:11.140]  愛份的催谷,讓我們一生去謙卑
[00:04:11.140 --> 00:04:14.140]  服侍主,服侍人,我們有沒有這份愛心
