
[00:00:00.000 --> 00:00:04.000]  我們知道,基督徒在世上基本上只有兩個很大的目的。
[00:00:04.000 --> 00:00:09.000]  第一個就是,神讓我們存在是為了讓我們可以享受神的愛。
[00:00:09.000 --> 00:00:11.000]  所以愛是第一個目的。
[00:00:11.000 --> 00:00:15.000]  就算你不信主的人,其實你也享受過神給你很多的愛。
[00:00:15.000 --> 00:00:22.000]  無論是賦予你生命,無論是給你最免費的陽光、空氣,這麼美的大自然。
[00:00:22.000 --> 00:00:25.000]  那當然信主的人又更一步能夠享受神的愛。
[00:00:25.000 --> 00:00:28.000]  你可以跟他講話,他會回應你。
[00:00:28.000 --> 00:00:34.000]  他會在你人生每一步不斷的帶領你,使你活出一個更加豐盛的人生。
[00:00:34.000 --> 00:00:41.000]  當然除了享受神的愛,很大部分你也能夠享受人與人彼此之間的愛。
[00:00:41.000 --> 00:00:45.000]  很多的層面,無論是愛情、友情、親情都可以享受。
[00:00:45.000 --> 00:00:48.000]  那麼除了愛以外,第二個人生很大的目的是神給我們的,
[00:00:48.000 --> 00:00:53.000]  就是除了享受祂的愛之外,我們還有一個任務需要去完成。
[00:00:53.000 --> 00:00:59.000]  那麼這個任務也就是今天我們講到的系列,接下來的幾堂都會講,
[00:00:59.000 --> 00:01:03.000]  怎麼樣可以幫助我們更好地完成這個任務。
[00:01:03.000 --> 00:01:08.000]  那麼今天我們會看一段的經文,在約翰福音的四章三十一到三十六節,
[00:01:08.000 --> 00:01:15.000]  短短的一段經文,我們看一下這段經文能夠給我們在完成任務的這件事上,
[00:01:15.000 --> 00:01:19.000]  能夠給我們一些怎麼樣的啟示,怎麼樣一些的提醒。
[00:01:19.000 --> 00:01:23.000]  那麼四章三十一到三十六節,我讀給大家聽。
[00:01:23.000 --> 00:01:28.000]  這邊說這時候門徒勸耶穌說老師請吃點東西。
[00:01:28.000 --> 00:01:33.000]  這邊講到門徒剛剛去餐館買了一些外賣回來,就問耶穌說耶穌吃點東西。
[00:01:33.000 --> 00:01:37.000]  耶穌回答說我已經有吃的東西了,是你們不知道的。
[00:01:37.000 --> 00:01:43.000]  那門徒就彼此商議說,難道在我們,他不是剛剛說肚子餓要我們去買東西給他吃嗎?
[00:01:43.000 --> 00:01:47.000]  是不是我們在買的途中已經有人給東西他吃了呢?
[00:01:47.000 --> 00:01:57.000]  耶穌對他們說,我的食物就是實行差我來那一位的旨意,並且完成他交給我的工作。
[00:01:57.000 --> 00:02:04.000]  你們說再過四個月才是收割的時候,我告訴你們,看看那片田地吧。
[00:02:04.000 --> 00:02:08.000]  農作物已經成熟,可以收割了。
[00:02:08.000 --> 00:02:17.000]  收割的人得到報賞,為永恆的生命積蓄果實,使災眾和收割的一同快樂。
[00:02:17.000 --> 00:02:19.000]  一段很短的經文。
[00:02:19.000 --> 00:02:22.000]  那麼這個經文的背後其實有一個故事。
[00:02:22.000 --> 00:02:30.000]  這個故事其實告訴我們第一個啟示,就是有關這個任務的範圍,我們需要重新去思考的。
[00:02:30.000 --> 00:02:37.000]  那故事講什麼呢?話說有一天,主耶穌就要從猶太地去到加利利。
[00:02:37.000 --> 00:02:43.000]  猶太地就是耶路撒冷的地方,耶路撒冷在南邊,加利利在北邊,所以由南往北。
[00:02:43.000 --> 00:02:46.000]  他中間要經過一個地方叫撒瑪利亞。
[00:02:46.000 --> 00:02:52.000]  聖經上告訴我們說,約翰福音四章四集,他必須經過撒瑪利亞。
[00:02:52.000 --> 00:02:57.000]  其實那個經過,必須經過,指的不是地理上的必須經過。
[00:02:57.000 --> 00:03:02.000]  就像如果你要去三藩市,我必須走101,不一定的,你可以走280的嗎?
[00:03:02.000 --> 00:03:06.000]  但是因為你走101,是因為你約了人在101某個出口。
[00:03:06.000 --> 00:03:10.000]  那耶穌也一樣,祂說祂必須經過撒瑪利亞。
[00:03:10.000 --> 00:03:14.000]  因為祂有一個任務,祂那天要去完成天父給祂一個任務。
[00:03:14.000 --> 00:03:20.000]  什麼任務呢?就是祂要去那邊見一個人,一個撒瑪利亞的婦人。
[00:03:20.000 --> 00:03:28.000]  祂要給這個婦人一個機會認識祂,並且接著這個婦人使撒瑪利亞整條村的人都出來,
[00:03:28.000 --> 00:03:32.000]  最後整條村的人都認識了耶穌,也信了耶穌。
[00:03:32.000 --> 00:03:40.000]  一個很簡單的故事,撒瑪利亞的婦人有三個很特別的特點,也是這個故事的一個賣點。
[00:03:40.000 --> 00:03:42.000]  有什麼特點呢?有三個。
[00:03:42.000 --> 00:03:47.000]  第一個,她是撒瑪利亞的婦人。撒瑪利亞有什麼特別呢?
[00:03:47.000 --> 00:03:55.000]  撒瑪利亞人跟特別是耶路撒冷住的猶太人,他們之間有一些所謂地區性的歧視。
[00:03:55.000 --> 00:04:01.000]  他們其實都是猶太人,可是耶路撒冷的猶太人就看不起撒瑪利亞人。
[00:04:01.000 --> 00:04:08.000]  第一,他們覺得你們的血統不正統,你們一天到晚跟外族人通婚,
[00:04:08.000 --> 00:04:15.000]  所以我們猶太人講究我們血統要乾淨,所以他們就很看不起,有些地區性的歧視。
[00:04:15.000 --> 00:04:20.000]  其實這也很容易了解,因為就算大家同樣都中國大陸來,
[00:04:20.000 --> 00:04:26.000]  但是你們中國大陸也知道不同省份彼此之間也很多,我看不起你啊,你看不起我啊。
[00:04:26.000 --> 00:04:33.000]  我們那時候覺得上海人看不起廣東人,北方人又看不起上海人,很多這種事情。
[00:04:33.000 --> 00:04:37.000]  彼此之間就有時候你損損我啊,我也損損你啊。
[00:04:37.000 --> 00:04:47.000]  最近開個笑話說,有些人弄了個笑話去笑山西,他們說山西的人很摳,很小氣。
[00:04:47.000 --> 00:04:53.000]  說有個山西人天氣很熱就買了個電風扇回家,電風扇要插電,風扇轉才有風嘛,
[00:04:53.000 --> 00:04:58.000]  可是回到家不捨得用電怎麼辦,最後只能對著風扇頭不停的轉。
[00:04:58.000 --> 00:05:05.000]  當然這是笑話啦,我認識易超就知道山西人有時候也不是摳,他很大方的。
[00:05:05.000 --> 00:05:15.000]  但是當初耶路撒冷的猶太人跟住在薩馬利亞的猶太人之間就有這種所謂的地區性的歧視。
[00:05:15.000 --> 00:05:24.000]  他們覺得薩馬利亞第一血統不正統,第二猶太人覺得這薩馬利亞人對紀錄約認識不夠,
[00:05:24.000 --> 00:05:31.000]  所以他們又不會來我們耶路撒冷的聖殿敬拜,他們自己在那邊搞了個聖殿就亂敬拜,
[00:05:31.000 --> 00:05:35.000]  儀式也不對,什麼都不對,他們對宗教也不懂。
[00:05:35.000 --> 00:05:40.000]  第三個他們覺得這薩馬利亞人的道德水準也太低了一點,
[00:05:40.000 --> 00:05:47.000]  所以猶太人通常如果他們要從耶路撒冷去加利利通常是不會經過薩馬利亞的,
[00:05:47.000 --> 00:05:52.000]  他們是會繞道而行,但是耶穌是特別經過薩馬利亞,
[00:05:52.000 --> 00:05:56.000]  所以這個薩馬利亞夫人第一點她是一個薩馬利亞的婦人,這點很重要。
[00:05:56.000 --> 00:06:03.000]  第二點她是一個離婚的婦人,那現今的時代女性有很多選擇,
[00:06:03.000 --> 00:06:09.000]  除了婚姻以外你可以選擇事業嗎?你可以說我婚姻不怎麼成功,
[00:06:09.000 --> 00:06:14.000]  可是我的事業還是可以很成功的嗎?你可以做個很成功的女漢子嗎?
[00:06:14.000 --> 00:06:21.000]  所以有選擇的,但是在兩千年前那個時代女性是沒有的選擇,
[00:06:21.000 --> 00:06:26.000]  你只有一條路使你的人生可以說我活得還蠻有尊榮,
[00:06:26.000 --> 00:06:32.000]  抬得起頭就是婚姻,所以如果婚姻失敗代表說你就徹底的失敗了,
[00:06:32.000 --> 00:06:37.000]  所以這個薩馬利亞婦人是一個離婚的婦人,這是第二個特點。
[00:06:37.000 --> 00:06:46.000]  第三個特點,這個薩馬利亞婦人不但是離婚,她還離過五次婚,那就很嚴重了。
[00:06:46.000 --> 00:06:53.000]  現今的時代大家知道我們對離婚還是比較接受的,離婚也很簡單的事情,
[00:06:53.000 --> 00:06:59.000]  但是即使在今天的年代要找到一個人離婚五次也不那麼容易,
[00:06:59.000 --> 00:07:10.000]  我們所認識的那些就算是娛樂圈裡面亂搞男女關係的,偶爾會找到一兩個說他離婚三次也蠻厲害,
[00:07:10.000 --> 00:07:16.000]  可是五次離婚那就不得了了,更何況兩千年前那個時代,
[00:07:16.000 --> 00:07:24.000]  如果你離婚五次的話,基本上你不是一個普通的loser,你是一個loser中的loser。
[00:07:24.000 --> 00:07:31.000]  這就是為什麼這個薩馬利亞婦人她選擇了正午的時間出來水井打水。
[00:07:31.000 --> 00:07:37.000]  當初你知道那是沙漠的地方,沒有人受得了正午的時間出來打水的,
[00:07:37.000 --> 00:07:43.000]  大家都是差不多日落的時候比較涼快出來打水,正午出來打水只有一個原因,
[00:07:43.000 --> 00:07:48.000]  你想要避開所有的人,所以她就正午出來打水,那耶穌也知道,
[00:07:48.000 --> 00:07:56.000]  所以耶穌就特別選那個時候剛好在那個水井來等她出來,那耶穌就來那個水井就支開其他的人,
[00:07:56.000 --> 00:08:01.000]  因為耶穌知道她今天要遇到這個人,她的自尊心已經脆弱到一種程度,
[00:08:01.000 --> 00:08:06.000]  她沒有辦法,如果她看到一堆人在井邊,她一定不敢出來,
[00:08:06.000 --> 00:08:10.000]  所以耶穌就支開她的門徒,你們去給我買點外賣吧,他們就走了,
[00:08:10.000 --> 00:08:15.000]  耶穌就一個人單獨面見這個薩馬利亞的婦人。
[00:08:15.000 --> 00:08:20.000]  那麼這個故事到底為什麼這三個特點是個賣點呢?
[00:08:20.000 --> 00:08:31.000]  是因為耶穌的那一群門徒從頭到尾都覺得耶穌來是幫助他們振興整個猶太人的世界,
[00:08:31.000 --> 00:08:36.000]  整個耶路撒冷我們要重新奪回,從羅馬帝國那邊奪回主權,
