
[00:00:00.000 --> 00:00:03.120]  真係添福你,感謝你讚美你自己的恩典
[00:00:03.120 --> 00:00:06.240]  感謝你時常賜下平安喜樂給我們
[00:00:06.240 --> 00:00:08.580]  今日又給我們可以在這裡聚集
[00:00:08.580 --> 00:00:11.820]  敬拜你,思想你聖經的說話
[00:00:11.820 --> 00:00:15.280]  和賦予你一聲令,在我們當中幫助我們
[00:00:15.280 --> 00:00:18.020]  明白,並且能夠
[00:00:18.020 --> 00:00:21.020]  進行你的華語的教導
[00:00:21.020 --> 00:00:24.280]  奉耶穌基督的名,祈禱,阿們
[00:00:24.280 --> 00:00:29.020]  上個禮拜我們看了《創世紀》第十二章
[00:00:29.020 --> 00:00:31.020]  那裡講到阿伯蘭
[00:00:31.020 --> 00:00:34.220]  是得到上主的揀選
[00:00:34.220 --> 00:00:38.620]  成為上帝對全人類的計劃的
[00:00:38.620 --> 00:00:40.620]  一位的同工
[00:00:40.620 --> 00:00:45.220]  上帝是要藉阿伯蘭的後裔
[00:00:45.220 --> 00:00:47.820]  去形成一個國家
[00:00:47.820 --> 00:00:49.820]  是一個認識神
[00:00:49.820 --> 00:00:52.220]  敬畏神的大國
[00:00:52.220 --> 00:00:55.520]  還要藉著阿伯蘭的後裔
[00:00:55.520 --> 00:00:59.020]  賜福給萬民
[00:00:59.020 --> 00:01:01.020]  所有的人
[00:01:01.020 --> 00:01:03.020]  我亦提過
[00:01:03.020 --> 00:01:07.220]  阿伯蘭本來生長在吾爾城
[00:01:07.220 --> 00:01:10.420]  即是今日伊拉克的地方
[00:01:10.420 --> 00:01:16.420]  他本來也是跟著父親拜偶像
[00:01:16.420 --> 00:01:21.420]  但是上帝揀選了他
[00:01:21.420 --> 00:01:23.420]  向他顯現
[00:01:23.420 --> 00:01:27.420]  亦將自己的計劃告訴了他
[00:01:27.420 --> 00:01:31.420]  他又很樂意順從上主
[00:01:31.420 --> 00:01:33.420]  在七十五歲的時候
[00:01:33.420 --> 00:01:35.420]  就離開他的父親
[00:01:35.420 --> 00:01:39.420]  向迦南地的方向移民
[00:01:39.420 --> 00:01:42.420]  從阿伯蘭的事跡我們可以看到
[00:01:42.420 --> 00:01:46.420]  上主做事的一個模式
[00:01:46.420 --> 00:01:51.420]  通常上主會親自主動向人啟示計劃
[00:01:51.420 --> 00:01:53.420]  那個人遇上上主的時候
[00:01:53.420 --> 00:01:57.420]  可能會經歷一些信仰的震盪
[00:01:57.420 --> 00:02:01.420]  然後他會跟上主合作
[00:02:01.420 --> 00:02:06.420]  最後會得到上主的賜福和保護
[00:02:06.420 --> 00:02:11.420]  今日開始我們會看《少行傳》第九章
[00:02:11.420 --> 00:02:13.420]  這是主人牧師的決定
[00:02:13.420 --> 00:02:17.420]  我們每個主日有五堂的崇拜
[00:02:17.420 --> 00:02:19.420]  都是會講同一段經文
[00:02:19.420 --> 00:02:22.420]  今次我們會講《少行傳》第九章
[00:02:22.420 --> 00:02:25.420]  不過在看第九章之前
[00:02:25.420 --> 00:02:27.420]  讓我先簡單講講
[00:02:27.420 --> 00:02:30.420]  《少行傳》這本書的性質
[00:02:30.420 --> 00:02:34.420]  和在第一至第八章大概發生了甚麼事
[00:02:34.420 --> 00:02:40.420]  《少行傳》其實都是路加所寫的
[00:02:40.420 --> 00:02:46.420]  所以《少行傳》可以說是路加福音的續集
[00:02:46.420 --> 00:02:50.420]  路加福音大致上來講就是記載了耶穌的生平
[00:02:50.420 --> 00:02:57.420]  而耶穌基督就是上主答應了阿伯蘭要藉著他的後裔
[00:02:57.420 --> 00:03:03.420]  賜福給萬民的那位很特別的後裔
[00:03:03.420 --> 00:03:08.420]  而《少行傳》是早期教會發展的歷史
[00:03:08.420 --> 00:03:11.420]  所以《少行傳》一開始的時候
[00:03:11.420 --> 00:03:16.420]  記載了主耶穌復活升天之前的特別吩咐
[00:03:16.420 --> 00:03:20.420]  就是要門徒留在耶路撒冷
[00:03:20.420 --> 00:03:23.420]  等候聖靈的降臨
[00:03:23.420 --> 00:03:26.420]  在一章八字裡面說
[00:03:26.420 --> 00:03:29.420]  你們會充滿能力要在耶路撒冷
[00:03:29.420 --> 00:03:31.420]  猶太和撒瑪利亞全境
[00:03:31.420 --> 00:03:35.420]  甚至到天涯海角為我做見證
[00:03:35.420 --> 00:03:41.420]  在一章九字主耶穌就在眾門徒面前慢慢升上天
[00:03:41.420 --> 00:03:43.420]  回到天父那裡
[00:03:43.420 --> 00:03:48.420]  我們留意主耶穌最後的吩咐地理環境
[00:03:48.420 --> 00:03:52.420]  是從他們所在的地方耶路撒冷開始
[00:03:52.420 --> 00:03:55.420]  然後到近鄰去到撒瑪利亞
[00:03:55.420 --> 00:03:59.420]  撒瑪利亞就在耶路撒冷或者猶太的北面
[00:03:59.420 --> 00:04:05.420]  然後要去到天涯海角就是去到全世界
