
[00:00:00.000 --> 00:00:01.740]  各位電視節目平安
[00:00:01.740 --> 00:00:05.460]  《使徒行主義》我們已經來到第四講了
[00:00:05.460 --> 00:00:10.800]  就是保羅開始向海外做宣教的工作
[00:00:10.800 --> 00:00:13.580]  第十三和第十四章
[00:00:13.580 --> 00:00:19.020]  就是基述巴拿巴帶著這個年輕的保羅
[00:00:19.020 --> 00:00:22.580]  開始學習宣教的工作
[00:00:22.580 --> 00:00:28.280]  然後以後保羅就成為神大大使用的使徒
[00:00:28.280 --> 00:00:33.740]  然後十五章就講到當他們向很多愛邦人傳道的時候
[00:00:33.740 --> 00:00:35.420]  就引起一個問題
[00:00:35.420 --> 00:00:37.540]  愛邦人信主之後
[00:00:37.540 --> 00:00:39.600]  是否需要行割禮呢?
[00:00:39.600 --> 00:00:41.400]  他們吃些什麼呢?
[00:00:41.400 --> 00:00:43.180]  是否不可以吃血呢?
[00:00:43.180 --> 00:00:48.460]  於是就有第十五章的耶路撒冷的回憶
[00:00:48.460 --> 00:00:50.780]  他們要開一個大會
[00:00:50.780 --> 00:00:54.780]  解決愛邦人歸主的問題
[00:00:54.780 --> 00:00:59.160]  所以十三、十四章很精彩
[00:00:59.160 --> 00:01:05.300]  就講到福音要慢慢向更遠的地方傳開
[00:01:05.300 --> 00:01:08.660]  原來當時安提柯教會
[00:01:08.660 --> 00:01:11.660]  神就開始使用這間教會
[00:01:11.660 --> 00:01:17.100]  門徒被稱為基督徒Christian
[00:01:17.100 --> 00:01:20.660]  是由安提柯起手的
[00:01:20.660 --> 00:01:25.340]  即是說以前沒有人叫這些人做基督徒
[00:01:25.340 --> 00:01:27.960]  但是安提柯開始有些人叫
[00:01:27.960 --> 00:01:32.140]  這幫跟耶穌的人不如叫他們做基督徒
[00:01:32.140 --> 00:01:34.080]  因為他們跟耶穌
[00:01:34.080 --> 00:01:38.220]  Christian這個名字就是這樣來的
[00:01:38.220 --> 00:01:43.300]  當有幾個人他們在禁食祈禱的時候
