
[00:00:00.000 --> 00:00:04.000]  如果問一個問題 你自己回答
[00:00:04.000 --> 00:00:08.000]  就是你自問是一位聰明的人
[00:00:08.000 --> 00:00:11.000]  可能大家都不敢表態
[00:00:11.000 --> 00:00:15.000]  可能自己想想 我都算幾聰明
[00:00:15.000 --> 00:00:19.000]  不過聰明當中間中都做些傻事蠢事
[00:00:19.000 --> 00:00:22.000]  不過一般來說都算是聰明的
[00:00:22.000 --> 00:00:26.000]  如果答案可能是 其實我做人都忙呀忙呀
[00:00:26.000 --> 00:00:28.000]  不過不要緊 我嫁得好老公
[00:00:28.000 --> 00:00:31.000]  我娶個好老婆已經值回票的
[00:00:31.000 --> 00:00:34.000]  所以相對來說 我想講聰明的選擇
[00:00:34.000 --> 00:00:35.000]  由過到關
[00:00:35.000 --> 00:00:38.000]  比較聰明的回憶就是
[00:00:38.000 --> 00:00:42.000]  聰明很抽象
[00:00:42.000 --> 00:00:45.000]  你怎樣界定聰明的定義我才答到你
[00:00:45.000 --> 00:00:48.000]  從中文這個字去解釋
[00:00:48.000 --> 00:00:51.000]  聰者就是講聽覺
[00:00:51.000 --> 00:00:55.000]  聽得很精準 聽又很精靈
[00:00:55.000 --> 00:00:58.000]  明者又看得很準 看得很遠
[00:00:58.000 --> 00:01:02.000]  所以聰明基本上是一種本能的反應
[00:01:02.000 --> 00:01:04.000]  一種頭腦的反應
[00:01:04.000 --> 00:01:06.000]  這就叫做聰明
[00:01:06.000 --> 00:01:09.000]  我又換個問題
[00:01:09.000 --> 00:01:15.000]  在燈泡中你覺得你自己最聰明的一件事
[00:01:15.000 --> 00:01:18.000]  最聰明的抉擇是哪一次呢
[00:01:18.000 --> 00:01:20.000]  又問一下你
[00:01:20.000 --> 00:01:24.000]  你做得最蠢的一件事是哪一件事呢
[00:01:24.000 --> 00:01:26.000]  答案可能今晚回去
[00:01:26.000 --> 00:01:28.000]  臨睡前可能凍糕
[00:01:28.000 --> 00:01:31.000]  床板都沒有 凍糕走走 想一想
[00:01:31.000 --> 00:01:34.000]  不過你問我 我的答案是很特別的
[00:01:34.000 --> 00:01:38.000]  我心當中 我最聰明的抉擇就是
[00:01:38.000 --> 00:01:42.000]  我信了耶穌 做了雕塗
[00:01:42.000 --> 00:01:44.000]  我最蠢的一件事是甚麼呢
[00:01:44.000 --> 00:01:48.000]  你信了耶穌 又做了雕塗
[00:01:48.000 --> 00:01:53.000]  何以出一個這麼邏輯謬誤的答案呢
[00:01:53.000 --> 00:01:58.000]  你聽完以下這二十多分鐘的講章之後
[00:01:58.000 --> 00:02:01.000]  你可能知道答案在哪裏
[00:02:01.000 --> 00:02:05.000]  聰明相對是一個頗抽象的概念
[00:02:05.000 --> 00:02:09.000]  抽象的意思就是用一些實例去說明
[00:02:09.000 --> 00:02:14.000]  我會舉三個我覺得是大家公認
[00:02:14.000 --> 00:02:18.000]  甚至是舉世公認聰明人的故事
[00:02:18.000 --> 00:02:20.000]  和大家分享一下
[00:02:20.000 --> 00:02:24.000]  講到本世紀最聰明的人
[00:02:24.000 --> 00:02:29.000]  我相信此關一定是投票輸都贏的
[00:02:29.000 --> 00:02:31.000]  不過可惜他前年就去世了
[00:02:31.000 --> 00:02:35.000]  但是他的威力 他的影響力仍然存在
[00:02:35.000 --> 00:02:38.000]  他就是蘋果電腦創辦人
[00:02:38.000 --> 00:02:41.000]  Steve Jobs 喬布斯
[00:02:41.000 --> 00:02:43.000]  他如何出名呢
[00:02:43.000 --> 00:02:45.000]  有個作家叫Daniel Pink
[00:02:45.000 --> 00:02:48.000]  他有一本名字叫做《New Hope Mind》
[00:02:48.000 --> 00:02:51.000]  中文叫做《未來等待的人才》
[00:02:51.000 --> 00:02:53.000]  這本書我介紹給很多父母看
[00:02:53.000 --> 00:02:56.000]  你想子女將來怎樣去增加競爭
[00:02:56.000 --> 00:02:57.000]  一定要看這本書
[00:02:57.000 --> 00:02:59.000]  《未來在等待的人才》
[00:02:59.000 --> 00:03:03.000]  其實人的腦有左腦右腦
[00:03:03.000 --> 00:03:05.000]  左腦就是這邊
[00:03:05.000 --> 00:03:08.000]  左腦就是計數 邏輯
[00:03:08.000 --> 00:03:10.000]  虛擬人類的財經界
[00:03:10.000 --> 00:03:12.000]  全部左腦很發達
[00:03:12.000 --> 00:03:13.000]  即是計數計得很盡
[00:03:13.000 --> 00:03:14.000]  左腦發達
[00:03:14.000 --> 00:03:17.000]  右腦又掌管著感情
[00:03:17.000 --> 00:03:19.000]  即是人是很有創造力
[00:03:19.000 --> 00:03:21.000]  很會講故事
[00:03:21.000 --> 00:03:24.000]  很有感性的創意思維
[00:03:24.000 --> 00:03:25.000]  這個作者說
[00:03:25.000 --> 00:03:29.000]  未來的人才一定要左腦和右腦都發達才行
[00:03:29.000 --> 00:03:33.000]  即是左右腦兼備的人多
[00:03:33.000 --> 00:03:39.000]  喬布斯就是左腦和右腦同時都那麼聰明的人
[00:03:39.000 --> 00:03:42.000]  所以他設計出蘋果一系列的產品
[00:03:42.000 --> 00:03:48.000]  同時他更加令人稱道他每次推銷產品
[00:03:48.000 --> 00:03:51.000]  全球矚目焦點放在他身上
[00:03:51.000 --> 00:03:53.000]  就是他的推銷術
[00:03:53.000 --> 00:03:59.000]  他的演講術成為現在世紀最受推崇的一種演講方法
[00:03:59.000 --> 00:04:03.000]  我在城市大學在六年前開了一門課
[00:04:03.000 --> 00:04:08.000]  教EFB的學生 教一些行政管理人才
[00:04:08.000 --> 00:04:10.000]  那門課就講公眾演講
[00:04:10.000 --> 00:04:14.000]  全香港在馬克思列軍是第一個開的課程
[00:04:14.000 --> 00:04:21.000]  喬布斯演講術是我其中一個所謂示範的課程
[00:04:21.000 --> 00:04:24.000]  你學喬布斯推銷的手法
[00:04:24.000 --> 00:04:27.000]  你學不到 是他才行
[00:04:27.000 --> 00:04:29.000]  但是喬布斯講故事技巧
[00:04:29.000 --> 00:04:31.000]  你就學到的
[00:04:31.000 --> 00:04:34.000]  因為喬布斯在很多經典的演講當中
[00:04:34.000 --> 00:04:37.000]  其實最觸動人心
[00:04:37.000 --> 00:04:42.000]  就是有一年他剛剛癌症 剛剛醫好
[00:04:42.000 --> 00:04:44.000]  去到史丹福大學演講
[00:04:44.000 --> 00:04:48.000]  就講三個他失敗的故事
[00:04:48.000 --> 00:04:50.000]  成功故事聽多
[00:04:50.000 --> 00:04:52.000]  但原來講三個失敗故事
[00:04:52.000 --> 00:04:54.000]  其實最觸動人心
[00:04:54.000 --> 00:04:56.000]  所以大家上網看回喬布斯
[00:04:56.000 --> 00:04:58.000]  史丹福大學畢業禮的演講
[00:04:58.000 --> 00:05:02.000]  就講他三個失敗的故事
[00:05:02.000 --> 00:05:07.000]  失學 失業和失去健康
[00:05:07.000 --> 00:05:13.000]  喬布斯的影響力其實不單止在他的產品
[00:05:13.000 --> 00:05:15.000]  他講現代人的生活
[00:05:15.000 --> 00:05:19.000]  你今天看見每個人身上都有一部智能手機
[00:05:19.000 --> 00:05:21.000]  每個人是低頭做人
[00:05:21.000 --> 00:05:23.000]  大家就拿著手機去溝通
[00:05:23.000 --> 00:05:26.000]  這是相當一個反智的功能
[00:05:26.000 --> 00:05:29.000]  其實沒有人敢去批評他
[00:05:29.000 --> 00:05:31.000]  但我看見有些人都很勇敢去批評
[00:05:31.000 --> 00:05:34.000]  甚至將他跟拿破崙一樣
[00:05:34.000 --> 00:05:37.000]  他有歷史學家去批評拿破崙
[00:05:37.000 --> 00:05:39.000]  在政治上是一個成功的人物
[00:05:39.000 --> 00:05:42.000]  在所有一般人成功的事上他都失敗
[00:05:42.000 --> 00:05:46.000]  即是說在科技研究上他可能是很成功
[00:05:46.000 --> 00:05:51.000]  但在其他人的基本的其他事上他都失敗
[00:05:51.000 --> 00:05:54.000]  所以究竟蘋果電腦的產品
[00:05:54.000 --> 00:05:58.000]  對人類帶來的是幸福還是不幸
[00:05:58.000 --> 00:06:02.000]  其實歷史會作出一個說明
[00:06:02.000 --> 00:06:07.000]  不過無論多聰明的人
[00:06:07.000 --> 00:06:11.000]  到最後面對死亡都無法迴避
[00:06:11.000 --> 00:06:15.000]  除非全美國最好的醫生去醫治他
[00:06:15.000 --> 00:06:17.000]  只要將他的壽命延長多幾年
[00:06:17.000 --> 00:06:21.000]  最後都是一句英言早洗
[00:06:21.000 --> 00:06:25.000]  喬布斯是一個絕頂聰明左右耳兼備的人
[00:06:25.000 --> 00:06:29.000]  第二個講就是一個大家很熟悉的人
[00:06:29.000 --> 00:06:32.000]  聰明必須有成就去支持他
