
[00:00:00.000 --> 00:00:03.200]  「你們若遵從聖經上所記載
[00:00:03.200 --> 00:00:04.920]  『愛人如己』
[00:00:04.920 --> 00:00:07.160]  這新角度的法則
[00:00:07.160 --> 00:00:08.360]  那就對了」
[00:00:08.360 --> 00:00:10.320]  「愛人如己」
[00:00:10.320 --> 00:00:12.720]  雅各勸教會是要進行
[00:00:12.720 --> 00:00:15.880]  「愛人如己」新角度的法則
[00:00:15.880 --> 00:00:19.200]  由於當時的教會裡面
[00:00:19.200 --> 00:00:21.640]  有重負輕貧的現象
[00:00:21.640 --> 00:00:24.360]  雅各毫不客氣地指出
[00:00:24.360 --> 00:00:27.080]  重負輕貧的心態
[00:00:27.080 --> 00:00:29.400]  是犯罪、犯法的
[00:00:29.880 --> 00:00:31.640]  我們求主幫助我們
[00:00:31.640 --> 00:00:33.440]  在教會裡面
[00:00:33.440 --> 00:00:39.160]  在教會裡面我們一起
[00:00:39.160 --> 00:00:41.560]  來學習「愛倫如己」
[00:00:41.560 --> 00:00:44.240]  當我們能夠在教會裡面學習到之後
[00:00:44.240 --> 00:00:45.480]  我們再培養
[00:00:45.480 --> 00:00:48.280]  「愛人如己」的實際行動
[00:00:48.280 --> 00:00:51.240]  感激著過去兩個星期
[00:00:51.240 --> 00:00:54.000]  都有大英姐妹願意在金錢上
[00:00:54.000 --> 00:00:56.360]  捐助巴基斯坦諸聖堂
[00:00:56.360 --> 00:00:59.960]  以及逃難到埃及的敘利亞難民
[00:00:59.960 --> 00:01:04.280]  今天我們要繼續看雅各書第二章
[00:01:04.280 --> 00:01:07.480]  講到信心和行為的問題
[00:01:07.480 --> 00:01:12.960]  從前我偶爾會聽一些牧師的話
[00:01:12.960 --> 00:01:15.560]  讓我們回到早期教會
[00:01:15.560 --> 00:01:17.440]  向早期教會學習
[00:01:17.440 --> 00:01:20.360]  一些牧師的說法
[00:01:20.360 --> 00:01:22.120]  很可能是由於看到
[00:01:22.120 --> 00:01:24.200]  在「四條行傳」當中
[00:01:24.200 --> 00:01:26.280]  早期教會的大英姐妹
[00:01:26.280 --> 00:01:28.400]  充滿了愛心的行為
[00:01:28.400 --> 00:01:31.960]  包括有人把自己的田地賣掉
[00:01:31.960 --> 00:01:36.840]  然後把錢傳授奉獻給教會
[00:01:36.840 --> 00:01:39.560]  用來為所有的大英姐妹
[00:01:39.560 --> 00:01:41.880]  提供生活上的需要
[00:01:41.880 --> 00:01:46.120]  那個時候的大英姐妹也同心合意
[00:01:46.120 --> 00:01:48.560]  一起學習聖經的教導
[00:01:48.560 --> 00:01:54.600]  時時聚集在一起祈禱聚會學習
[00:01:55.560 --> 00:01:58.160]  但是回到早期教會的說法
[00:01:58.160 --> 00:02:02.240]  會令我們以為早期教會是完美的
[00:02:02.240 --> 00:02:06.360]  只有今天的教會才是問題多多的
[00:02:06.360 --> 00:02:10.360]  我希望大家不要有這個誤解
[00:02:10.360 --> 00:02:13.640]  因為事實上早期的教會
[00:02:13.640 --> 00:02:16.400]  也同樣是問題多多的
[00:02:16.400 --> 00:02:18.760]  只不過由於環境不同
[00:02:18.760 --> 00:02:22.880]  他們的問題不一定是我們的問題
[00:02:23.840 --> 00:02:28.600]  雅各寫了這封信給散居在各處的信徒
[00:02:28.600 --> 00:02:33.320]  很可能是由於有人將各處地方的教會
[00:02:33.320 --> 00:02:35.720]  出現的問題告訴他們
[00:02:35.720 --> 00:02:41.960]  他知道這些問題是違反基督教的基本信仰
[00:02:41.960 --> 00:02:45.320]  以致他要寫信去教導信徒
[00:02:45.320 --> 00:02:48.440]  在第一章我們已經留意到
[00:02:48.440 --> 00:02:52.960]  當時的信徒很可能是由於受逼迫
[00:02:53.440 --> 00:02:57.360]  從富裕的環境裡變成貧窮人
[00:02:57.360 --> 00:03:01.320]  因此雅各在一章九節提到
[00:03:01.320 --> 00:03:04.400]  富貴人被貶低
[00:03:04.400 --> 00:03:10.240]  而在一章二十七節也提醒當時的信徒
[00:03:10.240 --> 00:03:14.720]  在富上帝眼中純見沒有缺點的虔誠
[00:03:14.720 --> 00:03:18.320]  就是要照顧苦難中孤兒寡婦
[00:03:18.320 --> 00:03:21.600]  在第二章提醒信徒
[00:03:21.600 --> 00:03:24.280]  重婦輕貧是犯罪的行為
[00:03:24.280 --> 00:03:28.920]  因為所有信徒都進入了上帝建設的新角度
[00:03:28.920 --> 00:03:31.600]  而在這個新角度裡面
[00:03:31.600 --> 00:03:34.280]  最重要的法則就是要愛人如己
[00:03:34.280 --> 00:03:37.480]  在今天的經文一開始就提出
[00:03:37.480 --> 00:03:42.640]  在教會裡面有些是違反真實信心的表現
[00:03:42.640 --> 00:03:45.400]  在雅各的時代
[00:03:45.400 --> 00:03:49.920]  羅馬人的社會是沒有社會福利制度的
[00:03:50.920 --> 00:03:55.320]  孤兒寡婦和貧窮人生活無依
[00:03:55.320 --> 00:03:59.000]  如果去到教會裡面信主的弟兄姊妹
[00:03:59.000 --> 00:04:00.200]  只是對他們說
[00:04:00.200 --> 00:04:05.240]  「平安平安,願你穿得暖,吃得飽」
[00:04:05.240 --> 00:04:08.920]  而不供應給他們所需要的
[00:04:08.920 --> 00:04:11.400]  那又有什麼用呢?
[00:04:11.400 --> 00:04:15.560]  在言語上好像很關心那些窮人
[00:04:15.560 --> 00:04:19.200]  但是沒有一些實際的行動去幫助人
[00:04:20.000 --> 00:04:24.720]  這樣就顯現出那些基督徒是很虛偽
[00:04:24.720 --> 00:04:27.800]  比那些沒有信仰的人還差
[00:04:27.800 --> 00:04:30.200]  沒有信仰的人
[00:04:30.200 --> 00:04:34.040]  即使是沒有愛人如己的法規
[00:04:34.040 --> 00:04:36.440]  但是他們大概都有
[00:04:36.440 --> 00:04:39.160]  可能孟子所說的
[00:04:39.160 --> 00:04:41.160]  「不忍人之心」
[00:04:41.160 --> 00:04:44.600]  就是有憐憫別人的心
[00:04:44.600 --> 00:04:48.600]  而做出一些實際的援助人的行動
