
[00:00:00.000 --> 00:00:04.800]  很開心能夠實體一起去崇拜
[00:00:04.800 --> 00:00:06.920]  今天是母親節
[00:00:06.920 --> 00:00:10.760]  跟旁邊的弟兄姊妹說一聲母親節快樂好嗎?
[00:00:10.760 --> 00:00:12.440]  網上的弟兄姊妹也是
[00:00:12.440 --> 00:00:13.720]  祝你母親節快樂
[00:00:13.720 --> 00:00:16.480]  人們都說師母你又說什麼女人呢?
[00:00:16.480 --> 00:00:17.080]  今天會這樣
[00:00:17.080 --> 00:00:18.840]  今天我不說女人
[00:00:18.840 --> 00:00:20.120]  說了很多年女人
[00:00:20.120 --> 00:00:24.120]  今天是說當孝敬父母這個問題
[00:00:24.120 --> 00:00:27.480]  其實做媽媽不同的年代
[00:00:27.480 --> 00:00:30.560]  都有她的艱辛和困難
[00:00:30.560 --> 00:00:32.120]  教會都長大了
[00:00:32.120 --> 00:00:34.280]  所以年齡層都很闊
[00:00:34.280 --> 00:00:35.840]  不知道你心目當中
[00:00:35.840 --> 00:00:38.680]  一個媽媽是什麼形象呢?
[00:00:38.680 --> 00:00:39.840]  我小時候
[00:00:39.840 --> 00:00:41.600]  典型的媽媽的形象
[00:00:41.600 --> 00:00:42.880]  理想當中
[00:00:42.880 --> 00:00:45.200]  就一定是白燕
[00:00:45.200 --> 00:00:46.520]  你不知道她是誰
[00:00:46.520 --> 00:00:48.280]  就是你很年輕的
[00:00:48.280 --> 00:00:53.160]  那時候我們覺得媽媽一定是在家裡
[00:00:53.160 --> 00:00:55.480]  因為大部分做媽媽的
[00:00:55.480 --> 00:00:58.160]  都是在家裡不會上班的
[00:00:58.160 --> 00:01:01.400]  所以你說在那個年代做媽媽辛苦嗎?
[00:01:01.400 --> 00:01:02.440]  其實都辛苦的
[00:01:02.440 --> 00:01:06.640]  因為都在一個窮困的環境裡
[00:01:06.640 --> 00:01:09.400]  但是又好像沒有現在那麼大壓力
[00:01:09.400 --> 00:01:11.760]  因為大家個個都是做主婦的
[00:01:11.760 --> 00:01:13.800]  都是一起買菜煮飯
[00:01:13.800 --> 00:01:15.640]  總之經常都會在家裡
[00:01:15.640 --> 00:01:18.760]  如果用錄音機放在家裡去錄的時候
[00:01:18.760 --> 00:01:20.080]  聽得最多的聲音
[00:01:20.080 --> 00:01:21.160]  就一定喊媽媽
[00:01:21.160 --> 00:01:22.040]  媽媽媽媽
[00:01:22.040 --> 00:01:23.400]  什麼都會喊媽媽的
[00:01:23.400 --> 00:01:25.880]  因為媽媽在你就很安全
[00:01:25.880 --> 00:01:27.480]  在那個年代做媽媽
[00:01:27.480 --> 00:01:29.600]  很喜歡用一個形容詞來形容
[00:01:29.600 --> 00:01:32.080]  家裡的太太就是賢良淑德
[00:01:32.080 --> 00:01:33.520]  這個賢良淑德
[00:01:33.520 --> 00:01:36.560]  第一件事就是要孝敬
[00:01:36.560 --> 00:01:40.200]  孝順她的公公和婆婆
[00:01:40.200 --> 00:01:42.560]  跟現在已經是很不同的了
[00:01:42.560 --> 00:01:45.280]  而且當然生孩子了
[00:01:45.280 --> 00:01:47.560]  但是子女要求出來就
[00:01:47.560 --> 00:01:49.000]  好好的
[00:01:49.000 --> 00:01:50.040]  乖乖的
[00:01:50.040 --> 00:01:52.640]  就已經是交到差的了
[00:01:52.640 --> 00:01:54.920]  如果你說她能夠煮得一手好菜
[00:01:54.920 --> 00:01:56.800]  又好像阿白燕那麼漂亮
[00:01:56.800 --> 00:01:58.360]  出來見得下人
[00:01:58.360 --> 00:02:01.160]  這個演繹是一個100分
[00:02:01.160 --> 00:02:05.200]  完美和完美的一個典範
[00:02:05.200 --> 00:02:06.480]  但是呢
[00:02:06.480 --> 00:02:09.640]  隨著香港的進步
[00:02:09.640 --> 00:02:14.320]  然後在90年代開始就引入飛鴻之後
[00:02:14.320 --> 00:02:18.040]  就釋放了很多的婦女出來工作
[00:02:18.040 --> 00:02:20.360]  事實上女性的地位是提高的
[00:02:20.360 --> 00:02:22.720]  還有自己賺錢的能力
[00:02:22.720 --> 00:02:25.680]  是不是會很不同呢
[00:02:25.680 --> 00:02:27.000]  現在大部分的媽媽
[00:02:27.000 --> 00:02:30.000]  都是一些我們叫做雙職的媽媽
[00:02:30.000 --> 00:02:32.760]  但是我們當然都很欣賞很多頂姐妹
[00:02:32.760 --> 00:02:35.440]  她們為了小朋友小時候
[00:02:35.440 --> 00:02:38.720]  她們都會放棄了她們的高薪厚職
[00:02:38.720 --> 00:02:40.480]  就回來做一個全職的媽媽
[00:02:40.480 --> 00:02:44.600]  但是大部分都是見雙職的
[00:02:44.600 --> 00:02:46.800]  現在的媽媽是不是很好呢
[00:02:46.800 --> 00:02:48.440]  因為又有經濟能力了
[00:02:48.440 --> 00:02:51.280]  又可以自己買東西了
[00:02:51.280 --> 00:02:52.280]  是不是這麼說
[00:02:52.280 --> 00:02:54.000]  但是我自己這麼看
[00:02:54.000 --> 00:02:55.960]  其實是有點笨拙的
[00:02:55.960 --> 00:02:59.760]  原因就是現在你見到雙職的女人是什麼
[00:02:59.760 --> 00:03:02.120]  其實她是打兩份工的
[00:03:02.120 --> 00:03:03.240]  白天要上班
[00:03:03.240 --> 00:03:06.880]  一放工就要負責另一頭家了
[00:03:06.880 --> 00:03:09.840]  而且變成是七成二十四
[00:03:09.840 --> 00:03:12.200]  連星期天的休息時間都沒有
[00:03:12.200 --> 00:03:14.240]  又不會每做滿兩年
[00:03:14.240 --> 00:03:16.400]  老公給你一張機票
[00:03:16.400 --> 00:03:18.760]  可以回去自己旅遊一下
[00:03:18.760 --> 00:03:21.880]  連這些基本的福利都是沒有的
[00:03:21.880 --> 00:03:23.440]  所以在小朋友來說
[00:03:23.440 --> 00:03:27.120]  你問現在的小朋友喜不喜歡媽媽的呢
[00:03:27.120 --> 00:03:27.960]  他們喜歡的
[00:03:27.960 --> 00:03:29.480]  他們喜歡媽媽漂亮的
[00:03:29.480 --> 00:03:32.000]  我們這個年代要見家長
[00:03:32.000 --> 00:03:34.680]  我們都見到有小朋友
[00:03:34.680 --> 00:03:37.040]  是不讓媽媽回去見家長的
[00:03:37.040 --> 00:03:40.160]  就是家長會叫媽媽你不要回去
[00:03:40.160 --> 00:03:41.680]  其實他心裏面是覺得什麼
[00:03:41.680 --> 00:03:43.560]  他覺得媽媽不夠漂亮
[00:03:43.560 --> 00:03:45.440]  可能肥師奶一個
[00:03:45.440 --> 00:03:47.440]  說話粗俗大聲
[00:03:47.440 --> 00:03:48.400]  他覺得失禮
[00:03:48.400 --> 00:03:50.680]  所以媽媽你不要回去
[00:03:50.680 --> 00:03:52.400]  現在一般都不會的
[00:03:52.400 --> 00:03:54.640]  一般都覺得自己媽媽是漂亮的
[00:03:54.640 --> 00:03:55.800]  但是這樣
[00:03:55.800 --> 00:03:57.720]  先不要不開心
[00:03:57.720 --> 00:04:01.160]  你的小朋友覺得你又聰明又漂亮
[00:04:01.160 --> 00:04:04.720]  但是通常他們都會覺得現在的媽媽是很兇的
[00:04:04.720 --> 00:04:08.640]  而且都覺得媽媽是情緒化的
[00:04:08.640 --> 00:04:09.880]  我們想像到的
[00:04:09.880 --> 00:04:11.120]  我們當然理解
[00:04:11.120 --> 00:04:12.800]  當你一人二十四小時
[00:04:12.800 --> 00:04:15.080]  一日都這樣去工作
[00:04:15.080 --> 00:04:17.240]  而且所有東西都困住你的時候
[00:04:17.240 --> 00:04:19.520]  自己做Superwoman已經難了
[00:04:19.520 --> 00:04:21.320]  最慘就是這個社會
[00:04:21.320 --> 00:04:24.480]  是期望我們的兒子不是死死正正就可以
[00:04:24.480 --> 00:04:26.680]  還要我們的兒子都是Superman
[00:04:26.680 --> 00:04:29.160]  這一家才令到所有的
[00:04:29.160 --> 00:04:32.560]  現代的媽媽為什麼這麼大的壓力
[00:04:32.560 --> 00:04:36.880]  如果相比下兩代的媽媽有什麼不同呢
[00:04:36.880 --> 00:04:39.400]  我覺得以前的媽媽
[00:04:39.400 --> 00:04:42.920]  事實上那個自我價值感是低一點的
[00:04:42.920 --> 00:04:46.240]  所以他們會比較忍氣吞聲
[00:04:46.240 --> 00:04:47.840]  其實他們不是不想反抗
[00:04:47.840 --> 00:04:49.360]  但是覺得
[00:04:49.360 --> 00:04:50.200]  怎麼說呢
[00:04:50.200 --> 00:04:51.600]  自己沒有經濟的能力
[00:04:51.600 --> 00:04:53.760]  那你可以反抗到什麼呢
[00:04:53.760 --> 00:04:57.760]  但是隨著我自己家裡的看法
[00:04:57.760 --> 00:05:01.400]  雖然媽媽在我們小時候是這樣的
[00:05:01.400 --> 00:05:03.960]  不過因為子女日漸長大
[00:05:03.960 --> 00:05:05.680]  還有暫時的時候
[00:05:05.680 --> 00:05:09.680]  我媽媽在家裡的地位就開始上升了
[00:05:09.680 --> 00:05:13.600]  而我爸爸的能力就一路一路降低
[00:05:13.600 --> 00:05:14.880]  因為在我們的年代
[00:05:14.880 --> 00:05:17.440]  特別是媽媽
[00:05:17.440 --> 00:05:20.400]  我們是眼見到她的辛苦
[00:05:20.400 --> 00:05:22.120]  就是爸爸的辛苦我們不知道
[00:05:22.120 --> 00:05:23.480]  但是她回來很兇
[00:05:23.480 --> 00:05:24.880]  只是罵這樣罵那樣
[00:05:24.880 --> 00:05:27.640]  所以我們不覺得爸爸是親近的
[00:05:27.640 --> 00:05:29.360]  大部分都是親近媽媽的
[00:05:29.360 --> 00:05:31.440]  雖然你說媽媽是不是一定是
[00:05:31.440 --> 00:05:35.640]  好像我們現在在想的那些 Play Therapy
[00:05:35.640 --> 00:05:37.600]  又很有禮貌去哄孩子
[00:05:37.600 --> 00:05:38.640]  不是這一種
[00:05:38.640 --> 00:05:42.200]  媽媽仍然是很威嚴的
[00:05:42.200 --> 00:05:45.080]  但是因為我們眼見她的辛苦
[00:05:45.080 --> 00:05:48.520]  例如她很早起床就洗衣服煮飯
[00:05:48.520 --> 00:05:51.080]  然後家裡所有的事情
[00:05:51.080 --> 00:05:53.760]  都是她自己一路一路去做
[00:05:53.760 --> 00:05:55.760]  還有反過來說
[00:05:55.760 --> 00:05:58.960]  爸爸很兇回來發脾氣
[00:05:58.960 --> 00:06:01.560]  但是我們看到媽媽的委屈
