
[00:00:00.000 --> 00:00:02.000]  不知道大家有沒有收過支票
[00:00:02.000 --> 00:00:04.000]  不知道大家有沒有收到過支票
[00:00:04.000 --> 00:00:09.000]  以前我很記得當我第一次去工作的時候
[00:00:09.000 --> 00:00:12.000]  我記得我以前第一次工作的時候
[00:00:12.000 --> 00:00:14.000]  就沒有那麼先進的
[00:00:14.000 --> 00:00:15.000]  那時候還沒有那麼先進
[00:00:15.000 --> 00:00:20.000]  全部每個月的收人工都是僱主寫張支票給我
[00:00:20.000 --> 00:00:24.000]  每次發工的時候都是一張支票
[00:00:24.000 --> 00:00:29.000]  我很記得我人生第一份的工作就是一份暑期工
[00:00:29.000 --> 00:00:32.000]  我人生的第一份工作是一份暑期工
[00:00:32.000 --> 00:00:35.000]  就賺了七百塊港幣
[00:00:35.000 --> 00:00:37.000]  賺了七百塊港幣
[00:00:37.000 --> 00:00:40.000]  在都三十年前的時間
[00:00:40.000 --> 00:00:42.000]  在三十多年前的事了
[00:00:42.000 --> 00:00:44.000]  七百塊是很多錢來的
[00:00:44.000 --> 00:00:46.000]  七百塊錢已經很多了
[00:00:46.000 --> 00:00:50.000]  於是我就用了這七百塊
[00:00:50.000 --> 00:00:52.000]  就拿了去銀行
[00:00:52.000 --> 00:00:53.000]  就存入銀行
[00:00:53.000 --> 00:00:55.000]  開了一個戶口
[00:00:55.000 --> 00:00:56.000]  開了一個戶口
[00:00:56.000 --> 00:01:01.000]  然後就拿着一張支票跟戶口的職員說
[00:01:01.000 --> 00:01:03.000]  拿着支票跟職員講
[00:01:03.000 --> 00:01:06.000]  這張是我第一張的糧單
[00:01:06.000 --> 00:01:07.000]  這是我第一份工資
[00:01:07.000 --> 00:01:09.000]  第一張的支票
[00:01:09.000 --> 00:01:10.000]  第一張支票
[00:01:10.000 --> 00:01:12.000]  我現在進了我的戶口
[00:01:12.000 --> 00:01:13.000]  要存到我的戶口裏面
[00:01:13.000 --> 00:01:15.000]  麻煩你幫我存進去之後呢
[00:01:15.000 --> 00:01:17.000]  麻煩你存進去之後呢
[00:01:17.000 --> 00:01:19.000]  就把錢還給我
[00:01:19.000 --> 00:01:21.000]  把錢提出來
[00:01:21.000 --> 00:01:23.000]  那你知不知道爲什麼我要拿錢呢
[00:01:23.000 --> 00:01:24.000]  爲什麼要提錢呢
[00:01:24.000 --> 00:01:25.000]  因爲我做了第一份暑期工之後呢
[00:01:25.000 --> 00:01:27.000]  我已經立定心意了
[00:01:27.000 --> 00:01:29.000]  因爲做第一份工作之後呢
[00:01:29.000 --> 00:01:30.000]  我有一個心志
[00:01:30.000 --> 00:01:31.000]  七百塊錢當中
[00:01:31.000 --> 00:01:32.000]  七百塊錢呢
[00:01:32.000 --> 00:01:34.000]  我決定就給三百塊錢我媽媽
[00:01:34.000 --> 00:01:36.000]  給三百塊錢媽媽
[00:01:36.000 --> 00:01:37.000]  另外剩下四百塊呢
[00:01:37.000 --> 00:01:38.000]  還有四百塊呢
[00:01:38.000 --> 00:01:40.000]  我去買一份禮物獎勵自己
[00:01:40.000 --> 00:01:41.000]  買一份禮物呢
[00:01:41.000 --> 00:01:42.000]  獎勵自己
[00:01:42.000 --> 00:01:44.000]  那我後來就買了一隻手標給自己
[00:01:44.000 --> 00:01:45.000]  最後呢
[00:01:45.000 --> 00:01:46.000]  我買了一塊表給自己
[00:01:46.000 --> 00:01:48.000]  三百五十塊錢買了一隻
[00:01:48.000 --> 00:01:51.000]  星辰的金色的手標
[00:01:51.000 --> 00:01:52.000]  三百五十塊呢
[00:01:52.000 --> 00:01:53.000]  買了一塊金色的表
[00:01:53.000 --> 00:01:55.000]  那隻手標呢
[00:01:55.000 --> 00:01:59.000]  到現在還在我的保險庫裏面存着
[00:01:59.000 --> 00:02:00.000]  現在這個表呢
[00:02:00.000 --> 00:02:02.000]  還存在我的保險櫃裏面
[00:02:02.000 --> 00:02:03.000]  但是呢
[00:02:03.000 --> 00:02:04.000]  就很可惜
[00:02:04.000 --> 00:02:06.000]  這隻手標當買了回來之後
[00:02:06.000 --> 00:02:08.000]  半年就壞了
[00:02:08.000 --> 00:02:09.000]  很可惜呢
[00:02:09.000 --> 00:02:10.000]  這個表呢
[00:02:10.000 --> 00:02:11.000]  半年之後就壞了
[00:02:11.000 --> 00:02:12.000]  有一次我媽媽就說
[00:02:12.000 --> 00:02:14.000]  你還保留着這隻爛手標幹什麼
[00:02:14.000 --> 00:02:17.000]  媽媽說你還能留着破錶幹什麼呢
[00:02:17.000 --> 00:02:19.000]  我說這隻手標雖然是爛
[00:02:19.000 --> 00:02:21.000]  這隻手標雖然破了
[00:02:21.000 --> 00:02:23.000]  但是就是一隻不行的手標
