
[00:00:00.000 --> 00:00:07.000]  弟兄姐妹,很高興可以再一次和大家經拜,一齊去侍奉神。
[00:00:07.000 --> 00:00:18.000]  今天仍然在新年的當中,所以在這裡也恭祝大家新春,有平安,蒙神的福氣。
[00:00:18.000 --> 00:00:31.000]  剛才李牧師也有提到,因為是新年的時間,我今天也選了一個和我們在基督裡面有新生命的題目,來和大家分享。
[00:00:31.000 --> 00:00:40.000]  大概十一、十二年前,當時我的女兒是十六歲。
[00:00:40.000 --> 00:00:50.000]  我以前好像和大家分享過,我有三個子女,有兩個兒子,女兒是最小的。
[00:00:50.000 --> 00:00:57.000]  當時我最小的女兒是十六歲,一會兒你就知道為什麼我要提到她是十六歲。
[00:00:57.000 --> 00:01:14.000]  有一晚,半夜的時候,忽然間有人按我們的門鐘,我們都睡著了。我被門鐘醒了之後,我看看那個鐘,兩點鐘。
[00:01:14.000 --> 00:01:23.000]  我想一下,兩點鐘怎麼會有人來找我呢?通常半夜有人來敲門都不是好事了。
[00:01:23.000 --> 00:01:30.000]  走下去,看一看,原來是我們隔壁屋的鄰居。
[00:01:30.000 --> 00:01:38.000]  我們和鄰居都算是很熟悉的,因為我們已經住了十幾年了,一起在那個地方。
[00:01:38.000 --> 00:01:42.000]  我打開門,鄰居就說,你的車被人撞了。
[00:01:42.000 --> 00:01:54.000]  因為當時我們有三輛車,我一輛車,我太太一輛車,另外第三輛車是給我的子女用的。
[00:01:54.000 --> 00:02:04.000]  因為車房只有可以停兩輛車,所以第三輛車就停在家前面的街上。
[00:02:04.000 --> 00:02:19.000]  停在我們家前面而已。原來那一晚,在我們的鄰居那裡,有一個年輕人,半夜心血來潮,想出去吃東西。
[00:02:19.000 --> 00:02:30.000]  開車出去,就沒有看到我們的車停在那裡,所以就撞到我們停在街上的那輛車。
[00:02:30.000 --> 00:02:43.000]  我們都不知道,是我們的鄰居聽到撞車的聲音,他就起來知道是我們的車,所以來警告我們,告訴我們知道。
[00:02:43.000 --> 00:02:48.000]  這件事是發生在我女兒十六歲的時候。
[00:02:48.000 --> 00:02:56.000]  為什麼是十六歲呢?大家知道在加州,十六歲可以考車牌。
[00:02:56.000 --> 00:03:09.000]  就在那一晚之前,我女兒考到車牌。就在那一晚,考完車牌的那一晚,那輛車就撞了,沒有了。
[00:03:09.000 --> 00:03:19.000]  因為他們兩個哥哥,當時已經上了大學,去了大學,所以那輛車留在家裡,就想著是他們用的。
[00:03:19.000 --> 00:03:29.000]  所以他已經等了很久了,考到車牌了,很興奮,準備可以自己開車回高中,去上學了。
[00:03:29.000 --> 00:03:39.000]  誰知道第二天,那輛車就沒有了。那輛車其實是撞上來,不是撞得很嚴重,但是因為已經很舊了。
